Weight1,Weight2,Weight3,Weight4,Weight5

[[1.17665249,2.98675708,2.37962671,1.80074185,0.49014701]
[0.41007282,0.18247505,2.80117244,1.80845876,2.30447507]
[-0.01533185,3.04706167,2.61519568,0.66708299,0.49122012]
[0.57618226,0.9558052,1.72857087,1.27699605,0.91492333]
[1.84219414,0.43823289,0.99779931,1.07095993,1.51278558]
[2.38670309,0.62729369,1.61551513,1.86112526,0.06592841]
[1.90865844,0.53571733,0.28436553,2.90101259,3.0336225]
[2.45965675,0.95697238,0.38684582,2.0695817,1.46277931]]

[[1.17665249,2.98675708,2.34894791,1.85365986,0.49014701]
[0.34848675,0.18247505,2.88098995,1.73039735,2.25190578]
[-0.0203799,3.04706167,2.61519568,0.66708299,0.41380224]
[0.57618226,0.9558052,1.69789207,1.32991406,0.91492333]
[1.78060807,0.43823289,1.07761682,0.99289853,1.46021628]
[2.38165504,0.62729369,1.61551513,1.86112526,-0.01148946]
[1.90865844,0.53571733,0.25368673,2.95393059,3.0336225]
[2.39807068,0.95697238,0.46666333,1.9915203,1.41021001]]

[[1.17665249,2.98675708,2.34109513,1.83767441,0.49014701]
[0.27914275,0.18247505,2.87280182,1.73515915,2.25747888]
[-0.03180393,3.04706167,2.61519568,0.66708299,0.40048769]
[0.57618226,0.9558052,1.69003929,1.31392861,0.91492333]
[1.71126407,0.43823289,1.06942869,0.99766032,1.46578939]
[2.37023101,0.62729369,1.61551513,1.86112526,-0.02480402]
[1.90865844,0.53571733,0.24583395,2.93794515,3.0336225]
[2.32872668,0.95697238,0.4584752,1.99628209,1.41578312]]

[[1.17665249,2.98675708,2.3448681,1.84719868,0.49014701]
[0.22616962,0.18247505,2.89102111,1.72302426,2.2743221]
[-0.05880655,3.04706167,2.61519568,0.66708299,0.40169799]
[0.57618226,0.9558052,1.69381226,1.32345288,0.91492333]
[1.65829094,0.43823289,1.08764798,0.98552543,1.4826326]
[2.34322839,0.62729369,1.61551513,1.86112526,-0.02359372]
[1.90865844,0.53571733,0.24960692,2.94746942,3.0336225]
[2.27575355,0.95697238,0.47669449,1.98414721,1.43262633]]

[[1.17665249e+00,2.98675708e+00,2.33866783e+00,1.84279720e+00,4.90147015e-01]
[1.70375710e-01,1.82475050e-01,2.89311796e+00,1.69693772e+00,2.30703950e+00]
[-6.46374280e-02,3.04706167e+00,2.61519568e+00,6.67082990e-01,4.23391678e-01]
[5.76182261e-01,9.55805196e-01,1.68761199e+00,1.31905140e+00,9.14923327e-01]
[1.60249703e+00,4.38232888e-01,1.08974482e+00,9.59438893e-01,1.51535000e+00]
[2.33739751e+00,6.27293687e-01,1.61551513e+00,1.86112526e+00,-1.90002762e-03]
[1.90865844e+00,5.35717334e-01,2.43406645e-01,2.94306794e+00,3.03362250e+00]
[2.21995964e+00,9.56972379e-01,4.78791336e-01,1.95806067e+00,1.46534373e+00]]

[[1.17665249,2.98675708,2.33710242,1.85325864,0.49014701]
[0.12215891,0.18247505,2.90799961,1.66738312,2.32986552]
[-0.08376447,3.04706167,2.61519568,0.66708299,0.43749204]
[0.57618226,0.9558052,1.68604658,1.32951284,0.91492333]
[1.55428023,0.43823289,1.10462648,0.92988429,1.53817603]
[2.31827047,0.62729369,1.61551513,1.86112526,0.01220034]
[1.90865844,0.53571733,0.24184124,2.95352938,3.0336225]
[2.17174284,0.95697238,0.49367299,1.92850607,1.48816976]]

[[1.17665249,2.98675708,2.32845555,1.86389139,0.49014701]
[0.07029748,0.18247505,2.9239704,1.62961514,2.35774402]
[-0.10058065,3.04706167,2.61519568,0.66708299,0.45778244]
[0.57618226,0.9558052,1.67739971,1.34014559,0.91492333]
[1.5024188,0.43823289,1.12059727,0.89211631,1.56605453]
[2.30145429,0.62729369,1.61551513,1.86112526,0.03249073]
[1.90865844,0.53571733,0.23319436,2.96416213,3.0336225]
[2.11988141,0.95697238,0.50964378,1.89073808,1.51604826]]

[[1.17665249,2.98675708,2.32688225,1.86254757,0.49014701]
[0.06721432,0.18247505,2.93818623,1.58023482,2.38076236]
[-0.10552521,3.04706167,2.61519568,0.66708299,0.46034211]
[0.57618226,0.9558052,1.67582641,1.33880177,0.91492333]
[1.49933564,0.43823289,1.1348131,0.84273599,1.58907287]
[2.29650972,0.62729369,1.61551513,1.86112526,0.03505041]
[1.90865844,0.53571733,0.23162106,2.96281831,3.0336225]
[2.11679825,0.95697238,0.52385961,1.84135776,1.5390666]]

[[1.17665249,2.98675708,2.32110919,1.85915961,0.49014701]
[0.05913461,0.18247505,2.94914583,1.57329291,2.39835958]
[-0.09673524,3.04706167,2.61519568,0.66708299,0.46066765]
[0.57618226,0.9558052,1.67005335,1.33541381,0.91492333]
[1.49125593,0.43823289,1.14577269,0.83579408,1.60667008]
[2.3052997,0.62729369,1.61551513,1.86112526,0.03537595]
[1.90865844,0.53571733,0.225848,2.95943034,3.0336225]
[2.10871854,0.95697238,0.53481921,1.83441585,1.55666381]]

[[1.17665249,2.98675708,2.34229055,1.8670954,0.49014701]
[0.062972,0.18247505,2.9446634,1.56318741,2.40037828]
[-0.11148407,3.04706167,2.61519569,0.66708299,0.46597678]
[0.57618226,0.9558052,1.69123471,1.34334961,0.91492333]
[1.49509332,0.43823289,1.14129027,0.82568858,1.60868878]
[2.29055087,0.62729369,1.61551513,1.86112526,0.04068507]
[1.90865844,0.53571733,0.24702937,2.96736614,3.0336225]
[2.11255594,0.95697238,0.53033678,1.82431036,1.55868251]]

[[1.17665249,2.98675708,2.36142469,1.86661112,0.49014701]
[0.0728874,0.18247505,2.93862265,1.57515326,2.39899375]
[-0.1099322,3.04706167,2.61519569,0.66708299,0.46218379]
[0.57618226,0.9558052,1.71036885,1.34286532,0.91492333]
[1.50500872,0.43823289,1.13524952,0.83765444,1.60730425]
[2.29210273,0.62729369,1.61551513,1.86112526,0.03689209]
[1.90865844,0.53571733,0.2661635,2.96688185,3.0336225]
[2.12247133,0.95697238,0.52429603,1.83627621,1.55729798]]

[[1.17665249,2.98675708,2.39131512,1.85432196,0.49014701]
[0.09299882,0.18247505,2.91427581,1.60777762,2.38398912]
[-0.10102268,3.04706167,2.61519569,0.66708299,0.45191537]
[0.57618226,0.9558052,1.74025928,1.33057616,0.91492333]
[1.52512014,0.43823289,1.11090268,0.87027879,1.59229962]
[2.30101226,0.62729369,1.61551513,1.86112526,0.02662366]
[1.90865844,0.53571733,0.29605393,2.9545927,3.0336225]
[2.14258275,0.95697238,0.49994919,1.86890056,1.54229335]]

[[1.17665249,2.98675708,2.42552139,1.83670378,0.49014702]
[0.11716375,0.18247505,2.88245582,1.64483169,2.36230715]
[-0.0908218,3.04706167,2.61519569,0.66708299,0.43815889]
[0.57618226,0.9558052,1.77446555,1.31295798,0.91492333]
[1.54928507,0.43823289,1.07908268,0.90733286,1.57061765]
[2.31121313,0.62729369,1.61551513,1.86112526,0.01286719]
[1.90865844,0.53571733,0.33026021,2.93697452,3.0336225]
[2.16674768,0.95697238,0.46812919,1.90595463,1.52061138]]

[[1.17665249,2.98675708,2.46225375,1.81390667,0.49014702]
[0.14315232,0.18247505,2.84315825,1.68943813,2.33229365]
[-0.07696361,3.04706167,2.61519569,0.66708299,0.41883929]
[0.57618226,0.9558052,1.81119792,1.29016087,0.91492333]
[1.57527364,0.43823289,1.03978512,0.9519393,1.54060416]
[2.32507133,0.62729369,1.61551513,1.86112526,-0.00645241]
[1.90865844,0.53571733,0.36699257,2.91417741,3.0336225]
[2.19273625,0.95697238,0.42883163,1.95056108,1.49059788]]

[[1.17665249,2.98675708,2.48259114,1.79116415,0.49014702]
[0.15542323,0.18247505,2.80298563,1.74433589,2.30448718]
[-0.05427772,3.04706167,2.61519569,0.66708299,0.39941239]
[0.57618226,0.9558052,1.8315353,1.26741835,0.91492333]
[1.58754455,0.43823289,0.9996125,1.00683706,1.51279768]
[2.34775722,0.62729369,1.61551513,1.86112526,-0.02587932]
[1.90865844,0.53571733,0.38732995,2.89143489,3.0336225]
[2.20500716,0.95697238,0.38865901,2.00545884,1.46279141]]
