Weight1 | Weight2 | Weight3 | Weight4 | Weight5 
[[1.09665275|2.90675725|2.37962658|1.8007412|0.41014713]
[0.41007135|0.2624749|2.80117255|1.80845863|2.14447601]
[0.14466769|2.96706207|2.53519585|0.58708334|0.65121979]
[0.65618216|1.03580516|1.72857089|1.43699522|0.99492325]
[1.84219274|0.51823213|0.99779943|1.2309594|1.35278629]
[2.38670335|0.54729396|1.69551486|1.78112548|0.06592835]
[1.82865865|0.4557174|0.12436755|3.06101173|2.95362354]
[2.45965525|1.03697209|0.38684592|2.22958088|1.46277935]
[0.30339506|1.6356429|0.02803493|2.93671419|0.89298116]
[2.00137599|0.8992695|1.71384166|1.63754133|0.66073648]
[2.96604041|2.51515149|2.87152309|2.73118311|1.95835795]
[2.97615315|0.35800702|0.69569814|0.06208576|1.10205511]
[1.30106534|0.77246818|2.52355574|1.20077337|0.80258197]
[1.78492552|0.52272629|2.44017657|0.15420793|3.02039717]
[2.34607873|0.70428359|0.09734752|2.48184769|2.14065799]
[2.37024348|2.34301777|0.15261818|1.20615318|0.28401406]
[2.79151918|2.03814873|1.11954654|0.27967337|0.89698041]
[1.10159329|2.21212561|2.08294494|2.86726076|1.40350733]
[0.29572164|2.32072434|2.31007764|1.6833044|2.50206476]
[1.47130702|1.56221454|1.42315905|0.15985613|0.25895331]
[0.17873753|2.07934069|1.06757827|1.51772205|2.77120429]
[0.86317391|1.20925634|2.45363359|0.71879064|0.24183952]
[0.91028104|0.42649194|3.0007312|2.53878505|2.06989568]
[2.65777426|2.52481029|0.66612683|2.72405686|1.69439362]]
==============================================================================
[[1.01680253|2.83076458|2.458387|1.73988914|0.34122468]
[0.33278234|0.29646273|2.78492617|1.73535305|2.15056465]
[0.11904514|3.000665|2.46231278|0.63133205|0.71685034]
[0.6849303|1.03005138|1.71950121|1.42449253|1.04293205]
[1.76563783|0.46168805|1.01023105|1.18448201|1.27623138]
[2.39386519|0.59587488|1.64903747|1.82890839|0.02956636]
[1.87731046|0.37811016|0.18236297|3.1327006|3.0011223]
[2.4135443|0.98669045|0.42320215|2.17423816|1.43259772]
[0.3270652|1.5961648|-0.04568543|3.00968025|0.96968931]
[1.92790206|0.92571384|1.67974892|1.66767558|0.60459357]
[2.95150298|2.5349811|2.9114411|2.69560113|1.94403172]
[3.05383447|0.43718404|0.77386465|0.01934973|1.1818994]
[1.38024237|0.69528903|2.5168775|1.28061765|0.72525807]
[1.72734832|0.602773|2.37264317|0.07465255|3.07353154]
[2.27590843|0.67460999|0.1651225|2.4944037|2.08276891]
[2.42916871|2.26936626|0.10534719|1.27253472|0.2220371]
[2.78525688|2.11782954|1.07224528|0.34328649|0.93111205]
[1.18074263|2.13584476|2.1607405|2.93673642|1.32351247]
[0.2323638|2.29809391|2.24729251|1.69720276|2.51350201]
[1.40696095|1.49942941|1.36977831|0.23225812|0.19460725]
[0.25417557|2.02788245|1.1119963|1.43878062|2.74371114]
[0.92929194|1.13901273|2.52267075|0.71879064|0.24183952]
[0.91028104|0.38184815|3.08011569|2.53878505|2.02514353]
[2.65290856|2.52481029|0.62549654|2.70791847|1.69439362]]
==============================================================================
[[9.37844885e-01|2.75402286e+00|2.48228618e+00|1.72307478e+00|2.73060984e-01]
[2.86630273e-01|3.34379931e-01|2.80347328e+00|1.67427355e+00|2.11812681e+00]
[6.60118483e-02|3.00781802e+00|2.38684828e+00|6.03815790e-01|7.07734459e-01]
[6.57505644e-01|1.02558113e+00|1.70862600e+00|1.39358536e+00|1.10576227e+00]
[1.69781604e+00|4.08250040e-01|1.02637979e+00|1.19975567e+00|1.20840959e+00]
[2.37285311e+00|6.53421724e-01|1.66431113e+00|1.82005365e+00|9.94950644e-03]
[1.93619865e+00|3.54854350e-01|2.49105355e-01|3.13639313e+00|3.01036012e+00]
[2.41815002e+00|9.44759379e-01|4.80653826e-01|2.11730896e+00|1.37661040e+00]
[3.79902548e-01|1.53753487e+00|-1.22091941e-01|3.08567297e+00|1.04656443e+00]
[1.90064097e+00|9.76051853e-01|1.63597838e+00|1.63738377e+00|6.16228026e-01]
[2.89939644e+00|2.57343844e+00|2.96001809e+00|2.64299234e+00|1.94722825e+00]
[3.12513411e+00|4.64332937e-01|8.50542566e-01|-2.66280941e-03|1.25808505e+00]
[1.40739126e+00|6.29538979e-01|2.53005369e+00|1.35680330e+00|6.46918955e-01]
[1.67947802e+00|6.74654457e-01|2.35850092e+00|4.86805057e-02|3.13686537e+00]
[2.20895419e+00|6.33917104e-01|1.76427865e-01|2.51876937e+00|2.08356125e+00]
[2.40486967e+00|2.24863361e+00|6.00441110e-02|1.34485709e+00|1.57798250e-01]
[2.82441221e+00|2.15939479e+00|1.01490557e+00|3.58452744e-01|9.78348994e-01]
[1.24243881e+00|2.05926146e+00|2.17365565e+00|2.98987296e+00|1.25474734e+00]
[1.63092783e-01|2.30016067e+00|2.28834351e+00|1.67079045e+00|2.47707329e+00]
[1.42124308e+00|1.54048041e+00|1.36420306e+00|2.76545456e-01|2.08889380e-01]
[3.27760713e-01|2.05624620e+00|1.17198175e+00|1.36510312e+00|2.71765191e+00]
[9.75570147e-01|1.08798104e+00|2.58856111e+00|7.18790636e-01|2.41839519e-01]
[9.10281036e-01|3.41230182e-01|3.15509045e+00|2.53878505e+00|1.96571062e+00]
[2.64076818e+00|2.52481029e+00|5.92336896e-01|2.66261818e+00|1.69439362e+00]]
=============================================================================
[[0.91385415|2.68304338|2.50875107|1.70785787|0.21484079]
[0.24686632|0.3895082|2.83128822|1.60763023|2.1286362]
[0.06215383|3.03485391|2.38705573|0.58858442|0.7444692]
[0.62683802|1.01528719|1.72020123|1.37901097|1.13565188]
[1.65325511|0.35120284|1.05407954|1.19735393|1.16384867]
[2.40625232|0.69906286|1.66190939|1.81732839|-0.00923335]
[1.96631915|0.33065863|0.28214672|3.1716299|3.04587354]
[2.39131671|0.92723929|0.54539839|2.0897481|1.31365852]
[0.43456724|1.47283919|-0.16565233|3.16047101|1.0891722]
[1.89763015|1.03397453|1.60225251|1.64863398|0.61934915]
[2.8955299|2.56938386|2.97991052|2.63635609|1.98947211]
[3.17377917|0.42957164|0.8974999|-0.02815747|1.30432682]
[1.37262996|0.56510691|2.51972295|1.40304507|0.58346507]
[1.61914825|0.64391544|2.34534189|0.08427645|3.18302685]
[2.17190303|0.6116974|0.18163663|2.51879273|2.05660221]
[2.38630383|2.20075534|0.03051028|1.3801148|0.12202216]
[2.82455299|2.20212317|0.95748521|0.40076464|1.01324293]
[1.31098118|1.9870079|2.22029652|3.01987152|1.18837752]
[0.09179703|2.30342032|2.3378314|1.64209919|2.45955632]
[1.45707597|1.58996829|1.36113095|0.31326048|0.24472227]
[0.39070005|2.10081001|1.23813467|1.28922329|2.68193425]
[1.03322873|1.06701366|2.65168131|0.71879064|0.24183952]
[0.91028104|0.31067548|3.22940712|2.53878505|1.90333703]
[2.60572384|2.52481029|0.56585544|2.61865417|1.69439362]]
==============================================================================
[[0.90783544|2.61264035|2.51684865|1.72008164|0.15447539]
[0.23989195|0.44573901|2.85215926|1.54104563|2.14007668]
[0.04386968|3.06172761|2.38541694|0.58205614|0.77002559]
[0.58397912|0.99780162|1.72535617|1.35777146|1.15730361]
[1.59642548|0.30372125|1.08800645|1.18831634|1.10701904]
[2.42850384|0.75503924|1.6528718|1.81259387|-0.01247927]
[1.99271303|0.30643473|0.31245147|3.22056284|3.09848214]
[2.34948731|0.9143006|0.60115678|2.06340276|1.24800838]
[0.48731522|1.40514587|-0.2141546|3.21752619|1.13634184]
[1.93683905|1.09920703|1.58873666|1.67410992|0.61868838]
[2.9183456|2.54908536|2.98784091|2.64705369|2.03595938]
[3.19583534|0.38951098|0.90972652|-0.03090658|1.31644099]
[1.33256931|0.51895989|2.50130435|1.41515924|0.52310425]
[1.55246319|0.61120727|2.32175922|0.10999367|3.22564345]
[2.14262564|0.59588645|0.18774933|2.52626283|2.02133431]
[2.37062111|2.14658226|0.01407556|1.424183|0.09369714]
[2.83729073|2.22923301|0.90694119|0.41939386|1.06562824]
[1.38328109|1.91696118|2.21793477|3.04147482|1.17753654]
[0.02289122|2.27408158|2.34425168|1.64069882|2.45060941]
[1.45348616|1.59638858|1.36329314|0.36275719|0.24113246]
[0.45628427|2.10255081|1.30876675|1.21176127|2.67732637]
[1.08630912|1.04676819|2.69289027|0.71879064|0.24183952]
[0.91028104|0.27577069|3.29858999|2.53878505|1.8845512]
[2.57186935|2.52481029|0.53488393|2.57264403|1.69439362]]










