Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
4,6,6,1,100,0.5893,0.5893,0.9211,0.9211,0.21,0.21
4,6,6,2,100,0.3472,0.3472,0.9649,0.9649,0.21,0.42
4,6,6,3,100,0.1672,0.1672,0.9561,0.9649,0.21,0.63
4,6,6,4,100,0.1087,0.1087,0.9737,0.9737,0.21,0.84
4,6,6,5,100,0.0889,0.0889,0.9737,0.9737,0.20,1.04
4,6,6,6,100,0.1008,0.0889,0.9561,0.9737,0.20,1.25
4,6,6,7,100,0.0826,0.0826,0.9561,0.9737,0.20,1.45
4,6,6,8,100,0.0639,0.0639,0.9386,0.9737,0.20,1.66
4,6,6,9,100,0.0714,0.0639,0.8947,0.9737,0.20,1.86
4,6,6,10,100,0.0638,0.0638,0.9561,0.9737,0.20,2.07
4,6,6,11,100,0.0635,0.0635,0.9649,0.9737,0.24,2.31
4,6,6,12,100,0.0650,0.0635,0.9649,0.9737,0.24,2.55
4,6,6,13,100,0.0733,0.0635,0.9649,0.9737,0.23,2.77
4,6,6,14,100,0.0784,0.0635,0.9649,0.9737,0.21,2.99
4,6,6,15,100,0.0582,0.0582,0.8860,0.9737,0.21,3.20
4,6,6,16,100,0.0648,0.0582,0.9298,0.9737,0.21,3.40
4,6,6,17,100,0.0643,0.0582,0.9474,0.9737,0.20,3.61
4,6,6,18,100,0.0610,0.0582,0.9298,0.9737,0.20,3.81
4,6,6,19,100,0.0673,0.0582,0.9386,0.9737,0.20,4.01
4,6,6,20,100,0.0656,0.0582,0.9386,0.9737,0.20,4.22
4,6,6,21,100,0.0548,0.0548,0.8772,0.9737,0.20,4.42
4,6,6,22,100,0.0793,0.0548,0.9386,0.9737,0.21,4.62
4,6,6,23,100,0.0563,0.0548,0.9474,0.9737,0.20,4.83
4,6,6,24,100,0.0525,0.0525,0.9561,0.9737,0.20,5.03
4,6,6,25,100,0.0537,0.0525,0.9386,0.9737,0.21,5.24
4,6,6,26,100,0.0691,0.0525,0.9298,0.9737,0.22,5.46
4,6,6,27,100,0.0553,0.0525,0.8860,0.9737,0.24,5.69
4,6,6,28,100,0.0864,0.0525,0.9298,0.9737,0.24,5.94
4,6,6,29,100,0.0627,0.0525,0.9474,0.9737,0.22,6.16
4,6,6,30,100,0.0603,0.0525,0.9474,0.9737,0.23,6.39
4,6,6,31,100,0.0830,0.0525,0.9298,0.9737,0.20,6.59
4,6,6,32,100,0.0645,0.0525,0.9561,0.9737,0.21,6.79
4,6,6,33,100,0.0535,0.0525,0.9561,0.9737,0.21,7.00
4,6,6,34,100,0.0556,0.0525,0.9298,0.9737,0.20,7.20
4,6,6,35,100,0.0637,0.0525,0.9035,0.9737,0.21,7.41
4,6,6,36,100,0.0557,0.0525,0.9474,0.9737,0.24,7.65
4,6,6,37,100,0.0467,0.0467,0.9211,0.9737,0.22,7.87
4,6,6,38,100,0.0503,0.0467,0.9386,0.9737,0.22,8.09
4,6,6,39,100,0.0584,0.0467,0.9649,0.9737,0.24,8.33
4,6,6,40,100,0.0551,0.0467,0.8947,0.9737,0.22,8.55
4,6,6,41,100,0.0454,0.0454,0.9298,0.9737,0.21,8.76
4,6,6,42,100,0.0488,0.0454,0.9386,0.9737,0.20,8.96
4,6,6,43,100,0.0439,0.0439,0.9035,0.9737,0.20,9.17
4,6,6,44,100,0.0592,0.0439,0.9298,0.9737,0.20,9.37
4,6,6,45,100,0.0445,0.0439,0.9474,0.9737,0.24,9.61
4,6,6,46,100,0.0456,0.0439,0.8860,0.9737,0.23,9.84
4,6,6,47,100,0.0533,0.0439,0.9649,0.9737,0.22,10.06
4,6,6,48,100,0.0527,0.0439,0.9386,0.9737,0.20,10.26
4,6,6,49,100,0.0668,0.0439,0.9386,0.9737,0.20,10.47
4,6,6,50,100,0.0556,0.0439,0.9474,0.9737,0.20,10.67
4,6,6,51,100,0.0705,0.0439,0.9474,0.9737,0.20,10.87
4,6,6,52,100,0.0576,0.0439,0.9649,0.9737,0.20,11.08
4,6,6,53,100,0.0622,0.0439,0.9386,0.9737,0.20,11.28
