Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
3,10,10,1,10,0.9799,0.9799,0.6228,0.6228,1.47,1.47
3,10,10,2,10,0.9841,0.9799,0.6316,0.6316,1.62,3.10
3,10,10,3,10,1.0035,0.9799,0.6930,0.6930,1.51,4.61
3,10,10,4,10,0.9833,0.9799,0.6842,0.6930,1.54,6.15
3,10,10,5,10,0.9741,0.9741,0.6842,0.6930,1.57,7.72
3,10,10,6,10,0.9794,0.9741,0.6842,0.6930,1.49,9.21
3,10,10,7,10,1.0009,0.9741,0.6930,0.6930,1.53,10.74
3,10,10,8,10,0.9530,0.9530,0.6930,0.6930,1.54,12.28
3,10,10,9,10,0.9514,0.9514,0.6842,0.6930,1.58,13.86
3,10,10,10,10,0.9320,0.9320,0.6754,0.6930,1.48,15.34
=================================================================================
3,10,10,1,50,0.9799,0.9799,0.6228,0.6228,1.49,1.49
3,10,10,2,50,0.9841,0.9799,0.6316,0.6316,1.55,3.04
3,10,10,3,50,1.0035,0.9799,0.6930,0.6930,1.51,4.55
3,10,10,4,50,0.9833,0.9799,0.6842,0.6930,1.54,6.09
3,10,10,5,50,0.9741,0.9741,0.6842,0.6930,1.59,7.67
3,10,10,6,50,0.9794,0.9741,0.6842,0.6930,1.48,9.16
3,10,10,7,50,1.0009,0.9741,0.6930,0.6930,1.54,10.69
3,10,10,8,50,0.9530,0.9530,0.6930,0.6930,1.59,12.28
3,10,10,9,50,0.9514,0.9514,0.6842,0.6930,1.55,13.83
3,10,10,10,50,0.9320,0.9320,0.6754,0.6930,1.56,15.39
3,10,10,11,50,0.9000,0.9000,0.6667,0.6930,1.59,16.99
3,10,10,12,50,0.9843,0.9000,0.6667,0.6930,1.48,18.47
3,10,10,13,50,0.9872,0.9000,0.6667,0.6930,1.54,20.02
3,10,10,14,50,0.9563,0.9000,0.6754,0.6930,1.61,21.62
3,10,10,15,50,0.9452,0.9000,0.6754,0.6930,1.49,23.11
3,10,10,16,50,0.9957,0.9000,0.6754,0.6930,1.56,24.67
3,10,10,17,50,0.8899,0.8899,0.6754,0.6930,1.63,26.30
3,10,10,18,50,0.8821,0.8821,0.6754,0.6930,1.50,27.79
3,10,10,19,50,0.9570,0.8821,0.6754,0.6930,1.54,29.34
3,10,10,20,50,0.7914,0.7914,0.6754,0.6930,1.59,30.93
3,10,10,21,50,0.8948,0.7914,0.6754,0.6930,1.51,32.44
3,10,10,22,50,0.8468,0.7914,0.6842,0.6930,1.58,34.02
3,10,10,23,50,0.8866,0.7914,0.6754,0.6930,1.63,35.65
3,10,10,24,50,0.9336,0.7914,0.6667,0.6930,1.58,37.23
3,10,10,25,50,0.8807,0.7914,0.6667,0.6930,1.50,38.73
3,10,10,26,50,0.8222,0.7914,0.6667,0.6930,1.57,40.30
3,10,10,27,50,0.9465,0.7914,0.6667,0.6930,1.57,41.87
3,10,10,28,50,0.9814,0.7914,0.6754,0.6930,1.57,43.44
3,10,10,29,50,0.9539,0.7914,0.6754,0.6930,1.61,45.06
3,10,10,30,50,0.7081,0.7081,0.6667,0.6930,1.50,46.56
3,10,10,31,50,1.1467,0.7081,0.6667,0.6930,1.55,48.11
3,10,10,32,50,0.8605,0.7081,0.6579,0.6930,1.58,49.69
3,10,10,33,50,0.8990,0.7081,0.6579,0.6930,1.56,51.25
3,10,10,34,50,0.9793,0.7081,0.6579,0.6930,1.60,52.85
3,10,10,35,50,0.9533,0.7081,0.6667,0.6930,1.55,54.40
3,10,10,36,50,0.7126,0.7081,0.6667,0.6930,1.59,56.00
3,10,10,37,50,1.1115,0.7081,0.6667,0.6930,1.55,57.55
3,10,10,38,50,0.9054,0.7081,0.6667,0.6930,1.59,59.14
3,10,10,39,50,1.0694,0.7081,0.6667,0.6930,1.62,60.76
3,10,10,40,50,0.8757,0.7081,0.6667,0.6930,1.53,62.28
3,10,10,41,50,0.8674,0.7081,0.6667,0.6930,1.57,63.86
3,10,10,42,50,0.9818,0.7081,0.6667,0.6930,1.60,65.45
3,10,10,43,50,0.9645,0.7081,0.6754,0.6930,1.51,66.96
3,10,10,44,50,0.8270,0.7081,0.6754,0.6930,1.58,68.54
3,10,10,45,50,0.9271,0.7081,0.6754,0.6930,1.62,70.16
3,10,10,46,50,0.8933,0.7081,0.6754,0.6930,1.52,71.68
3,10,10,47,50,0.8214,0.7081,0.6754,0.6930,1.60,73.29
3,10,10,48,50,0.8683,0.7081,0.6754,0.6930,1.61,74.90
3,10,10,49,50,0.7547,0.7081,0.6667,0.6930,1.52,76.42
3,10,10,50,50,0.8523,0.7081,0.6754,0.6930,1.60,78.02
=================================================================================
3,10,10,1,50,0.9799,0.9799,0.6228,0.6228,1.44,1.44
3,10,10,2,50,0.9841,0.9799,0.6316,0.6316,1.52,2.96
3,10,10,3,50,1.0035,0.9799,0.6930,0.6930,1.47,4.43
3,10,10,4,50,0.9833,0.9799,0.6842,0.6930,1.50,5.93
3,10,10,5,50,0.9741,0.9741,0.6842,0.6930,1.48,7.41
3,10,10,6,50,0.9794,0.9741,0.6842,0.6930,1.52,8.93
3,10,10,7,50,1.0009,0.9741,0.6930,0.6930,1.55,10.48
3,10,10,8,50,0.9530,0.9530,0.6930,0.6930,1.48,11.95
3,10,10,9,50,0.9514,0.9514,0.6842,0.6930,1.52,13.47
3,10,10,10,50,0.9320,0.9320,0.6754,0.6930,1.54,15.01
3,10,10,11,50,0.9000,0.9000,0.6667,0.6930,1.50,16.51
3,10,10,12,50,0.9843,0.9000,0.6667,0.6930,1.54,18.06
3,10,10,13,50,0.9872,0.9000,0.6667,0.6930,1.51,19.57
3,10,10,14,50,0.9563,0.9000,0.6754,0.6930,1.54,21.11
3,10,10,15,50,0.9452,0.9000,0.6754,0.6930,1.59,22.70
3,10,10,16,50,0.9957,0.9000,0.6754,0.6930,1.48,24.17
3,10,10,17,50,0.8899,0.8899,0.6754,0.6930,1.61,25.78
3,10,10,18,50,0.8821,0.8821,0.6754,0.6930,1.48,27.26
3,10,10,19,50,0.9570,0.8821,0.6754,0.6930,1.48,28.73
3,10,10,20,50,0.7914,0.7914,0.6754,0.6930,1.55,30.28
3,10,10,21,50,0.8948,0.7914,0.6754,0.6930,1.59,31.87
3,10,10,22,50,0.8468,0.7914,0.6842,0.6930,1.50,33.37
3,10,10,23,50,0.8866,0.7914,0.6754,0.6930,1.61,34.98
3,10,10,24,50,0.9336,0.7914,0.6667,0.6930,1.48,36.46
3,10,10,25,50,0.8807,0.7914,0.6667,0.6930,1.50,37.96
3,10,10,26,50,0.8222,0.7914,0.6667,0.6930,1.55,39.51
3,10,10,27,50,0.9465,0.7914,0.6667,0.6930,1.60,41.10
3,10,10,28,50,0.9814,0.7914,0.6754,0.6930,1.51,42.61
3,10,10,29,50,0.9539,0.7914,0.6754,0.6930,1.53,44.15
3,10,10,30,50,0.7081,0.7081,0.6667,0.6930,1.55,45.70
3,10,10,31,50,1.1467,0.7081,0.6667,0.6930,1.60,47.30
3,10,10,32,50,0.8605,0.7081,0.6579,0.6930,1.50,48.80
3,10,10,33,50,0.8990,0.7081,0.6579,0.6930,1.54,50.34
3,10,10,34,50,0.9793,0.7081,0.6579,0.6930,1.56,51.91
3,10,10,35,50,0.9533,0.7081,0.6667,0.6930,1.62,53.53
3,10,10,36,50,0.7126,0.7081,0.6667,0.6930,1.50,55.03
3,10,10,37,50,1.1115,0.7081,0.6667,0.6930,1.62,56.65
3,10,10,38,50,0.9054,0.7081,0.6667,0.6930,1.51,58.16
3,10,10,39,50,1.0694,0.7081,0.6667,0.6930,1.56,59.72
3,10,10,40,50,0.8757,0.7081,0.6667,0.6930,1.59,61.31
3,10,10,41,50,0.8674,0.7081,0.6667,0.6930,1.52,62.83
3,10,10,42,50,0.9818,0.7081,0.6667,0.6930,1.59,64.41
3,10,10,43,50,0.9645,0.7081,0.6754,0.6930,1.56,65.97
