Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
4,6,6,1,100,0.5044,0.5044,0.9649,0.9649,0.02,0.02
4,6,6,2,100,0.1316,0.1316,0.9649,0.9649,0.00,0.02
4,6,6,3,100,0.0906,0.0906,0.9649,0.9649,0.00,0.02
4,6,6,4,100,0.0987,0.0906,0.9474,0.9649,0.00,0.03
4,6,6,5,100,0.0949,0.0906,0.9649,0.9649,0.00,0.03
4,6,6,6,100,0.0922,0.0906,0.9386,0.9649,0.00,0.03
4,6,6,7,100,0.0659,0.0659,0.9649,0.9649,0.00,0.04
4,6,6,8,100,0.0754,0.0659,0.9561,0.9649,0.00,0.04
4,6,6,9,100,0.0590,0.0590,0.9123,0.9649,0.00,0.04
4,6,6,10,100,0.0515,0.0515,0.9474,0.9649,0.00,0.05
4,6,6,11,100,0.0638,0.0515,0.9561,0.9649,0.00,0.05
4,6,6,12,100,0.0484,0.0484,0.9474,0.9649,0.00,0.05
4,6,6,13,100,0.0460,0.0460,0.9386,0.9649,0.00,0.06
4,6,6,14,100,0.0709,0.0460,0.8509,0.9649,0.00,0.06
4,6,6,15,100,0.0597,0.0460,0.9474,0.9649,0.00,0.06
4,6,6,16,100,0.0468,0.0460,0.9211,0.9649,0.00,0.07
4,6,6,17,100,0.0633,0.0460,0.9474,0.9649,0.00,0.07
4,6,6,18,100,0.0427,0.0427,0.9649,0.9649,0.00,0.07
4,6,6,19,100,0.0631,0.0427,0.9474,0.9649,0.00,0.07
4,6,6,20,100,0.0522,0.0427,0.9386,0.9649,0.00,0.08
4,6,6,21,100,0.0521,0.0427,0.9123,0.9649,0.00,0.08
4,6,6,22,100,0.0570,0.0427,0.9035,0.9649,0.00,0.08
4,6,6,23,100,0.1439,0.0427,0.9649,0.9649,0.00,0.09
4,6,6,24,100,0.0766,0.0427,0.9298,0.9649,0.00,0.09
4,6,6,25,100,0.0621,0.0427,0.9386,0.9649,0.00,0.09
4,6,6,26,100,0.0611,0.0427,0.9561,0.9649,0.00,0.09
4,6,6,27,100,0.0603,0.0427,0.9298,0.9649,0.00,0.10
4,6,6,28,100,0.0517,0.0427,0.8509,0.9649,0.00,0.10
4,6,6,29,100,0.0735,0.0427,0.9474,0.9649,0.00,0.10
4,6,6,30,100,0.0616,0.0427,0.9561,0.9649,0.00,0.10
4,6,6,31,100,0.0539,0.0427,0.8860,0.9649,0.00,0.11
4,6,6,32,100,0.0732,0.0427,0.9561,0.9649,0.00,0.11
4,6,6,33,100,0.0528,0.0427,0.9561,0.9649,0.00,0.11
4,6,6,34,100,0.0468,0.0427,0.9561,0.9649,0.00,0.11
4,6,6,35,100,0.0400,0.0400,0.9386,0.9649,0.00,0.12
4,6,6,36,100,0.0400,0.0400,0.9386,0.9649,0.00,0.12
4,6,6,37,100,0.0445,0.0400,0.9561,0.9649,0.00,0.12
4,6,6,38,100,0.0379,0.0379,0.8684,0.9649,0.00,0.13
4,6,6,39,100,0.0410,0.0379,0.9561,0.9649,0.00,0.13
4,6,6,40,100,0.0517,0.0379,0.9123,0.9649,0.00,0.13
4,6,6,41,100,0.0389,0.0379,0.9298,0.9649,0.00,0.13
4,6,6,42,100,0.0361,0.0361,0.9298,0.9649,0.00,0.14
