Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,circles,3,4,1,200,0.6967,0.6967,0.5000,0.5000,0.04,0.04
Basic_VQC,circles,3,4,2,200,0.6965,0.6965,0.4917,0.5000,0.04,0.09
Basic_VQC,circles,3,4,3,200,0.6938,0.6938,0.5000,0.5000,0.05,0.13
Basic_VQC,circles,3,4,4,200,0.6937,0.6937,0.5000,0.5000,0.04,0.18
Basic_VQC,circles,3,4,5,200,0.6937,0.6937,0.5000,0.5000,0.05,0.22
Basic_VQC,circles,3,4,6,200,0.6933,0.6933,0.4750,0.5000,0.04,0.26
Basic_VQC,circles,3,4,7,200,0.6934,0.6933,0.4667,0.5000,0.04,0.31
Basic_VQC,circles,3,4,8,200,0.6933,0.6933,0.5000,0.5000,0.04,0.35
Basic_VQC,circles,3,4,9,200,0.6936,0.6933,0.4833,0.5000,0.04,0.39
Basic_VQC,circles,3,4,10,200,0.6933,0.6933,0.4833,0.5000,0.04,0.43
Basic_VQC,circles,3,4,11,200,0.6939,0.6933,0.4667,0.5000,0.04,0.47
Basic_VQC,circles,3,4,12,200,0.6936,0.6933,0.5583,0.5583,0.04,0.52
Basic_VQC,circles,3,4,13,200,0.6934,0.6933,0.4667,0.5583,0.04,0.56
Basic_VQC,circles,3,4,14,200,0.6938,0.6933,0.4750,0.5583,0.04,0.60
Basic_VQC,circles,3,4,15,200,0.6945,0.6933,0.4583,0.5583,0.04,0.64
Basic_VQC,circles,3,4,16,200,0.6931,0.6931,0.4500,0.5583,0.04,0.68
Basic_VQC,circles,3,4,17,200,0.6946,0.6931,0.5583,0.5583,0.04,0.73
Basic_VQC,circles,3,4,18,200,0.6951,0.6931,0.4500,0.5583,0.04,0.77
Basic_VQC,circles,3,4,19,200,0.6936,0.6931,0.4417,0.5583,0.04,0.81
Basic_VQC,circles,3,4,20,200,0.6931,0.6931,0.4583,0.5583,0.04,0.85
Basic_VQC,circles,3,4,21,200,0.6948,0.6931,0.4500,0.5583,0.04,0.89
Basic_VQC,circles,3,4,22,200,0.6928,0.6928,0.4500,0.5583,0.05,0.94
Basic_VQC,circles,3,4,23,200,0.6935,0.6928,0.4500,0.5583,0.04,0.98
Basic_VQC,circles,3,4,24,200,0.6935,0.6928,0.4500,0.5583,0.04,1.03
Basic_VQC,circles,3,4,25,200,0.6935,0.6928,0.4500,0.5583,0.04,1.07
Basic_VQC,circles,3,4,26,200,0.6932,0.6928,0.4500,0.5583,0.04,1.11
Basic_VQC,circles,3,4,27,200,0.6930,0.6928,0.4500,0.5583,0.04,1.15
Basic_VQC,circles,3,4,28,200,0.6933,0.6928,0.4583,0.5583,0.04,1.20
Basic_VQC,circles,3,4,29,200,0.6937,0.6928,0.4500,0.5583,0.04,1.24
Basic_VQC,circles,3,4,30,200,0.6933,0.6928,0.4500,0.5583,0.04,1.28
Basic_VQC,circles,3,4,31,200,0.6931,0.6928,0.4500,0.5583,0.04,1.32
Basic_VQC,circles,3,4,32,200,0.6933,0.6928,0.4500,0.5583,0.04,1.36
Basic_VQC,circles,3,4,33,200,0.6931,0.6928,0.4500,0.5583,0.04,1.41
Basic_VQC,circles,3,4,34,200,0.6933,0.6928,0.4500,0.5583,0.04,1.45
Basic_VQC,circles,3,4,35,200,0.6934,0.6928,0.4500,0.5583,0.04,1.49
Basic_VQC,circles,3,4,36,200,0.6933,0.6928,0.4500,0.5583,0.04,1.53
Basic_VQC,circles,3,4,37,200,0.6934,0.6928,0.4500,0.5583,0.04,1.57
