Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,covtype,5,4,1,200,0.6698,0.6698,0.7167,0.7167,0.07,0.07
Basic_VQC,covtype,5,4,2,200,0.6326,0.6326,0.7250,0.7250,0.08,0.15
Basic_VQC,covtype,5,4,3,200,0.6081,0.6081,0.7500,0.7500,0.08,0.24
Basic_VQC,covtype,5,4,4,200,0.5853,0.5853,0.7667,0.7667,0.08,0.31
Basic_VQC,covtype,5,4,5,200,0.5688,0.5688,0.7667,0.7667,0.08,0.39
Basic_VQC,covtype,5,4,6,200,0.5546,0.5546,0.7083,0.7667,0.09,0.48
Basic_VQC,covtype,5,4,7,200,0.5415,0.5415,0.7000,0.7667,0.08,0.55
Basic_VQC,covtype,5,4,8,200,0.5332,0.5332,0.6917,0.7667,0.07,0.63
Basic_VQC,covtype,5,4,9,200,0.5279,0.5279,0.7333,0.7667,0.07,0.70
Basic_VQC,covtype,5,4,10,200,0.5200,0.5200,0.7083,0.7667,0.08,0.78
Basic_VQC,covtype,5,4,11,200,0.5124,0.5124,0.7083,0.7667,0.07,0.85
Basic_VQC,covtype,5,4,12,200,0.5076,0.5076,0.7250,0.7667,0.09,0.94
Basic_VQC,covtype,5,4,13,200,0.5028,0.5028,0.7250,0.7667,0.08,1.02
Basic_VQC,covtype,5,4,14,200,0.4981,0.4981,0.7250,0.7667,0.08,1.11
Basic_VQC,covtype,5,4,15,200,0.4970,0.4970,0.7417,0.7667,0.08,1.19
Basic_VQC,covtype,5,4,16,200,0.4947,0.4947,0.7583,0.7667,0.08,1.27
Basic_VQC,covtype,5,4,17,200,0.4925,0.4925,0.7417,0.7667,0.08,1.35
Basic_VQC,covtype,5,4,18,200,0.4946,0.4925,0.7583,0.7667,0.07,1.42
Basic_VQC,covtype,5,4,19,200,0.4914,0.4914,0.7417,0.7667,0.07,1.49
Basic_VQC,covtype,5,4,20,200,0.4892,0.4892,0.7500,0.7667,0.07,1.57
Basic_VQC,covtype,5,4,21,200,0.4860,0.4860,0.7500,0.7667,0.07,1.64
Basic_VQC,covtype,5,4,22,200,0.4851,0.4851,0.7250,0.7667,0.08,1.72
Basic_VQC,covtype,5,4,23,200,0.4867,0.4851,0.7417,0.7667,0.08,1.79
Basic_VQC,covtype,5,4,24,200,0.4889,0.4851,0.7500,0.7667,0.09,1.88
Basic_VQC,covtype,5,4,25,200,0.4826,0.4826,0.7333,0.7667,0.08,1.97
Basic_VQC,covtype,5,4,26,200,0.4813,0.4813,0.7333,0.7667,0.08,2.04
Basic_VQC,covtype,5,4,27,200,0.4847,0.4813,0.7417,0.7667,0.08,2.13
Basic_VQC,covtype,5,4,28,200,0.4797,0.4797,0.7417,0.7667,0.08,2.21
Basic_VQC,covtype,5,4,29,200,0.4790,0.4790,0.7417,0.7667,0.08,2.28
Basic_VQC,covtype,5,4,30,200,0.4826,0.4790,0.7417,0.7667,0.08,2.36
Basic_VQC,covtype,5,4,31,200,0.4796,0.4790,0.7500,0.7667,0.08,2.44
Basic_VQC,covtype,5,4,32,200,0.4773,0.4773,0.7417,0.7667,0.07,2.51
Basic_VQC,covtype,5,4,33,200,0.4764,0.4764,0.7500,0.7667,0.07,2.59
Basic_VQC,covtype,5,4,34,200,0.4779,0.4764,0.7333,0.7667,0.08,2.67
Basic_VQC,covtype,5,4,35,200,0.4764,0.4764,0.7500,0.7667,0.07,2.74
Basic_VQC,covtype,5,4,36,200,0.4778,0.4764,0.7583,0.7667,0.07,2.82
Basic_VQC,covtype,5,4,37,200,0.4748,0.4748,0.7500,0.7667,0.07,2.89
Basic_VQC,covtype,5,4,38,200,0.4772,0.4748,0.7250,0.7667,0.08,2.96
Basic_VQC,covtype,5,4,39,200,0.4740,0.4740,0.7417,0.7667,0.07,3.04
Basic_VQC,covtype,5,4,40,200,0.4740,0.4740,0.7583,0.7667,0.08,3.11
Basic_VQC,covtype,5,4,41,200,0.4723,0.4723,0.7417,0.7667,0.07,3.19
Basic_VQC,covtype,5,4,42,200,0.4728,0.4723,0.7417,0.7667,0.08,3.27
Basic_VQC,covtype,5,4,43,200,0.4741,0.4723,0.7583,0.7667,0.07,3.34
Basic_VQC,covtype,5,4,44,200,0.4711,0.4711,0.7583,0.7667,0.07,3.41
Basic_VQC,covtype,5,4,45,200,0.4739,0.4711,0.7667,0.7667,0.07,3.48
Basic_VQC,covtype,5,4,46,200,0.4691,0.4691,0.7417,0.7667,0.07,3.56
Basic_VQC,covtype,5,4,47,200,0.4694,0.4691,0.7500,0.7667,0.07,3.63
Basic_VQC,covtype,5,4,48,200,0.4696,0.4691,0.7333,0.7667,0.08,3.71
Basic_VQC,covtype,5,4,49,200,0.4700,0.4691,0.7500,0.7667,0.08,3.79
Basic_VQC,covtype,5,4,50,200,0.4700,0.4691,0.7417,0.7667,0.08,3.86
Basic_VQC,covtype,5,4,51,200,0.4770,0.4691,0.7750,0.7750,0.07,3.94
Basic_VQC,covtype,5,4,52,200,0.4694,0.4691,0.7417,0.7750,0.08,4.01
Basic_VQC,covtype,5,4,53,200,0.4707,0.4691,0.7583,0.7750,0.08,4.09
Basic_VQC,covtype,5,4,54,200,0.4698,0.4691,0.7500,0.7750,0.09,4.18
Basic_VQC,covtype,5,4,55,200,0.4693,0.4691,0.7500,0.7750,0.09,4.26
Basic_VQC,covtype,5,4,56,200,0.4673,0.4673,0.7417,0.7750,0.08,4.35
Basic_VQC,covtype,5,4,57,200,0.4687,0.4673,0.7417,0.7750,0.09,4.44
Basic_VQC,covtype,5,4,58,200,0.4686,0.4673,0.7417,0.7750,0.08,4.52
Basic_VQC,covtype,5,4,59,200,0.4768,0.4673,0.7417,0.7750,0.08,4.60
Basic_VQC,covtype,5,4,60,200,0.4734,0.4673,0.7583,0.7750,0.09,4.69
Basic_VQC,covtype,5,4,61,200,0.4672,0.4672,0.7417,0.7750,0.09,4.78
Basic_VQC,covtype,5,4,62,200,0.4711,0.4672,0.7417,0.7750,0.08,4.86
Basic_VQC,covtype,5,4,63,200,0.4658,0.4658,0.7500,0.7750,0.07,4.94
Basic_VQC,covtype,5,4,64,200,0.4772,0.4658,0.7583,0.7750,0.08,5.02
Basic_VQC,covtype,5,4,65,200,0.4711,0.4658,0.7333,0.7750,0.08,5.10
Basic_VQC,covtype,5,4,66,200,0.4683,0.4658,0.7500,0.7750,0.08,5.18
Basic_VQC,covtype,5,4,67,200,0.4735,0.4658,0.7333,0.7750,0.08,5.25
Basic_VQC,covtype,5,4,68,200,0.4687,0.4658,0.7583,0.7750,0.08,5.33
Basic_VQC,covtype,5,4,69,200,0.4695,0.4658,0.7167,0.7750,0.07,5.41
Basic_VQC,covtype,5,4,70,200,0.4682,0.4658,0.7417,0.7750,0.07,5.48
Basic_VQC,covtype,5,4,71,200,0.4682,0.4658,0.7500,0.7750,0.08,5.56
Basic_VQC,covtype,5,4,72,200,0.4697,0.4658,0.7167,0.7750,0.08,5.65
Basic_VQC,covtype,5,4,73,200,0.4669,0.4658,0.7500,0.7750,0.08,5.72
Basic_VQC,covtype,5,4,74,200,0.4684,0.4658,0.7250,0.7750,0.08,5.80
Basic_VQC,covtype,5,4,75,200,0.4647,0.4647,0.7333,0.7750,0.07,5.87
Basic_VQC,covtype,5,4,76,200,0.4670,0.4647,0.7250,0.7750,0.08,5.95
Basic_VQC,covtype,5,4,77,200,0.4625,0.4625,0.7333,0.7750,0.07,6.03
Basic_VQC,covtype,5,4,78,200,0.4642,0.4625,0.7333,0.7750,0.08,6.11
Basic_VQC,covtype,5,4,79,200,0.4632,0.4625,0.7250,0.7750,0.08,6.19
Basic_VQC,covtype,5,4,80,200,0.4695,0.4625,0.7250,0.7750,0.08,6.26
Basic_VQC,covtype,5,4,81,200,0.4687,0.4625,0.7333,0.7750,0.07,6.34
Basic_VQC,covtype,5,4,82,200,0.4656,0.4625,0.7333,0.7750,0.08,6.41
Basic_VQC,covtype,5,4,83,200,0.4685,0.4625,0.7333,0.7750,0.08,6.49
Basic_VQC,covtype,5,4,84,200,0.4652,0.4625,0.7333,0.7750,0.07,6.57
Basic_VQC,covtype,5,4,85,200,0.4618,0.4618,0.7333,0.7750,0.08,6.64
Basic_VQC,covtype,5,4,86,200,0.4624,0.4618,0.7250,0.7750,0.07,6.71
Basic_VQC,covtype,5,4,87,200,0.4684,0.4618,0.7250,0.7750,0.09,6.80
Basic_VQC,covtype,5,4,88,200,0.4637,0.4618,0.7250,0.7750,0.08,6.88
Basic_VQC,covtype,5,4,89,200,0.4646,0.4618,0.7167,0.7750,0.08,6.96
Basic_VQC,covtype,5,4,90,200,0.4625,0.4618,0.7167,0.7750,0.08,7.04
Basic_VQC,covtype,5,4,91,200,0.4669,0.4618,0.7333,0.7750,0.07,7.11
Basic_VQC,covtype,5,4,92,200,0.4659,0.4618,0.7167,0.7750,0.07,7.19
Basic_VQC,covtype,5,4,93,200,0.4652,0.4618,0.7250,0.7750,0.07,7.26
Basic_VQC,covtype,5,4,94,200,0.4650,0.4618,0.7167,0.7750,0.08,7.34
Basic_VQC,covtype,5,4,95,200,0.4658,0.4618,0.7333,0.7750,0.08,7.41
Basic_VQC,covtype,5,4,96,200,0.4645,0.4618,0.7167,0.7750,0.07,7.48
Basic_VQC,covtype,5,4,97,200,0.4667,0.4618,0.7417,0.7750,0.07,7.56
Basic_VQC,covtype,5,4,98,200,0.4666,0.4618,0.7167,0.7750,0.07,7.63
Basic_VQC,covtype,5,4,99,200,0.4739,0.4618,0.7167,0.7750,0.07,7.70
Basic_VQC,covtype,5,4,100,200,0.4715,0.4618,0.7417,0.7750,0.07,7.77
Basic_VQC,covtype,5,4,101,200,0.4625,0.4618,0.7167,0.7750,0.07,7.85
Basic_VQC,covtype,5,4,102,200,0.4614,0.4614,0.7167,0.7750,0.07,7.92
Basic_VQC,covtype,5,4,103,200,0.4617,0.4614,0.7167,0.7750,0.07,7.99
Basic_VQC,covtype,5,4,104,200,0.4643,0.4614,0.7333,0.7750,0.08,8.07
Basic_VQC,covtype,5,4,105,200,0.4647,0.4614,0.7167,0.7750,0.07,8.14
Basic_VQC,covtype,5,4,106,200,0.4678,0.4614,0.7167,0.7750,0.07,8.21
Basic_VQC,covtype,5,4,107,200,0.4691,0.4614,0.7167,0.7750,0.08,8.29
Basic_VQC,covtype,5,4,108,200,0.4676,0.4614,0.7250,0.7750,0.07,8.36
Basic_VQC,covtype,5,4,109,200,0.4620,0.4614,0.7167,0.7750,0.07,8.43
Basic_VQC,covtype,5,4,110,200,0.4669,0.4614,0.7167,0.7750,0.07,8.51
Basic_VQC,covtype,5,4,111,200,0.4678,0.4614,0.7167,0.7750,0.08,8.58
Basic_VQC,covtype,5,4,112,200,0.4643,0.4614,0.7333,0.7750,0.07,8.66
Basic_VQC,covtype,5,4,113,200,0.4628,0.4614,0.7333,0.7750,0.07,8.73
Basic_VQC,covtype,5,4,114,200,0.4653,0.4614,0.7167,0.7750,0.07,8.80
Basic_VQC,covtype,5,4,115,200,0.4607,0.4607,0.7167,0.7750,0.07,8.87
Basic_VQC,covtype,5,4,116,200,0.4649,0.4607,0.7167,0.7750,0.07,8.95
Basic_VQC,covtype,5,4,117,200,0.4663,0.4607,0.7167,0.7750,0.07,9.02
Basic_VQC,covtype,5,4,118,200,0.4634,0.4607,0.7167,0.7750,0.07,9.09
Basic_VQC,covtype,5,4,119,200,0.4695,0.4607,0.7417,0.7750,0.07,9.16
Basic_VQC,covtype,5,4,120,200,0.4627,0.4607,0.7167,0.7750,0.07,9.24
Basic_VQC,covtype,5,4,121,200,0.4629,0.4607,0.7167,0.7750,0.07,9.31
Basic_VQC,covtype,5,4,122,200,0.4640,0.4607,0.7167,0.7750,0.07,9.38
Basic_VQC,covtype,5,4,123,200,0.4701,0.4607,0.7167,0.7750,0.07,9.45
Basic_VQC,covtype,5,4,124,200,0.4632,0.4607,0.7167,0.7750,0.07,9.53
Basic_VQC,covtype,5,4,125,200,0.4641,0.4607,0.7083,0.7750,0.07,9.60
Basic_VQC,covtype,5,4,126,200,0.4642,0.4607,0.7333,0.7750,0.07,9.67
Basic_VQC,covtype,5,4,127,200,0.4687,0.4607,0.7167,0.7750,0.07,9.75
Basic_VQC,covtype,5,4,128,200,0.4621,0.4607,0.7250,0.7750,0.07,9.82
Basic_VQC,covtype,5,4,129,200,0.4627,0.4607,0.7167,0.7750,0.09,9.91
Basic_VQC,covtype,5,4,130,200,0.4656,0.4607,0.7167,0.7750,0.08,9.98
Basic_VQC,covtype,5,4,131,200,0.4641,0.4607,0.7167,0.7750,0.07,10.06
Basic_VQC,covtype,5,4,132,200,0.4624,0.4607,0.7250,0.7750,0.07,10.13
Basic_VQC,covtype,5,4,133,200,0.4652,0.4607,0.7167,0.7750,0.07,10.21
Basic_VQC,covtype,5,4,134,200,0.4677,0.4607,0.7417,0.7750,0.07,10.28
Basic_VQC,covtype,5,4,135,200,0.4640,0.4607,0.7167,0.7750,0.07,10.35
Basic_VQC,covtype,5,4,136,200,0.4625,0.4607,0.7250,0.7750,0.07,10.43
Basic_VQC,covtype,5,4,137,200,0.4667,0.4607,0.7167,0.7750,0.07,10.50
Basic_VQC,covtype,5,4,138,200,0.4770,0.4607,0.7333,0.7750,0.07,10.57
Basic_VQC,covtype,5,4,139,200,0.4806,0.4607,0.7417,0.7750,0.07,10.65
Basic_VQC,covtype,5,4,140,200,0.4798,0.4607,0.7083,0.7750,0.08,10.72
Basic_VQC,covtype,5,4,141,200,0.4628,0.4607,0.7250,0.7750,0.07,10.80
Basic_VQC,covtype,5,4,142,200,0.4617,0.4607,0.7167,0.7750,0.07,10.87
Basic_VQC,covtype,5,4,143,200,0.4643,0.4607,0.7167,0.7750,0.07,10.94
Basic_VQC,covtype,5,4,144,200,0.4664,0.4607,0.7250,0.7750,0.07,11.02
Basic_VQC,covtype,5,4,145,200,0.4623,0.4607,0.7250,0.7750,0.07,11.09
Basic_VQC,covtype,5,4,146,200,0.4661,0.4607,0.7167,0.7750,0.07,11.17
Basic_VQC,covtype,5,4,147,200,0.4706,0.4607,0.7417,0.7750,0.07,11.24
Basic_VQC,covtype,5,4,148,200,0.4659,0.4607,0.7250,0.7750,0.07,11.31
Basic_VQC,covtype,5,4,149,200,0.4649,0.4607,0.7250,0.7750,0.07,11.39
Basic_VQC,covtype,5,4,150,200,0.4628,0.4607,0.7250,0.7750,0.07,11.46
Basic_VQC,covtype,5,4,151,200,0.4677,0.4607,0.7167,0.7750,0.07,11.53
Basic_VQC,covtype,5,4,152,200,0.4637,0.4607,0.7250,0.7750,0.07,11.60
Basic_VQC,covtype,5,4,153,200,0.4615,0.4607,0.7167,0.7750,0.07,11.68
Basic_VQC,covtype,5,4,154,200,0.4671,0.4607,0.7167,0.7750,0.07,11.75
Basic_VQC,covtype,5,4,155,200,0.4613,0.4607,0.7167,0.7750,0.07,11.83
Basic_VQC,covtype,5,4,156,200,0.4632,0.4607,0.7167,0.7750,0.07,11.90
Basic_VQC,covtype,5,4,157,200,0.4608,0.4607,0.7250,0.7750,0.07,11.97
Basic_VQC,covtype,5,4,158,200,0.4624,0.4607,0.7250,0.7750,0.07,12.05
Basic_VQC,covtype,5,4,159,200,0.4658,0.4607,0.7167,0.7750,0.07,12.12
Basic_VQC,covtype,5,4,160,200,0.4630,0.4607,0.7250,0.7750,0.07,12.19
Basic_VQC,covtype,5,4,161,200,0.4656,0.4607,0.7250,0.7750,0.07,12.27
Basic_VQC,covtype,5,4,162,200,0.4682,0.4607,0.7167,0.7750,0.07,12.34
Basic_VQC,covtype,5,4,163,200,0.4685,0.4607,0.7167,0.7750,0.07,12.42
Basic_VQC,covtype,5,4,164,200,0.4694,0.4607,0.7333,0.7750,0.07,12.49
Basic_VQC,covtype,5,4,165,200,0.4611,0.4607,0.7167,0.7750,0.07,12.56
Basic_VQC,covtype,5,4,166,200,0.4649,0.4607,0.7333,0.7750,0.07,12.64
Basic_VQC,covtype,5,4,167,200,0.4668,0.4607,0.7333,0.7750,0.07,12.71
Basic_VQC,covtype,5,4,168,200,0.4652,0.4607,0.7083,0.7750,0.07,12.78
Basic_VQC,covtype,5,4,169,200,0.4644,0.4607,0.7250,0.7750,0.08,12.86
Basic_VQC,covtype,5,4,170,200,0.4615,0.4607,0.7333,0.7750,0.08,12.94
Basic_VQC,covtype,5,4,171,200,0.4603,0.4603,0.7167,0.7750,0.08,13.01
Basic_VQC,covtype,5,4,172,200,0.4609,0.4603,0.7167,0.7750,0.08,13.10
Basic_VQC,covtype,5,4,173,200,0.4626,0.4603,0.7167,0.7750,0.08,13.18
Basic_VQC,covtype,5,4,174,200,0.4624,0.4603,0.7250,0.7750,0.08,13.25
Basic_VQC,covtype,5,4,175,200,0.4642,0.4603,0.7167,0.7750,0.08,13.33
Basic_VQC,covtype,5,4,176,200,0.4602,0.4602,0.7250,0.7750,0.08,13.40
Basic_VQC,covtype,5,4,177,200,0.4650,0.4602,0.7167,0.7750,0.08,13.48
Basic_VQC,covtype,5,4,178,200,0.4636,0.4602,0.7333,0.7750,0.07,13.55
Basic_VQC,covtype,5,4,179,200,0.4617,0.4602,0.7250,0.7750,0.07,13.63
Basic_VQC,covtype,5,4,180,200,0.4621,0.4602,0.7083,0.7750,0.07,13.70
Basic_VQC,covtype,5,4,181,200,0.4630,0.4602,0.7167,0.7750,0.07,13.78
Basic_VQC,covtype,5,4,182,200,0.4621,0.4602,0.7167,0.7750,0.07,13.85
Basic_VQC,covtype,5,4,183,200,0.4619,0.4602,0.7167,0.7750,0.07,13.92
Basic_VQC,covtype,5,4,184,200,0.4651,0.4602,0.7167,0.7750,0.07,14.00
Basic_VQC,covtype,5,4,185,200,0.4680,0.4602,0.7250,0.7750,0.07,14.07
Basic_VQC,covtype,5,4,186,200,0.4664,0.4602,0.7250,0.7750,0.07,14.15
Basic_VQC,covtype,5,4,187,200,0.4629,0.4602,0.7167,0.7750,0.08,14.22
Basic_VQC,covtype,5,4,188,200,0.4620,0.4602,0.7167,0.7750,0.08,14.30
Basic_VQC,covtype,5,4,189,200,0.4611,0.4602,0.7167,0.7750,0.07,14.37
Basic_VQC,covtype,5,4,190,200,0.4647,0.4602,0.7167,0.7750,0.07,14.45
Basic_VQC,covtype,5,4,191,200,0.4627,0.4602,0.7333,0.7750,0.08,14.52
Basic_VQC,covtype,5,4,192,200,0.4608,0.4602,0.7250,0.7750,0.07,14.60
Basic_VQC,covtype,5,4,193,200,0.4612,0.4602,0.7250,0.7750,0.07,14.67
Basic_VQC,covtype,5,4,194,200,0.4621,0.4602,0.7167,0.7750,0.07,14.74
Basic_VQC,covtype,5,4,195,200,0.4624,0.4602,0.7417,0.7750,0.07,14.82
Basic_VQC,covtype,5,4,196,200,0.4677,0.4602,0.7167,0.7750,0.07,14.89
Basic_VQC,covtype,5,4,197,200,0.4633,0.4602,0.7333,0.7750,0.07,14.97
Basic_VQC,covtype,5,4,198,200,0.4700,0.4602,0.7167,0.7750,0.07,15.04
Basic_VQC,covtype,5,4,199,200,0.4743,0.4602,0.7167,0.7750,0.07,15.12
