Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,mnist_10class_pca32,5,4,1,200,2.2226,2.2226,0.2750,0.2750,0.30,0.30
Basic_VQC,mnist_10class_pca32,5,4,2,200,2.0631,2.0631,0.2896,0.2896,0.31,0.61
Basic_VQC,mnist_10class_pca32,5,4,3,200,1.9744,1.9744,0.3271,0.3271,0.30,0.91
Basic_VQC,mnist_10class_pca32,5,4,4,200,1.9109,1.9109,0.3521,0.3521,0.30,1.22
Basic_VQC,mnist_10class_pca32,5,4,5,200,1.8624,1.8624,0.3604,0.3604,0.30,1.52
Basic_VQC,mnist_10class_pca32,5,4,6,200,1.8230,1.8230,0.3792,0.3792,0.30,1.82
Basic_VQC,mnist_10class_pca32,5,4,7,200,1.7900,1.7900,0.3792,0.3792,0.31,2.13
Basic_VQC,mnist_10class_pca32,5,4,8,200,1.7683,1.7683,0.3875,0.3875,0.30,2.43
Basic_VQC,mnist_10class_pca32,5,4,9,200,1.7448,1.7448,0.3917,0.3917,0.31,2.74
Basic_VQC,mnist_10class_pca32,5,4,10,200,1.7264,1.7264,0.4021,0.4021,0.31,3.04
Basic_VQC,mnist_10class_pca32,5,4,11,200,1.7093,1.7093,0.4187,0.4187,0.31,3.35
Basic_VQC,mnist_10class_pca32,5,4,12,200,1.6997,1.6997,0.4208,0.4208,0.31,3.66
Basic_VQC,mnist_10class_pca32,5,4,13,200,1.6900,1.6900,0.4125,0.4208,0.30,3.96
Basic_VQC,mnist_10class_pca32,5,4,14,200,1.6807,1.6807,0.4313,0.4313,0.30,4.26
Basic_VQC,mnist_10class_pca32,5,4,15,200,1.6688,1.6688,0.4396,0.4396,0.32,4.58
Basic_VQC,mnist_10class_pca32,5,4,16,200,1.6597,1.6597,0.4313,0.4396,0.31,4.89
Basic_VQC,mnist_10class_pca32,5,4,17,200,1.6632,1.6597,0.4333,0.4396,0.31,5.20
Basic_VQC,mnist_10class_pca32,5,4,18,200,1.6535,1.6535,0.4333,0.4396,0.30,5.49
Basic_VQC,mnist_10class_pca32,5,4,19,200,1.6431,1.6431,0.4437,0.4437,0.31,5.81
Basic_VQC,mnist_10class_pca32,5,4,20,200,1.6397,1.6397,0.4292,0.4437,0.30,6.11
Basic_VQC,mnist_10class_pca32,5,4,21,200,1.6432,1.6397,0.4167,0.4437,0.30,6.41
Basic_VQC,mnist_10class_pca32,5,4,22,200,1.6401,1.6397,0.4333,0.4437,0.31,6.72
Basic_VQC,mnist_10class_pca32,5,4,23,200,1.6348,1.6348,0.4229,0.4437,0.33,7.05
Basic_VQC,mnist_10class_pca32,5,4,24,200,1.6365,1.6348,0.4354,0.4437,0.34,7.39
