Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,titanic_survival,3,4,1,200,0.6496,0.6496,0.5419,0.5419,0.07,0.07
Basic_VQC,titanic_survival,3,4,2,200,0.6201,0.6201,0.6313,0.6313,0.07,0.14
Basic_VQC,titanic_survival,3,4,3,200,0.6018,0.6018,0.6592,0.6592,0.07,0.21
Basic_VQC,titanic_survival,3,4,4,200,0.5931,0.5931,0.6480,0.6592,0.07,0.28
Basic_VQC,titanic_survival,3,4,5,200,0.5880,0.5880,0.6480,0.6592,0.07,0.35
Basic_VQC,titanic_survival,3,4,6,200,0.5859,0.5859,0.6760,0.6760,0.08,0.43
Basic_VQC,titanic_survival,3,4,7,200,0.5852,0.5852,0.6760,0.6760,0.07,0.50
Basic_VQC,titanic_survival,3,4,8,200,0.5829,0.5829,0.6704,0.6760,0.07,0.57
Basic_VQC,titanic_survival,3,4,9,200,0.5832,0.5829,0.6872,0.6872,0.07,0.64
Basic_VQC,titanic_survival,3,4,10,200,0.5806,0.5806,0.6872,0.6872,0.07,0.71
Basic_VQC,titanic_survival,3,4,11,200,0.5833,0.5806,0.7039,0.7039,0.07,0.78
Basic_VQC,titanic_survival,3,4,12,200,0.5816,0.5806,0.6927,0.7039,0.07,0.85
Basic_VQC,titanic_survival,3,4,13,200,0.5794,0.5794,0.6983,0.7039,0.07,0.92
Basic_VQC,titanic_survival,3,4,14,200,0.5783,0.5783,0.6927,0.7039,0.07,1.00
Basic_VQC,titanic_survival,3,4,15,200,0.5803,0.5783,0.7095,0.7095,0.07,1.07
Basic_VQC,titanic_survival,3,4,16,200,0.5786,0.5783,0.6983,0.7095,0.07,1.14
Basic_VQC,titanic_survival,3,4,17,200,0.5774,0.5774,0.6983,0.7095,0.07,1.21
Basic_VQC,titanic_survival,3,4,18,200,0.5769,0.5769,0.6983,0.7095,0.07,1.27
Basic_VQC,titanic_survival,3,4,19,200,0.5791,0.5769,0.7039,0.7095,0.07,1.34
Basic_VQC,titanic_survival,3,4,20,200,0.5769,0.5769,0.7039,0.7095,0.07,1.41
Basic_VQC,titanic_survival,3,4,21,200,0.5815,0.5769,0.7095,0.7095,0.07,1.48
Basic_VQC,titanic_survival,3,4,22,200,0.5785,0.5769,0.6760,0.7095,0.07,1.55
Basic_VQC,titanic_survival,3,4,23,200,0.5769,0.5769,0.6983,0.7095,0.07,1.61
Basic_VQC,titanic_survival,3,4,24,200,0.5763,0.5763,0.7039,0.7095,0.07,1.68
Basic_VQC,titanic_survival,3,4,25,200,0.5774,0.5763,0.6983,0.7095,0.07,1.75
Basic_VQC,titanic_survival,3,4,26,200,0.5756,0.5756,0.6648,0.7095,0.07,1.82
Basic_VQC,titanic_survival,3,4,27,200,0.5794,0.5756,0.6983,0.7095,0.07,1.89
Basic_VQC,titanic_survival,3,4,28,200,0.5801,0.5756,0.7095,0.7095,0.07,1.96
Basic_VQC,titanic_survival,3,4,29,200,0.5751,0.5751,0.6927,0.7095,0.07,2.03
Basic_VQC,titanic_survival,3,4,30,200,0.5752,0.5751,0.7151,0.7151,0.07,2.09
Basic_VQC,titanic_survival,3,4,31,200,0.5750,0.5750,0.6983,0.7151,0.07,2.16
Basic_VQC,titanic_survival,3,4,32,200,0.5749,0.5749,0.7039,0.7151,0.07,2.23
Basic_VQC,titanic_survival,3,4,33,200,0.5753,0.5749,0.6983,0.7151,0.07,2.30
Basic_VQC,titanic_survival,3,4,34,200,0.5732,0.5732,0.6704,0.7151,0.07,2.36
Basic_VQC,titanic_survival,3,4,35,200,0.5757,0.5732,0.7151,0.7151,0.07,2.43
Basic_VQC,titanic_survival,3,4,36,200,0.5849,0.5732,0.6983,0.7151,0.07,2.50
Basic_VQC,titanic_survival,3,4,37,200,0.5767,0.5732,0.6927,0.7151,0.07,2.57
Basic_VQC,titanic_survival,3,4,38,200,0.5740,0.5732,0.7039,0.7151,0.07,2.64
Basic_VQC,titanic_survival,3,4,39,200,0.5753,0.5732,0.7095,0.7151,0.07,2.71
Basic_VQC,titanic_survival,3,4,40,200,0.5764,0.5732,0.6480,0.7151,0.07,2.78
Basic_VQC,titanic_survival,3,4,41,200,0.5742,0.5732,0.6983,0.7151,0.07,2.85
Basic_VQC,titanic_survival,3,4,42,200,0.5780,0.5732,0.7151,0.7151,0.07,2.91
Basic_VQC,titanic_survival,3,4,43,200,0.5756,0.5732,0.6592,0.7151,0.07,2.98
Basic_VQC,titanic_survival,3,4,44,200,0.5719,0.5719,0.7095,0.7151,0.07,3.05
Basic_VQC,titanic_survival,3,4,45,200,0.5740,0.5719,0.6983,0.7151,0.07,3.12
Basic_VQC,titanic_survival,3,4,46,200,0.5741,0.5719,0.6927,0.7151,0.07,3.19
Basic_VQC,titanic_survival,3,4,47,200,0.5734,0.5719,0.6927,0.7151,0.07,3.26
Basic_VQC,titanic_survival,3,4,48,200,0.5813,0.5719,0.7039,0.7151,0.07,3.32
Basic_VQC,titanic_survival,3,4,49,200,0.5739,0.5719,0.6872,0.7151,0.07,3.39
Basic_VQC,titanic_survival,3,4,50,200,0.5751,0.5719,0.6983,0.7151,0.07,3.46
Basic_VQC,titanic_survival,3,4,51,200,0.5744,0.5719,0.7095,0.7151,0.07,3.53
Basic_VQC,titanic_survival,3,4,52,200,0.5767,0.5719,0.6648,0.7151,0.07,3.59
Basic_VQC,titanic_survival,3,4,53,200,0.5785,0.5719,0.6927,0.7151,0.07,3.66
Basic_VQC,titanic_survival,3,4,54,200,0.5730,0.5719,0.6983,0.7151,0.07,3.73
Basic_VQC,titanic_survival,3,4,55,200,0.5740,0.5719,0.6816,0.7151,0.07,3.81
Basic_VQC,titanic_survival,3,4,56,200,0.5742,0.5719,0.6983,0.7151,0.07,3.88
Basic_VQC,titanic_survival,3,4,57,200,0.5739,0.5719,0.6760,0.7151,0.07,3.94
Basic_VQC,titanic_survival,3,4,58,200,0.5737,0.5719,0.7039,0.7151,0.08,4.02
Basic_VQC,titanic_survival,3,4,59,200,0.5763,0.5719,0.6927,0.7151,0.08,4.10
Basic_VQC,titanic_survival,3,4,60,200,0.5753,0.5719,0.7039,0.7151,0.08,4.18
Basic_VQC,titanic_survival,3,4,61,200,0.5735,0.5719,0.7095,0.7151,0.08,4.25
Basic_VQC,titanic_survival,3,4,62,200,0.5740,0.5719,0.7039,0.7151,0.07,4.33
Basic_VQC,titanic_survival,3,4,63,200,0.5778,0.5719,0.7095,0.7151,0.08,4.41
Basic_VQC,titanic_survival,3,4,64,200,0.5725,0.5719,0.6760,0.7151,0.08,4.48
Basic_VQC,titanic_survival,3,4,65,200,0.5756,0.5719,0.6927,0.7151,0.08,4.56
Basic_VQC,titanic_survival,3,4,66,200,0.5781,0.5719,0.7039,0.7151,0.08,4.64
Basic_VQC,titanic_survival,3,4,67,200,0.5772,0.5719,0.6927,0.7151,0.07,4.71
Basic_VQC,titanic_survival,3,4,68,200,0.5742,0.5719,0.6983,0.7151,0.08,4.79
Basic_VQC,titanic_survival,3,4,69,200,0.5762,0.5719,0.6536,0.7151,0.07,4.86
Basic_VQC,titanic_survival,3,4,70,200,0.5817,0.5719,0.6816,0.7151,0.07,4.93
Basic_VQC,titanic_survival,3,4,71,200,0.5740,0.5719,0.7095,0.7151,0.07,5.00
Basic_VQC,titanic_survival,3,4,72,200,0.5718,0.5718,0.6816,0.7151,0.07,5.07
Basic_VQC,titanic_survival,3,4,73,200,0.5749,0.5718,0.6872,0.7151,0.07,5.14
Basic_VQC,titanic_survival,3,4,74,200,0.5721,0.5718,0.6816,0.7151,0.07,5.21
Basic_VQC,titanic_survival,3,4,75,200,0.5735,0.5718,0.7039,0.7151,0.07,5.28
Basic_VQC,titanic_survival,3,4,76,200,0.5755,0.5718,0.6704,0.7151,0.07,5.34
Basic_VQC,titanic_survival,3,4,77,200,0.5718,0.5718,0.6927,0.7151,0.07,5.41
Basic_VQC,titanic_survival,3,4,78,200,0.5726,0.5718,0.7039,0.7151,0.07,5.48
Basic_VQC,titanic_survival,3,4,79,200,0.5743,0.5718,0.7095,0.7151,0.07,5.55
Basic_VQC,titanic_survival,3,4,80,200,0.5738,0.5718,0.6760,0.7151,0.07,5.62
Basic_VQC,titanic_survival,3,4,81,200,0.5752,0.5718,0.6983,0.7151,0.07,5.69
Basic_VQC,titanic_survival,3,4,82,200,0.5754,0.5718,0.6872,0.7151,0.07,5.76
Basic_VQC,titanic_survival,3,4,83,200,0.5736,0.5718,0.6760,0.7151,0.07,5.84
Basic_VQC,titanic_survival,3,4,84,200,0.5744,0.5718,0.7039,0.7151,0.07,5.90
Basic_VQC,titanic_survival,3,4,85,200,0.5754,0.5718,0.7039,0.7151,0.07,5.97
Basic_VQC,titanic_survival,3,4,86,200,0.5741,0.5718,0.6927,0.7151,0.07,6.04
Basic_VQC,titanic_survival,3,4,87,200,0.5744,0.5718,0.7039,0.7151,0.07,6.11
Basic_VQC,titanic_survival,3,4,88,200,0.5746,0.5718,0.6983,0.7151,0.07,6.18
Basic_VQC,titanic_survival,3,4,89,200,0.5777,0.5718,0.6872,0.7151,0.07,6.25
Basic_VQC,titanic_survival,3,4,90,200,0.5738,0.5718,0.7095,0.7151,0.07,6.31
Basic_VQC,titanic_survival,3,4,91,200,0.5731,0.5718,0.7095,0.7151,0.07,6.38
Basic_VQC,titanic_survival,3,4,92,200,0.5737,0.5718,0.6927,0.7151,0.07,6.45
Basic_VQC,titanic_survival,3,4,93,200,0.5736,0.5718,0.7095,0.7151,0.07,6.52
Basic_VQC,titanic_survival,3,4,94,200,0.5764,0.5718,0.6927,0.7151,0.07,6.59
Basic_VQC,titanic_survival,3,4,95,200,0.5780,0.5718,0.7095,0.7151,0.07,6.66
