Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,circles,3,4,1,200,0.6961,0.6961,0.5500,0.5500,0.02,0.02
Basic_VQC,circles,3,4,2,200,0.6956,0.6956,0.5417,0.5500,0.02,0.04
Basic_VQC,circles,3,4,3,200,0.6951,0.6951,0.5500,0.5500,0.02,0.06
Basic_VQC,circles,3,4,4,200,0.6947,0.6947,0.5417,0.5500,0.02,0.08
Basic_VQC,circles,3,4,5,200,0.6943,0.6943,0.5750,0.5750,0.02,0.10
Basic_VQC,circles,3,4,6,200,0.6939,0.6939,0.5417,0.5750,0.02,0.11
Basic_VQC,circles,3,4,7,200,0.6936,0.6936,0.4917,0.5750,0.02,0.14
Basic_VQC,circles,3,4,8,200,0.6934,0.6934,0.4833,0.5750,0.02,0.15
Basic_VQC,circles,3,4,9,200,0.6932,0.6932,0.4667,0.5750,0.02,0.17
Basic_VQC,circles,3,4,10,200,0.6930,0.6930,0.4667,0.5750,0.02,0.19
Basic_VQC,circles,3,4,11,200,0.6929,0.6929,0.4583,0.5750,0.02,0.21
Basic_VQC,circles,3,4,12,200,0.6928,0.6928,0.4417,0.5750,0.02,0.23
Basic_VQC,circles,3,4,13,200,0.6928,0.6928,0.4583,0.5750,0.02,0.25
Basic_VQC,circles,3,4,14,200,0.6927,0.6927,0.4417,0.5750,0.02,0.27
Basic_VQC,circles,3,4,15,200,0.6927,0.6927,0.4500,0.5750,0.02,0.28
Basic_VQC,circles,3,4,16,200,0.6927,0.6927,0.4667,0.5750,0.02,0.30
Basic_VQC,circles,3,4,17,200,0.6927,0.6927,0.4667,0.5750,0.02,0.32
Basic_VQC,circles,3,4,18,200,0.6927,0.6927,0.4750,0.5750,0.02,0.34
Basic_VQC,circles,3,4,19,200,0.6927,0.6927,0.4667,0.5750,0.02,0.36
Basic_VQC,circles,3,4,20,200,0.6927,0.6927,0.4667,0.5750,0.02,0.38
Basic_VQC,circles,3,4,21,200,0.6927,0.6927,0.4500,0.5750,0.02,0.40
Basic_VQC,circles,3,4,22,200,0.6927,0.6927,0.4500,0.5750,0.02,0.42
Basic_VQC,circles,3,4,23,200,0.6927,0.6927,0.4500,0.5750,0.02,0.43
Basic_VQC,circles,3,4,24,200,0.6927,0.6927,0.4500,0.5750,0.02,0.46
Basic_VQC,circles,3,4,25,200,0.6927,0.6927,0.4417,0.5750,0.02,0.47
Basic_VQC,circles,3,4,26,200,0.6927,0.6927,0.4250,0.5750,0.02,0.49
Basic_VQC,circles,3,4,27,200,0.6927,0.6927,0.4333,0.5750,0.02,0.51
Basic_VQC,circles,3,4,28,200,0.6927,0.6927,0.4333,0.5750,0.02,0.53
Basic_VQC,circles,3,4,29,200,0.6927,0.6927,0.4333,0.5750,0.02,0.55
Basic_VQC,circles,3,4,30,200,0.6927,0.6927,0.4333,0.5750,0.02,0.57
Basic_VQC,circles,3,4,31,200,0.6927,0.6927,0.4250,0.5750,0.02,0.59
Basic_VQC,circles,3,4,32,200,0.6926,0.6926,0.4250,0.5750,0.02,0.61
Basic_VQC,circles,3,4,33,200,0.6926,0.6926,0.4333,0.5750,0.02,0.63
Basic_VQC,circles,3,4,34,200,0.6926,0.6926,0.4250,0.5750,0.02,0.65
Basic_VQC,circles,3,4,35,200,0.6926,0.6926,0.4250,0.5750,0.02,0.67
Basic_VQC,circles,3,4,36,200,0.6926,0.6926,0.4333,0.5750,0.02,0.69
Basic_VQC,circles,3,4,37,200,0.6926,0.6926,0.4333,0.5750,0.02,0.71
Basic_VQC,circles,3,4,38,200,0.6926,0.6926,0.4333,0.5750,0.02,0.73
Basic_VQC,circles,3,4,39,200,0.6926,0.6926,0.4333,0.5750,0.02,0.75
