Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,covtype,5,4,1,200,0.6729,0.6729,0.7083,0.7083,0.03,0.03
Basic_VQC,covtype,5,4,2,200,0.6715,0.6715,0.6917,0.7083,0.03,0.06
Basic_VQC,covtype,5,4,3,200,0.6701,0.6701,0.6917,0.7083,0.03,0.09
Basic_VQC,covtype,5,4,4,200,0.6687,0.6687,0.7000,0.7083,0.03,0.13
Basic_VQC,covtype,5,4,5,200,0.6675,0.6675,0.7000,0.7083,0.04,0.16
Basic_VQC,covtype,5,4,6,200,0.6663,0.6663,0.7083,0.7083,0.04,0.20
Basic_VQC,covtype,5,4,7,200,0.6651,0.6651,0.7083,0.7083,0.03,0.23
Basic_VQC,covtype,5,4,8,200,0.6639,0.6639,0.7167,0.7167,0.03,0.27
Basic_VQC,covtype,5,4,9,200,0.6626,0.6626,0.7083,0.7167,0.03,0.30
Basic_VQC,covtype,5,4,10,200,0.6614,0.6614,0.7250,0.7250,0.04,0.34
Basic_VQC,covtype,5,4,11,200,0.6601,0.6601,0.7500,0.7500,0.03,0.37
Basic_VQC,covtype,5,4,12,200,0.6589,0.6589,0.7417,0.7500,0.03,0.40
Basic_VQC,covtype,5,4,13,200,0.6576,0.6576,0.7250,0.7500,0.03,0.43
Basic_VQC,covtype,5,4,14,200,0.6563,0.6563,0.7167,0.7500,0.04,0.47
Basic_VQC,covtype,5,4,15,200,0.6551,0.6551,0.7417,0.7500,0.03,0.50
Basic_VQC,covtype,5,4,16,200,0.6539,0.6539,0.7417,0.7500,0.04,0.54
Basic_VQC,covtype,5,4,17,200,0.6527,0.6527,0.7333,0.7500,0.04,0.58
Basic_VQC,covtype,5,4,18,200,0.6516,0.6516,0.7417,0.7500,0.04,0.61
Basic_VQC,covtype,5,4,19,200,0.6506,0.6506,0.7417,0.7500,0.03,0.65
Basic_VQC,covtype,5,4,20,200,0.6497,0.6497,0.7417,0.7500,0.03,0.68
Basic_VQC,covtype,5,4,21,200,0.6488,0.6488,0.7417,0.7500,0.03,0.72
Basic_VQC,covtype,5,4,22,200,0.6481,0.6481,0.7417,0.7500,0.03,0.75
Basic_VQC,covtype,5,4,23,200,0.6474,0.6474,0.7417,0.7500,0.04,0.79
Basic_VQC,covtype,5,4,24,200,0.6468,0.6468,0.7417,0.7500,0.03,0.82
Basic_VQC,covtype,5,4,25,200,0.6463,0.6463,0.7417,0.7500,0.04,0.86
Basic_VQC,covtype,5,4,26,200,0.6458,0.6458,0.7417,0.7500,0.03,0.89
Basic_VQC,covtype,5,4,27,200,0.6453,0.6453,0.7417,0.7500,0.03,0.92
Basic_VQC,covtype,5,4,28,200,0.6448,0.6448,0.7417,0.7500,0.04,0.96
Basic_VQC,covtype,5,4,29,200,0.6444,0.6444,0.7417,0.7500,0.04,1.00
Basic_VQC,covtype,5,4,30,200,0.6440,0.6440,0.7417,0.7500,0.04,1.03
Basic_VQC,covtype,5,4,31,200,0.6436,0.6436,0.7417,0.7500,0.03,1.07
Basic_VQC,covtype,5,4,32,200,0.6431,0.6431,0.7417,0.7500,0.04,1.10
Basic_VQC,covtype,5,4,33,200,0.6427,0.6427,0.7417,0.7500,0.04,1.14
Basic_VQC,covtype,5,4,34,200,0.6423,0.6423,0.7417,0.7500,0.04,1.19
Basic_VQC,covtype,5,4,35,200,0.6419,0.6419,0.7417,0.7500,0.04,1.23
Basic_VQC,covtype,5,4,36,200,0.6416,0.6416,0.7417,0.7500,0.04,1.27
Basic_VQC,covtype,5,4,37,200,0.6412,0.6412,0.7500,0.7500,0.04,1.30
Basic_VQC,covtype,5,4,38,200,0.6409,0.6409,0.7500,0.7500,0.04,1.34
Basic_VQC,covtype,5,4,39,200,0.6406,0.6406,0.7500,0.7500,0.04,1.38
Basic_VQC,covtype,5,4,40,200,0.6403,0.6403,0.7500,0.7500,0.04,1.41
Basic_VQC,covtype,5,4,41,200,0.6401,0.6401,0.7500,0.7500,0.04,1.45
Basic_VQC,covtype,5,4,42,200,0.6398,0.6398,0.7500,0.7500,0.04,1.49
Basic_VQC,covtype,5,4,43,200,0.6396,0.6396,0.7500,0.7500,0.03,1.52
Basic_VQC,covtype,5,4,44,200,0.6394,0.6394,0.7500,0.7500,0.03,1.55
Basic_VQC,covtype,5,4,45,200,0.6392,0.6392,0.7500,0.7500,0.04,1.59
Basic_VQC,covtype,5,4,46,200,0.6390,0.6390,0.7500,0.7500,0.03,1.63
Basic_VQC,covtype,5,4,47,200,0.6388,0.6388,0.7583,0.7583,0.04,1.66
Basic_VQC,covtype,5,4,48,200,0.6386,0.6386,0.7583,0.7583,0.04,1.70
Basic_VQC,covtype,5,4,49,200,0.6384,0.6384,0.7583,0.7583,0.04,1.74
Basic_VQC,covtype,5,4,50,200,0.6382,0.6382,0.7583,0.7583,0.03,1.78
Basic_VQC,covtype,5,4,51,200,0.6381,0.6381,0.7583,0.7583,0.03,1.81
Basic_VQC,covtype,5,4,52,200,0.6379,0.6379,0.7583,0.7583,0.03,1.84
Basic_VQC,covtype,5,4,53,200,0.6377,0.6377,0.7500,0.7583,0.03,1.87
Basic_VQC,covtype,5,4,54,200,0.6376,0.6376,0.7500,0.7583,0.04,1.91
Basic_VQC,covtype,5,4,55,200,0.6375,0.6375,0.7500,0.7583,0.03,1.94
Basic_VQC,covtype,5,4,56,200,0.6373,0.6373,0.7583,0.7583,0.04,1.98
Basic_VQC,covtype,5,4,57,200,0.6372,0.6372,0.7583,0.7583,0.04,2.02
Basic_VQC,covtype,5,4,58,200,0.6371,0.6371,0.7583,0.7583,0.03,2.05
Basic_VQC,covtype,5,4,59,200,0.6370,0.6370,0.7583,0.7583,0.03,2.08
Basic_VQC,covtype,5,4,60,200,0.6369,0.6369,0.7583,0.7583,0.03,2.12
Basic_VQC,covtype,5,4,61,200,0.6368,0.6368,0.7583,0.7583,0.04,2.15
Basic_VQC,covtype,5,4,62,200,0.6367,0.6367,0.7583,0.7583,0.04,2.19
Basic_VQC,covtype,5,4,63,200,0.6366,0.6366,0.7583,0.7583,0.03,2.22
Basic_VQC,covtype,5,4,64,200,0.6365,0.6365,0.7583,0.7583,0.03,2.26
Basic_VQC,covtype,5,4,65,200,0.6365,0.6365,0.7583,0.7583,0.03,2.29
Basic_VQC,covtype,5,4,66,200,0.6364,0.6364,0.7583,0.7583,0.03,2.32
Basic_VQC,covtype,5,4,67,200,0.6363,0.6363,0.7583,0.7583,0.03,2.36
Basic_VQC,covtype,5,4,68,200,0.6363,0.6363,0.7583,0.7583,0.03,2.39
Basic_VQC,covtype,5,4,69,200,0.6362,0.6362,0.7583,0.7583,0.03,2.42
Basic_VQC,covtype,5,4,70,200,0.6362,0.6362,0.7583,0.7583,0.03,2.45
Basic_VQC,covtype,5,4,71,200,0.6361,0.6361,0.7583,0.7583,0.03,2.49
Basic_VQC,covtype,5,4,72,200,0.6361,0.6361,0.7667,0.7667,0.03,2.52
Basic_VQC,covtype,5,4,73,200,0.6361,0.6361,0.7583,0.7667,0.03,2.55
Basic_VQC,covtype,5,4,74,200,0.6360,0.6360,0.7583,0.7667,0.03,2.59
Basic_VQC,covtype,5,4,75,200,0.6360,0.6360,0.7583,0.7667,0.03,2.62
Basic_VQC,covtype,5,4,76,200,0.6360,0.6360,0.7583,0.7667,0.03,2.65
Basic_VQC,covtype,5,4,77,200,0.6359,0.6359,0.7583,0.7667,0.04,2.69
Basic_VQC,covtype,5,4,78,200,0.6359,0.6359,0.7583,0.7667,0.03,2.72
Basic_VQC,covtype,5,4,79,200,0.6359,0.6359,0.7583,0.7667,0.03,2.75
Basic_VQC,covtype,5,4,80,200,0.6359,0.6359,0.7583,0.7667,0.03,2.78
Basic_VQC,covtype,5,4,81,200,0.6359,0.6359,0.7583,0.7667,0.03,2.82
Basic_VQC,covtype,5,4,82,200,0.6358,0.6358,0.7583,0.7667,0.03,2.85
Basic_VQC,covtype,5,4,83,200,0.6358,0.6358,0.7583,0.7667,0.03,2.88
Basic_VQC,covtype,5,4,84,200,0.6358,0.6358,0.7583,0.7667,0.03,2.91
Basic_VQC,covtype,5,4,85,200,0.6358,0.6358,0.7583,0.7667,0.03,2.95
Basic_VQC,covtype,5,4,86,200,0.6358,0.6358,0.7667,0.7667,0.03,2.98
Basic_VQC,covtype,5,4,87,200,0.6358,0.6358,0.7667,0.7667,0.04,3.02
Basic_VQC,covtype,5,4,88,200,0.6357,0.6357,0.7667,0.7667,0.03,3.05
Basic_VQC,covtype,5,4,89,200,0.6357,0.6357,0.7583,0.7667,0.03,3.08
Basic_VQC,covtype,5,4,90,200,0.6357,0.6357,0.7583,0.7667,0.03,3.11
Basic_VQC,covtype,5,4,91,200,0.6357,0.6357,0.7583,0.7667,0.03,3.15
Basic_VQC,covtype,5,4,92,200,0.6357,0.6357,0.7583,0.7667,0.04,3.18
Basic_VQC,covtype,5,4,93,200,0.6357,0.6357,0.7500,0.7667,0.04,3.22
Basic_VQC,covtype,5,4,94,200,0.6357,0.6357,0.7500,0.7667,0.04,3.26
Basic_VQC,covtype,5,4,95,200,0.6357,0.6357,0.7500,0.7667,0.04,3.29
Basic_VQC,covtype,5,4,96,200,0.6356,0.6356,0.7583,0.7667,0.04,3.33
Basic_VQC,covtype,5,4,97,200,0.6356,0.6356,0.7583,0.7667,0.04,3.37
Basic_VQC,covtype,5,4,98,200,0.6356,0.6356,0.7583,0.7667,0.03,3.40
Basic_VQC,covtype,5,4,99,200,0.6356,0.6356,0.7583,0.7667,0.04,3.44
Basic_VQC,covtype,5,4,100,200,0.6356,0.6356,0.7583,0.7667,0.03,3.47
Basic_VQC,covtype,5,4,101,200,0.6356,0.6356,0.7583,0.7667,0.04,3.50
Basic_VQC,covtype,5,4,102,200,0.6356,0.6356,0.7583,0.7667,0.03,3.54
Basic_VQC,covtype,5,4,103,200,0.6356,0.6356,0.7583,0.7667,0.03,3.57
Basic_VQC,covtype,5,4,104,200,0.6356,0.6356,0.7500,0.7667,0.03,3.61
Basic_VQC,covtype,5,4,105,200,0.6356,0.6356,0.7500,0.7667,0.04,3.64
Basic_VQC,covtype,5,4,106,200,0.6356,0.6356,0.7500,0.7667,0.04,3.68
Basic_VQC,covtype,5,4,107,200,0.6356,0.6356,0.7583,0.7667,0.03,3.71
Basic_VQC,covtype,5,4,108,200,0.6356,0.6356,0.7583,0.7667,0.03,3.75
Basic_VQC,covtype,5,4,109,200,0.6356,0.6356,0.7583,0.7667,0.04,3.79
Basic_VQC,covtype,5,4,110,200,0.6356,0.6356,0.7583,0.7667,0.03,3.82
Basic_VQC,covtype,5,4,111,200,0.6356,0.6356,0.7583,0.7667,0.04,3.85
Basic_VQC,covtype,5,4,112,200,0.6356,0.6356,0.7583,0.7667,0.05,3.90
Basic_VQC,covtype,5,4,113,200,0.6356,0.6356,0.7583,0.7667,0.03,3.94
Basic_VQC,covtype,5,4,114,200,0.6356,0.6356,0.7583,0.7667,0.03,3.97
Basic_VQC,covtype,5,4,115,200,0.6356,0.6356,0.7500,0.7667,0.04,4.01
Basic_VQC,covtype,5,4,116,200,0.6356,0.6356,0.7500,0.7667,0.04,4.05
