Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,digits_0-9,6,4,1,200,2.2464,2.2464,0.2722,0.2722,0.35,0.35
Basic_VQC,digits_0-9,6,4,2,200,2.0187,2.0187,0.4056,0.4056,0.34,0.69
Basic_VQC,digits_0-9,6,4,3,200,1.8464,1.8464,0.4333,0.4333,0.34,1.03
Basic_VQC,digits_0-9,6,4,4,200,1.7235,1.7235,0.4806,0.4806,0.32,1.35
Basic_VQC,digits_0-9,6,4,5,200,1.6373,1.6373,0.4917,0.4917,0.34,1.69
Basic_VQC,digits_0-9,6,4,6,200,1.5714,1.5714,0.5056,0.5056,0.33,2.02
Basic_VQC,digits_0-9,6,4,7,200,1.5208,1.5208,0.5306,0.5306,0.34,2.36
Basic_VQC,digits_0-9,6,4,8,200,1.4878,1.4878,0.5222,0.5306,0.32,2.68
Basic_VQC,digits_0-9,6,4,9,200,1.4595,1.4595,0.5250,0.5306,0.32,3.01
Basic_VQC,digits_0-9,6,4,10,200,1.4284,1.4284,0.5222,0.5306,0.33,3.34
Basic_VQC,digits_0-9,6,4,11,200,1.4069,1.4069,0.5444,0.5444,0.32,3.66
Basic_VQC,digits_0-9,6,4,12,200,1.3934,1.3934,0.5472,0.5472,0.32,3.98
Basic_VQC,digits_0-9,6,4,13,200,1.3821,1.3821,0.5389,0.5472,0.34,4.32
Basic_VQC,digits_0-9,6,4,14,200,1.3704,1.3704,0.5361,0.5472,0.34,4.66
Basic_VQC,digits_0-9,6,4,15,200,1.3549,1.3549,0.5500,0.5500,0.34,5.00
Basic_VQC,digits_0-9,6,4,16,200,1.3554,1.3549,0.5472,0.5500,0.34,5.34
Basic_VQC,digits_0-9,6,4,17,200,1.3417,1.3417,0.5306,0.5500,0.35,5.69
Basic_VQC,digits_0-9,6,4,18,200,1.3399,1.3399,0.5250,0.5500,0.35,6.04
Basic_VQC,digits_0-9,6,4,19,200,1.3317,1.3317,0.5250,0.5500,0.34,6.39
Basic_VQC,digits_0-9,6,4,20,200,1.3258,1.3258,0.5472,0.5500,0.34,6.73
Basic_VQC,digits_0-9,6,4,21,200,1.3252,1.3252,0.5361,0.5500,0.33,7.06
Basic_VQC,digits_0-9,6,4,22,200,1.3156,1.3156,0.5167,0.5500,0.33,7.39
Basic_VQC,digits_0-9,6,4,23,200,1.3130,1.3130,0.5361,0.5500,0.33,7.72
Basic_VQC,digits_0-9,6,4,24,200,1.3052,1.3052,0.5528,0.5528,0.33,8.05
Basic_VQC,digits_0-9,6,4,25,200,1.3018,1.3018,0.5278,0.5528,0.34,8.39
Basic_VQC,digits_0-9,6,4,26,200,1.3045,1.3018,0.5389,0.5528,0.34,8.73
Basic_VQC,digits_0-9,6,4,27,200,1.2982,1.2982,0.5389,0.5528,0.34,9.07
Basic_VQC,digits_0-9,6,4,28,200,1.2864,1.2864,0.5056,0.5528,0.33,9.41
Basic_VQC,digits_0-9,6,4,29,200,1.2911,1.2864,0.5306,0.5528,0.34,9.75
Basic_VQC,digits_0-9,6,4,30,200,1.2807,1.2807,0.5333,0.5528,0.34,10.09
Basic_VQC,digits_0-9,6,4,31,200,1.2819,1.2807,0.5278,0.5528,0.34,10.43
Basic_VQC,digits_0-9,6,4,32,200,1.2793,1.2793,0.5444,0.5528,0.33,10.76
Basic_VQC,digits_0-9,6,4,33,200,1.2855,1.2793,0.5333,0.5528,0.32,11.08
Basic_VQC,digits_0-9,6,4,34,200,1.2713,1.2713,0.5444,0.5528,0.32,11.41
Basic_VQC,digits_0-9,6,4,35,200,1.2644,1.2644,0.5444,0.5528,0.33,11.73
Basic_VQC,digits_0-9,6,4,36,200,1.2613,1.2613,0.5444,0.5528,0.32,12.06
Basic_VQC,digits_0-9,6,4,37,200,1.2679,1.2613,0.5583,0.5583,0.34,12.39
Basic_VQC,digits_0-9,6,4,38,200,1.2617,1.2613,0.5500,0.5583,0.34,12.73
Basic_VQC,digits_0-9,6,4,39,200,1.2602,1.2602,0.5528,0.5583,0.34,13.07
Basic_VQC,digits_0-9,6,4,40,200,1.2584,1.2584,0.5528,0.5583,0.33,13.40
Basic_VQC,digits_0-9,6,4,41,200,1.2562,1.2562,0.5500,0.5583,0.34,13.74
Basic_VQC,digits_0-9,6,4,42,200,1.2437,1.2437,0.5861,0.5861,0.35,14.10
Basic_VQC,digits_0-9,6,4,43,200,1.2421,1.2421,0.5806,0.5861,0.33,14.43
Basic_VQC,digits_0-9,6,4,44,200,1.2472,1.2421,0.5611,0.5861,0.32,14.75
Basic_VQC,digits_0-9,6,4,45,200,1.2406,1.2406,0.5639,0.5861,0.32,15.07
Basic_VQC,digits_0-9,6,4,46,200,1.2458,1.2406,0.5500,0.5861,0.32,15.40
Basic_VQC,digits_0-9,6,4,47,200,1.2400,1.2400,0.5556,0.5861,0.33,15.72
Basic_VQC,digits_0-9,6,4,48,200,1.2407,1.2400,0.5611,0.5861,0.32,16.04
Basic_VQC,digits_0-9,6,4,49,200,1.2355,1.2355,0.5639,0.5861,0.33,16.38
Basic_VQC,digits_0-9,6,4,50,200,1.2349,1.2349,0.5750,0.5861,0.34,16.72
Basic_VQC,digits_0-9,6,4,51,200,1.2376,1.2349,0.5861,0.5861,0.34,17.05
Basic_VQC,digits_0-9,6,4,52,200,1.2267,1.2267,0.5472,0.5861,0.33,17.38
Basic_VQC,digits_0-9,6,4,53,200,1.2299,1.2267,0.5694,0.5861,0.34,17.72
Basic_VQC,digits_0-9,6,4,54,200,1.2220,1.2220,0.5444,0.5861,0.34,18.06
Basic_VQC,digits_0-9,6,4,55,200,1.2232,1.2220,0.5556,0.5861,0.33,18.39
Basic_VQC,digits_0-9,6,4,56,200,1.2279,1.2220,0.5722,0.5861,0.32,18.71
Basic_VQC,digits_0-9,6,4,57,200,1.2257,1.2220,0.5667,0.5861,0.35,19.06
Basic_VQC,digits_0-9,6,4,58,200,1.2302,1.2220,0.5889,0.5889,0.31,19.38
Basic_VQC,digits_0-9,6,4,59,200,1.2167,1.2167,0.5528,0.5889,0.30,19.67
Basic_VQC,digits_0-9,6,4,60,200,1.2254,1.2167,0.5833,0.5889,0.29,19.97
Basic_VQC,digits_0-9,6,4,61,200,1.2219,1.2167,0.5639,0.5889,0.29,20.26
Basic_VQC,digits_0-9,6,4,62,200,1.2158,1.2158,0.5667,0.5889,0.31,20.57
Basic_VQC,digits_0-9,6,4,63,200,1.2159,1.2158,0.5722,0.5889,0.30,20.87
Basic_VQC,digits_0-9,6,4,64,200,1.2327,1.2158,0.5778,0.5889,0.31,21.18
Basic_VQC,digits_0-9,6,4,65,200,1.2136,1.2136,0.5611,0.5889,0.29,21.47
Basic_VQC,digits_0-9,6,4,66,200,1.2212,1.2136,0.5750,0.5889,0.29,21.76
Basic_VQC,digits_0-9,6,4,67,200,1.2114,1.2114,0.5722,0.5889,0.29,22.05
Basic_VQC,digits_0-9,6,4,68,200,1.2232,1.2114,0.5833,0.5889,0.29,22.35
Basic_VQC,digits_0-9,6,4,69,200,1.2059,1.2059,0.5833,0.5889,0.29,22.64
Basic_VQC,digits_0-9,6,4,70,200,1.2142,1.2059,0.5917,0.5917,0.29,22.92
Basic_VQC,digits_0-9,6,4,71,200,1.2286,1.2059,0.5778,0.5917,0.29,23.21
Basic_VQC,digits_0-9,6,4,72,200,1.2060,1.2059,0.5833,0.5917,0.29,23.50
Basic_VQC,digits_0-9,6,4,73,200,1.2159,1.2059,0.5861,0.5917,0.29,23.79
Basic_VQC,digits_0-9,6,4,74,200,1.2056,1.2056,0.5972,0.5972,0.29,24.08
Basic_VQC,digits_0-9,6,4,75,200,1.2069,1.2056,0.5556,0.5972,0.29,24.37
Basic_VQC,digits_0-9,6,4,76,200,1.2169,1.2056,0.5667,0.5972,0.29,24.65
Basic_VQC,digits_0-9,6,4,77,200,1.2119,1.2056,0.5667,0.5972,0.29,24.94
Basic_VQC,digits_0-9,6,4,78,200,1.2144,1.2056,0.5722,0.5972,0.29,25.22
Basic_VQC,digits_0-9,6,4,79,200,1.2046,1.2046,0.5917,0.5972,0.29,25.51
Basic_VQC,digits_0-9,6,4,80,200,1.2023,1.2023,0.5833,0.5972,0.29,25.80
Basic_VQC,digits_0-9,6,4,81,200,1.2090,1.2023,0.5667,0.5972,0.29,26.09
Basic_VQC,digits_0-9,6,4,82,200,1.2047,1.2023,0.5750,0.5972,0.29,26.38
Basic_VQC,digits_0-9,6,4,83,200,1.2033,1.2023,0.5972,0.5972,0.29,26.66
Basic_VQC,digits_0-9,6,4,84,200,1.2028,1.2023,0.5750,0.5972,0.29,26.95
Basic_VQC,digits_0-9,6,4,85,200,1.2104,1.2023,0.6000,0.6000,0.29,27.24
Basic_VQC,digits_0-9,6,4,86,200,1.1945,1.1945,0.5778,0.6000,0.29,27.53
Basic_VQC,digits_0-9,6,4,87,200,1.2043,1.1945,0.5806,0.6000,0.29,27.81
Basic_VQC,digits_0-9,6,4,88,200,1.2033,1.1945,0.5778,0.6000,0.29,28.10
Basic_VQC,digits_0-9,6,4,89,200,1.1973,1.1945,0.5833,0.6000,0.29,28.39
Basic_VQC,digits_0-9,6,4,90,200,1.2068,1.1945,0.6139,0.6139,0.29,28.68
Basic_VQC,digits_0-9,6,4,91,200,1.2044,1.1945,0.5722,0.6139,0.29,28.96
Basic_VQC,digits_0-9,6,4,92,200,1.1973,1.1945,0.6000,0.6139,0.28,29.25
Basic_VQC,digits_0-9,6,4,93,200,1.2040,1.1945,0.5833,0.6139,0.29,29.53
Basic_VQC,digits_0-9,6,4,94,200,1.2007,1.1945,0.5917,0.6139,0.29,29.82
Basic_VQC,digits_0-9,6,4,95,200,1.2017,1.1945,0.5889,0.6139,0.29,30.11
Basic_VQC,digits_0-9,6,4,96,200,1.2000,1.1945,0.5861,0.6139,0.31,30.41
Basic_VQC,digits_0-9,6,4,97,200,1.1974,1.1945,0.5944,0.6139,0.32,30.73
Basic_VQC,digits_0-9,6,4,98,200,1.1916,1.1916,0.5889,0.6139,0.30,31.03
Basic_VQC,digits_0-9,6,4,99,200,1.1913,1.1913,0.5639,0.6139,0.29,31.32
Basic_VQC,digits_0-9,6,4,100,200,1.1980,1.1913,0.5972,0.6139,0.29,31.61
Basic_VQC,digits_0-9,6,4,101,200,1.1997,1.1913,0.5694,0.6139,0.30,31.90
Basic_VQC,digits_0-9,6,4,102,200,1.2067,1.1913,0.5833,0.6139,0.30,32.20
Basic_VQC,digits_0-9,6,4,103,200,1.1902,1.1902,0.5722,0.6139,0.29,32.49
Basic_VQC,digits_0-9,6,4,104,200,1.2097,1.1902,0.5583,0.6139,0.30,32.79
Basic_VQC,digits_0-9,6,4,105,200,1.1987,1.1902,0.5694,0.6139,0.29,33.08
Basic_VQC,digits_0-9,6,4,106,200,1.1980,1.1902,0.5917,0.6139,0.29,33.37
Basic_VQC,digits_0-9,6,4,107,200,1.1917,1.1902,0.5917,0.6139,0.29,33.66
