Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,digits,6,4,1,10,0.6882,0.6882,0.6111,0.6111,0.02,0.02
Basic_VQC,digits,6,4,2,10,0.6872,0.6872,0.6111,0.6111,0.02,0.04
Basic_VQC,digits,6,4,3,10,0.6863,0.6863,0.6528,0.6528,0.02,0.05
Basic_VQC,digits,6,4,4,10,0.6855,0.6855,0.6667,0.6667,0.02,0.07
Basic_VQC,digits,6,4,5,10,0.6848,0.6848,0.6806,0.6806,0.02,0.09
Basic_VQC,digits,6,4,6,10,0.6841,0.6841,0.7083,0.7083,0.02,0.11
Basic_VQC,digits,6,4,7,10,0.6835,0.6835,0.6806,0.7083,0.02,0.13
Basic_VQC,digits,6,4,8,10,0.6829,0.6829,0.6806,0.7083,0.02,0.15
Basic_VQC,digits,6,4,9,10,0.6823,0.6823,0.6944,0.7083,0.02,0.17
Basic_VQC,digits,6,4,10,10,0.6817,0.6817,0.6944,0.7083,0.02,0.19
=================================================================================
Basic_VQC,digits,6,4,1,10,0.6891,0.6891,0.5139,0.5139,0.02,0.02
Basic_VQC,digits,6,4,2,10,0.6880,0.6880,0.5417,0.5417,0.02,0.04
Basic_VQC,digits,6,4,3,10,0.6869,0.6869,0.5417,0.5417,0.02,0.05
Basic_VQC,digits,6,4,4,10,0.6859,0.6859,0.5417,0.5417,0.02,0.07
Basic_VQC,digits,6,4,5,10,0.6850,0.6850,0.5694,0.5694,0.02,0.09
Basic_VQC,digits,6,4,6,10,0.6842,0.6842,0.5694,0.5694,0.02,0.11
Basic_VQC,digits,6,4,7,10,0.6834,0.6834,0.5417,0.5694,0.02,0.13
Basic_VQC,digits,6,4,8,10,0.6828,0.6828,0.5556,0.5694,0.02,0.15
Basic_VQC,digits,6,4,9,10,0.6822,0.6822,0.5417,0.5694,0.02,0.17
Basic_VQC,digits,6,4,10,10,0.6818,0.6818,0.5417,0.5694,0.02,0.19
=================================================================================
Basic_VQC,digits,6,4,1,200,0.6949,0.6949,0.4861,0.4861,0.02,0.02
Basic_VQC,digits,6,4,2,200,0.6939,0.6939,0.5278,0.5278,0.02,0.04
Basic_VQC,digits,6,4,3,200,0.6930,0.6930,0.5972,0.5972,0.02,0.05
Basic_VQC,digits,6,4,4,200,0.6921,0.6921,0.5833,0.5972,0.02,0.07
Basic_VQC,digits,6,4,5,200,0.6914,0.6914,0.5694,0.5972,0.02,0.09
Basic_VQC,digits,6,4,6,200,0.6907,0.6907,0.5833,0.5972,0.02,0.11
Basic_VQC,digits,6,4,7,200,0.6901,0.6901,0.6111,0.6111,0.02,0.13
Basic_VQC,digits,6,4,8,200,0.6896,0.6896,0.6389,0.6389,0.02,0.15
Basic_VQC,digits,6,4,9,200,0.6890,0.6890,0.6528,0.6528,0.02,0.16
Basic_VQC,digits,6,4,10,200,0.6884,0.6884,0.6389,0.6528,0.02,0.18
Basic_VQC,digits,6,4,11,200,0.6878,0.6878,0.6389,0.6528,0.02,0.20
Basic_VQC,digits,6,4,12,200,0.6872,0.6872,0.6389,0.6528,0.02,0.22
Basic_VQC,digits,6,4,13,200,0.6865,0.6865,0.6667,0.6667,0.02,0.24
Basic_VQC,digits,6,4,14,200,0.6858,0.6858,0.6528,0.6667,0.02,0.25
Basic_VQC,digits,6,4,15,200,0.6851,0.6851,0.6528,0.6667,0.02,0.27
Basic_VQC,digits,6,4,16,200,0.6844,0.6844,0.6528,0.6667,0.02,0.29
Basic_VQC,digits,6,4,17,200,0.6837,0.6837,0.6528,0.6667,0.02,0.31
Basic_VQC,digits,6,4,18,200,0.6830,0.6830,0.6806,0.6806,0.02,0.33
Basic_VQC,digits,6,4,19,200,0.6823,0.6823,0.6806,0.6806,0.02,0.35
Basic_VQC,digits,6,4,20,200,0.6816,0.6816,0.6528,0.6806,0.02,0.36
Basic_VQC,digits,6,4,21,200,0.6810,0.6810,0.6389,0.6806,0.02,0.38
Basic_VQC,digits,6,4,22,200,0.6804,0.6804,0.6250,0.6806,0.02,0.40
Basic_VQC,digits,6,4,23,200,0.6799,0.6799,0.6250,0.6806,0.02,0.42
Basic_VQC,digits,6,4,24,200,0.6794,0.6794,0.6250,0.6806,0.02,0.44
Basic_VQC,digits,6,4,25,200,0.6789,0.6789,0.6389,0.6806,0.02,0.46
Basic_VQC,digits,6,4,26,200,0.6785,0.6785,0.6250,0.6806,0.02,0.48
Basic_VQC,digits,6,4,27,200,0.6782,0.6782,0.6250,0.6806,0.02,0.50
Basic_VQC,digits,6,4,28,200,0.6778,0.6778,0.6667,0.6806,0.02,0.52
Basic_VQC,digits,6,4,29,200,0.6775,0.6775,0.6528,0.6806,0.02,0.54
Basic_VQC,digits,6,4,30,200,0.6772,0.6772,0.6528,0.6806,0.02,0.56
Basic_VQC,digits,6,4,31,200,0.6770,0.6770,0.6528,0.6806,0.02,0.57
Basic_VQC,digits,6,4,32,200,0.6767,0.6767,0.6528,0.6806,0.02,0.59
Basic_VQC,digits,6,4,33,200,0.6765,0.6765,0.6667,0.6806,0.02,0.61
Basic_VQC,digits,6,4,34,200,0.6762,0.6762,0.6667,0.6806,0.02,0.63
Basic_VQC,digits,6,4,35,200,0.6760,0.6760,0.6667,0.6806,0.02,0.65
Basic_VQC,digits,6,4,36,200,0.6758,0.6758,0.6806,0.6806,0.02,0.66
Basic_VQC,digits,6,4,37,200,0.6756,0.6756,0.6944,0.6944,0.02,0.68
Basic_VQC,digits,6,4,38,200,0.6754,0.6754,0.7222,0.7222,0.02,0.70
Basic_VQC,digits,6,4,39,200,0.6753,0.6753,0.7222,0.7222,0.02,0.72
Basic_VQC,digits,6,4,40,200,0.6751,0.6751,0.7222,0.7222,0.02,0.74
Basic_VQC,digits,6,4,41,200,0.6750,0.6750,0.7361,0.7361,0.02,0.75
Basic_VQC,digits,6,4,42,200,0.6749,0.6749,0.7500,0.7500,0.02,0.77
Basic_VQC,digits,6,4,43,200,0.6748,0.6748,0.7500,0.7500,0.02,0.79
Basic_VQC,digits,6,4,44,200,0.6747,0.6747,0.7639,0.7639,0.02,0.81
Basic_VQC,digits,6,4,45,200,0.6746,0.6746,0.7778,0.7778,0.02,0.83
Basic_VQC,digits,6,4,46,200,0.6746,0.6746,0.7778,0.7778,0.02,0.85
Basic_VQC,digits,6,4,47,200,0.6745,0.6745,0.7778,0.7778,0.02,0.87
Basic_VQC,digits,6,4,48,200,0.6744,0.6744,0.7778,0.7778,0.02,0.89
Basic_VQC,digits,6,4,49,200,0.6743,0.6743,0.7778,0.7778,0.02,0.91
Basic_VQC,digits,6,4,50,200,0.6742,0.6742,0.7778,0.7778,0.02,0.93
Basic_VQC,digits,6,4,51,200,0.6741,0.6741,0.7639,0.7778,0.02,0.94
Basic_VQC,digits,6,4,52,200,0.6740,0.6740,0.7778,0.7778,0.02,0.96
Basic_VQC,digits,6,4,53,200,0.6739,0.6739,0.7500,0.7778,0.02,0.98
Basic_VQC,digits,6,4,54,200,0.6739,0.6739,0.7500,0.7778,0.02,1.00
Basic_VQC,digits,6,4,55,200,0.6738,0.6738,0.7500,0.7778,0.02,1.03
Basic_VQC,digits,6,4,56,200,0.6737,0.6737,0.7500,0.7778,0.02,1.05
Basic_VQC,digits,6,4,57,200,0.6736,0.6736,0.7639,0.7778,0.02,1.07
Basic_VQC,digits,6,4,58,200,0.6735,0.6735,0.7639,0.7778,0.02,1.09
Basic_VQC,digits,6,4,59,200,0.6734,0.6734,0.7639,0.7778,0.02,1.11
Basic_VQC,digits,6,4,60,200,0.6733,0.6733,0.7500,0.7778,0.02,1.13
Basic_VQC,digits,6,4,61,200,0.6733,0.6733,0.7500,0.7778,0.02,1.15
Basic_VQC,digits,6,4,62,200,0.6732,0.6732,0.7500,0.7778,0.02,1.17
Basic_VQC,digits,6,4,63,200,0.6731,0.6731,0.7639,0.7778,0.02,1.19
Basic_VQC,digits,6,4,64,200,0.6731,0.6731,0.7500,0.7778,0.02,1.20
Basic_VQC,digits,6,4,65,200,0.6730,0.6730,0.7361,0.7778,0.02,1.22
Basic_VQC,digits,6,4,66,200,0.6729,0.6729,0.7361,0.7778,0.02,1.24
Basic_VQC,digits,6,4,67,200,0.6729,0.6729,0.7361,0.7778,0.02,1.26
Basic_VQC,digits,6,4,68,200,0.6728,0.6728,0.7361,0.7778,0.02,1.28
Basic_VQC,digits,6,4,69,200,0.6728,0.6728,0.7361,0.7778,0.02,1.30
Basic_VQC,digits,6,4,70,200,0.6727,0.6727,0.7361,0.7778,0.02,1.32
Basic_VQC,digits,6,4,71,200,0.6727,0.6727,0.7361,0.7778,0.02,1.34
Basic_VQC,digits,6,4,72,200,0.6726,0.6726,0.7361,0.7778,0.02,1.36
Basic_VQC,digits,6,4,73,200,0.6726,0.6726,0.7361,0.7778,0.02,1.38
Basic_VQC,digits,6,4,74,200,0.6725,0.6725,0.7361,0.7778,0.02,1.40
Basic_VQC,digits,6,4,75,200,0.6725,0.6725,0.7222,0.7778,0.02,1.42
Basic_VQC,digits,6,4,76,200,0.6725,0.6725,0.7222,0.7778,0.02,1.44
Basic_VQC,digits,6,4,77,200,0.6724,0.6724,0.7222,0.7778,0.02,1.46
Basic_VQC,digits,6,4,78,200,0.6724,0.6724,0.7222,0.7778,0.02,1.48
Basic_VQC,digits,6,4,79,200,0.6724,0.6724,0.7222,0.7778,0.02,1.49
Basic_VQC,digits,6,4,80,200,0.6723,0.6723,0.7361,0.7778,0.02,1.51
Basic_VQC,digits,6,4,81,200,0.6723,0.6723,0.7500,0.7778,0.02,1.53
Basic_VQC,digits,6,4,82,200,0.6723,0.6723,0.7639,0.7778,0.02,1.55
Basic_VQC,digits,6,4,83,200,0.6722,0.6722,0.7639,0.7778,0.02,1.57
Basic_VQC,digits,6,4,84,200,0.6722,0.6722,0.7639,0.7778,0.02,1.58
Basic_VQC,digits,6,4,85,200,0.6722,0.6722,0.7639,0.7778,0.02,1.60
Basic_VQC,digits,6,4,86,200,0.6722,0.6722,0.7639,0.7778,0.02,1.62
Basic_VQC,digits,6,4,87,200,0.6722,0.6722,0.7639,0.7778,0.02,1.64
Basic_VQC,digits,6,4,88,200,0.6721,0.6721,0.7778,0.7778,0.02,1.66
Basic_VQC,digits,6,4,89,200,0.6721,0.6721,0.7778,0.7778,0.02,1.68
Basic_VQC,digits,6,4,90,200,0.6721,0.6721,0.7778,0.7778,0.02,1.69
Basic_VQC,digits,6,4,91,200,0.6721,0.6721,0.7778,0.7778,0.02,1.71
Basic_VQC,digits,6,4,92,200,0.6721,0.6721,0.7917,0.7917,0.02,1.73
Basic_VQC,digits,6,4,93,200,0.6721,0.6721,0.7917,0.7917,0.02,1.75
Basic_VQC,digits,6,4,94,200,0.6720,0.6720,0.7778,0.7917,0.02,1.77
Basic_VQC,digits,6,4,95,200,0.6720,0.6720,0.7778,0.7917,0.02,1.78
Basic_VQC,digits,6,4,96,200,0.6720,0.6720,0.7778,0.7917,0.02,1.80
Basic_VQC,digits,6,4,97,200,0.6720,0.6720,0.7778,0.7917,0.02,1.82
Basic_VQC,digits,6,4,98,200,0.6720,0.6720,0.7778,0.7917,0.02,1.84
Basic_VQC,digits,6,4,99,200,0.6720,0.6720,0.7778,0.7917,0.02,1.86
Basic_VQC,digits,6,4,100,200,0.6719,0.6719,0.7778,0.7917,0.02,1.87
Basic_VQC,digits,6,4,101,200,0.6719,0.6719,0.7778,0.7917,0.02,1.89
Basic_VQC,digits,6,4,102,200,0.6719,0.6719,0.7917,0.7917,0.02,1.91
