Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,covtype,5,3,1,200,0.5501,0.5501,0.7167,0.7167,0.00,0.00
Classical_DNN,covtype,5,3,2,200,0.4439,0.4439,0.8000,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,3,200,0.4372,0.4372,0.7667,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,4,200,0.4010,0.4010,0.8250,0.8250,0.00,0.02
Classical_DNN,covtype,5,3,5,200,0.3661,0.3661,0.8167,0.8250,0.00,0.02
Classical_DNN,covtype,5,3,6,200,0.3473,0.3473,0.8000,0.8250,0.00,0.02
Classical_DNN,covtype,5,3,7,200,0.3230,0.3230,0.8583,0.8583,0.00,0.03
Classical_DNN,covtype,5,3,8,200,0.3262,0.3230,0.8333,0.8583,0.00,0.03
Classical_DNN,covtype,5,3,9,200,0.2987,0.2987,0.8500,0.8583,0.00,0.04
Classical_DNN,covtype,5,3,10,200,0.2783,0.2783,0.8500,0.8583,0.00,0.04
Classical_DNN,covtype,5,3,11,200,0.2681,0.2681,0.8667,0.8667,0.00,0.04
Classical_DNN,covtype,5,3,12,200,0.2629,0.2629,0.8500,0.8667,0.00,0.05
Classical_DNN,covtype,5,3,13,200,0.2530,0.2530,0.8500,0.8667,0.00,0.05
Classical_DNN,covtype,5,3,14,200,0.2491,0.2491,0.8667,0.8667,0.00,0.06
Classical_DNN,covtype,5,3,15,200,0.2262,0.2262,0.7750,0.8667,0.00,0.06
Classical_DNN,covtype,5,3,16,200,0.2251,0.2251,0.8333,0.8667,0.00,0.06
Classical_DNN,covtype,5,3,17,200,0.2175,0.2175,0.8417,0.8667,0.00,0.07
Classical_DNN,covtype,5,3,18,200,0.2155,0.2155,0.8083,0.8667,0.00,0.07
Classical_DNN,covtype,5,3,19,200,0.2009,0.2009,0.7833,0.8667,0.00,0.08
Classical_DNN,covtype,5,3,20,200,0.2003,0.2003,0.8000,0.8667,0.00,0.08
Classical_DNN,covtype,5,3,21,200,0.2090,0.2003,0.8083,0.8667,0.00,0.08
Classical_DNN,covtype,5,3,22,200,0.1778,0.1778,0.7917,0.8667,0.00,0.09
Classical_DNN,covtype,5,3,23,200,0.1823,0.1778,0.8167,0.8667,0.00,0.09
Classical_DNN,covtype,5,3,24,200,0.1660,0.1660,0.8333,0.8667,0.00,0.10
Classical_DNN,covtype,5,3,25,200,0.1498,0.1498,0.8083,0.8667,0.00,0.10
Classical_DNN,covtype,5,3,26,200,0.1659,0.1498,0.7750,0.8667,0.00,0.10
Classical_DNN,covtype,5,3,27,200,0.1442,0.1442,0.8250,0.8667,0.00,0.11
Classical_DNN,covtype,5,3,28,200,0.1354,0.1354,0.8167,0.8667,0.00,0.11
Classical_DNN,covtype,5,3,29,200,0.1266,0.1266,0.7917,0.8667,0.00,0.11
Classical_DNN,covtype,5,3,30,200,0.1579,0.1266,0.7583,0.8667,0.00,0.12
Classical_DNN,covtype,5,3,31,200,0.1296,0.1266,0.8000,0.8667,0.00,0.12
Classical_DNN,covtype,5,3,32,200,0.1214,0.1214,0.8000,0.8667,0.00,0.13
Classical_DNN,covtype,5,3,33,200,0.1158,0.1158,0.8083,0.8667,0.00,0.13
Classical_DNN,covtype,5,3,34,200,0.1054,0.1054,0.7917,0.8667,0.00,0.13
Classical_DNN,covtype,5,3,35,200,0.1017,0.1017,0.8000,0.8667,0.00,0.14
