Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,digits_0-9,6,3,1,200,1.2659,1.2659,0.8722,0.8722,0.02,0.02
Classical_DNN,digits_0-9,6,3,2,200,0.2563,0.2563,0.9278,0.9278,0.01,0.03
Classical_DNN,digits_0-9,6,3,3,200,0.1215,0.1215,0.9278,0.9278,0.01,0.04
Classical_DNN,digits_0-9,6,3,4,200,0.1028,0.1028,0.9389,0.9389,0.01,0.06
Classical_DNN,digits_0-9,6,3,5,200,0.0495,0.0495,0.9611,0.9611,0.01,0.07
Classical_DNN,digits_0-9,6,3,6,200,0.0344,0.0344,0.9500,0.9611,0.01,0.09
Classical_DNN,digits_0-9,6,3,7,200,0.0246,0.0246,0.9611,0.9611,0.01,0.10
Classical_DNN,digits_0-9,6,3,8,200,0.0296,0.0246,0.9444,0.9611,0.01,0.12
Classical_DNN,digits_0-9,6,3,9,200,0.0257,0.0246,0.9639,0.9639,0.01,0.13
Classical_DNN,digits_0-9,6,3,10,200,0.0141,0.0141,0.9750,0.9750,0.01,0.14
Classical_DNN,digits_0-9,6,3,11,200,0.0098,0.0098,0.9611,0.9750,0.01,0.16
Classical_DNN,digits_0-9,6,3,12,200,0.0049,0.0049,0.9750,0.9750,0.01,0.17
Classical_DNN,digits_0-9,6,3,13,200,0.0016,0.0016,0.9722,0.9750,0.01,0.18
Classical_DNN,digits_0-9,6,3,14,200,0.0010,0.0010,0.9778,0.9778,0.01,0.20
Classical_DNN,digits_0-9,6,3,15,200,0.0008,0.0008,0.9750,0.9778,0.01,0.21
Classical_DNN,digits_0-9,6,3,16,200,0.0007,0.0007,0.9722,0.9778,0.01,0.23
Classical_DNN,digits_0-9,6,3,17,200,0.0006,0.0006,0.9694,0.9778,0.01,0.24
Classical_DNN,digits_0-9,6,3,18,200,0.0006,0.0006,0.9694,0.9778,0.01,0.26
Classical_DNN,digits_0-9,6,3,19,200,0.0005,0.0005,0.9694,0.9778,0.01,0.27
Classical_DNN,digits_0-9,6,3,20,200,0.0005,0.0005,0.9694,0.9778,0.01,0.28
Classical_DNN,digits_0-9,6,3,21,200,0.0004,0.0004,0.9694,0.9778,0.01,0.30
Classical_DNN,digits_0-9,6,3,22,200,0.0004,0.0004,0.9694,0.9778,0.01,0.31
Classical_DNN,digits_0-9,6,3,23,200,0.0004,0.0004,0.9694,0.9778,0.01,0.33
Classical_DNN,digits_0-9,6,3,24,200,0.0003,0.0003,0.9694,0.9778,0.01,0.34
Classical_DNN,digits_0-9,6,3,25,200,0.0003,0.0003,0.9694,0.9778,0.01,0.36
Classical_DNN,digits_0-9,6,3,26,200,0.0003,0.0003,0.9722,0.9778,0.01,0.37
Classical_DNN,digits_0-9,6,3,27,200,0.0003,0.0003,0.9694,0.9778,0.01,0.38
Classical_DNN,digits_0-9,6,3,28,200,0.0002,0.0002,0.9694,0.9778,0.01,0.40
Classical_DNN,digits_0-9,6,3,29,200,0.0002,0.0002,0.9694,0.9778,0.01,0.41
Classical_DNN,digits_0-9,6,3,30,200,0.0002,0.0002,0.9694,0.9778,0.01,0.42
Classical_DNN,digits_0-9,6,3,31,200,0.0002,0.0002,0.9694,0.9778,0.01,0.44
Classical_DNN,digits_0-9,6,3,32,200,0.0002,0.0002,0.9694,0.9778,0.01,0.45
Classical_DNN,digits_0-9,6,3,33,200,0.0002,0.0002,0.9722,0.9778,0.01,0.47
Classical_DNN,digits_0-9,6,3,34,200,0.0002,0.0002,0.9694,0.9778,0.01,0.48
Classical_DNN,digits_0-9,6,3,35,200,0.0002,0.0002,0.9722,0.9778,0.01,0.50
Classical_DNN,digits_0-9,6,3,36,200,0.0002,0.0002,0.9694,0.9778,0.01,0.51
Classical_DNN,digits_0-9,6,3,37,200,0.0001,0.0001,0.9694,0.9778,0.01,0.52
Classical_DNN,digits_0-9,6,3,38,200,0.0001,0.0001,0.9694,0.9778,0.01,0.54
Classical_DNN,digits_0-9,6,3,39,200,0.0001,0.0001,0.9694,0.9778,0.01,0.55
Classical_DNN,digits_0-9,6,3,40,200,0.0001,0.0001,0.9694,0.9778,0.01,0.57
Classical_DNN,digits_0-9,6,3,41,200,0.0001,0.0001,0.9694,0.9778,0.01,0.58
Classical_DNN,digits_0-9,6,3,42,200,0.0001,0.0001,0.9694,0.9778,0.01,0.59
Classical_DNN,digits_0-9,6,3,43,200,0.0001,0.0001,0.9694,0.9778,0.01,0.61
Classical_DNN,digits_0-9,6,3,44,200,0.0001,0.0001,0.9694,0.9778,0.02,0.62
Classical_DNN,digits_0-9,6,3,45,200,0.0001,0.0001,0.9694,0.9778,0.01,0.64
Classical_DNN,digits_0-9,6,3,46,200,0.0001,0.0001,0.9722,0.9778,0.01,0.65
