Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,mnist_10class_pca32,5,3,1,200,1.1976,1.1976,0.8125,0.8125,0.03,0.03
Classical_DNN,mnist_10class_pca32,5,3,2,200,0.5188,0.5188,0.8500,0.8500,0.02,0.05
Classical_DNN,mnist_10class_pca32,5,3,3,200,0.4074,0.4074,0.8729,0.8729,0.02,0.07
Classical_DNN,mnist_10class_pca32,5,3,4,200,0.3507,0.3507,0.8792,0.8792,0.02,0.09
Classical_DNN,mnist_10class_pca32,5,3,5,200,0.3222,0.3222,0.8875,0.8875,0.02,0.11
Classical_DNN,mnist_10class_pca32,5,3,6,200,0.2626,0.2626,0.8854,0.8875,0.02,0.13
Classical_DNN,mnist_10class_pca32,5,3,7,200,0.2234,0.2234,0.8938,0.8938,0.02,0.15
Classical_DNN,mnist_10class_pca32,5,3,8,200,0.1939,0.1939,0.8958,0.8958,0.02,0.17
Classical_DNN,mnist_10class_pca32,5,3,9,200,0.1767,0.1767,0.8958,0.8958,0.02,0.19
Classical_DNN,mnist_10class_pca32,5,3,10,200,0.1699,0.1699,0.9021,0.9021,0.02,0.20
Classical_DNN,mnist_10class_pca32,5,3,11,200,0.1354,0.1354,0.8938,0.9021,0.02,0.22
Classical_DNN,mnist_10class_pca32,5,3,12,200,0.1209,0.1209,0.8854,0.9021,0.02,0.24
Classical_DNN,mnist_10class_pca32,5,3,13,200,0.1161,0.1161,0.9125,0.9125,0.02,0.26
Classical_DNN,mnist_10class_pca32,5,3,14,200,0.1034,0.1034,0.8979,0.9125,0.02,0.28
Classical_DNN,mnist_10class_pca32,5,3,15,200,0.0757,0.0757,0.8979,0.9125,0.02,0.30
Classical_DNN,mnist_10class_pca32,5,3,16,200,0.0723,0.0723,0.9042,0.9125,0.02,0.32
Classical_DNN,mnist_10class_pca32,5,3,17,200,0.0662,0.0662,0.9104,0.9125,0.02,0.34
Classical_DNN,mnist_10class_pca32,5,3,18,200,0.0857,0.0662,0.8875,0.9125,0.02,0.36
Classical_DNN,mnist_10class_pca32,5,3,19,200,0.1218,0.0662,0.9125,0.9125,0.02,0.38
Classical_DNN,mnist_10class_pca32,5,3,20,200,0.0917,0.0662,0.8917,0.9125,0.02,0.40
Classical_DNN,mnist_10class_pca32,5,3,21,200,0.0804,0.0662,0.8938,0.9125,0.02,0.42
Classical_DNN,mnist_10class_pca32,5,3,22,200,0.0586,0.0586,0.9104,0.9125,0.02,0.43
Classical_DNN,mnist_10class_pca32,5,3,23,200,0.0524,0.0524,0.9146,0.9146,0.02,0.45
Classical_DNN,mnist_10class_pca32,5,3,24,200,0.0743,0.0524,0.8958,0.9146,0.02,0.47
Classical_DNN,mnist_10class_pca32,5,3,25,200,0.0676,0.0524,0.9229,0.9229,0.02,0.49
Classical_DNN,mnist_10class_pca32,5,3,26,200,0.0571,0.0524,0.9146,0.9229,0.02,0.51
Classical_DNN,mnist_10class_pca32,5,3,27,200,0.0658,0.0524,0.9146,0.9229,0.02,0.53
Classical_DNN,mnist_10class_pca32,5,3,28,200,0.0582,0.0524,0.9187,0.9229,0.02,0.55
Classical_DNN,mnist_10class_pca32,5,3,29,200,0.0395,0.0395,0.8958,0.9229,0.02,0.57
Classical_DNN,mnist_10class_pca32,5,3,30,200,0.0586,0.0395,0.9042,0.9229,0.02,0.59
Classical_DNN,mnist_10class_pca32,5,3,31,200,0.0212,0.0212,0.9062,0.9229,0.02,0.61
Classical_DNN,mnist_10class_pca32,5,3,32,200,0.0282,0.0212,0.9021,0.9229,0.02,0.63
Classical_DNN,mnist_10class_pca32,5,3,33,200,0.0428,0.0212,0.9104,0.9229,0.02,0.65
Classical_DNN,mnist_10class_pca32,5,3,34,200,0.0270,0.0212,0.9208,0.9229,0.02,0.66
Classical_DNN,mnist_10class_pca32,5,3,35,200,0.0251,0.0212,0.9125,0.9229,0.02,0.68
Classical_DNN,mnist_10class_pca32,5,3,36,200,0.0365,0.0212,0.9187,0.9229,0.02,0.70
Classical_DNN,mnist_10class_pca32,5,3,37,200,0.0454,0.0212,0.8979,0.9229,0.02,0.72
Classical_DNN,mnist_10class_pca32,5,3,38,200,0.0648,0.0212,0.8875,0.9229,0.02,0.74
Classical_DNN,mnist_10class_pca32,5,3,39,200,0.0611,0.0212,0.9146,0.9229,0.02,0.76
Classical_DNN,mnist_10class_pca32,5,3,40,200,0.0828,0.0212,0.9083,0.9229,0.02,0.78
Classical_DNN,mnist_10class_pca32,5,3,41,200,0.1050,0.0212,0.9062,0.9229,0.02,0.80
Classical_DNN,mnist_10class_pca32,5,3,42,200,0.0924,0.0212,0.8917,0.9229,0.02,0.81
Classical_DNN,mnist_10class_pca32,5,3,43,200,0.0660,0.0212,0.9125,0.9229,0.02,0.83
Classical_DNN,mnist_10class_pca32,5,3,44,200,0.0433,0.0212,0.9021,0.9229,0.02,0.85
Classical_DNN,mnist_10class_pca32,5,3,45,200,0.0334,0.0212,0.9250,0.9250,0.02,0.87
Classical_DNN,mnist_10class_pca32,5,3,46,200,0.0893,0.0212,0.9062,0.9250,0.02,0.89
Classical_DNN,mnist_10class_pca32,5,3,47,200,0.0357,0.0212,0.9125,0.9250,0.02,0.91
Classical_DNN,mnist_10class_pca32,5,3,48,200,0.0201,0.0201,0.8979,0.9250,0.02,0.93
Classical_DNN,mnist_10class_pca32,5,3,49,200,0.0144,0.0144,0.9104,0.9250,0.02,0.95
Classical_DNN,mnist_10class_pca32,5,3,50,200,0.0312,0.0144,0.9000,0.9250,0.02,0.97
Classical_DNN,mnist_10class_pca32,5,3,51,200,0.0098,0.0098,0.9229,0.9250,0.02,0.99
Classical_DNN,mnist_10class_pca32,5,3,52,200,0.0033,0.0033,0.9146,0.9250,0.02,1.00
Classical_DNN,mnist_10class_pca32,5,3,53,200,0.0026,0.0026,0.9167,0.9250,0.02,1.02
Classical_DNN,mnist_10class_pca32,5,3,54,200,0.0034,0.0026,0.9167,0.9250,0.02,1.04
Classical_DNN,mnist_10class_pca32,5,3,55,200,0.0005,0.0005,0.9167,0.9250,0.02,1.06
Classical_DNN,mnist_10class_pca32,5,3,56,200,0.0004,0.0004,0.9167,0.9250,0.02,1.08
