Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,circles,3,3,1,200,0.6957,0.6957,0.4833,0.4833,0.00,0.00
Classical_DNN,circles,3,3,2,200,0.6937,0.6937,0.5500,0.5500,0.00,0.01
Classical_DNN,circles,3,3,3,200,0.6938,0.6937,0.5167,0.5500,0.00,0.01
Classical_DNN,circles,3,3,4,200,0.6939,0.6937,0.5417,0.5500,0.00,0.01
Classical_DNN,circles,3,3,5,200,0.6935,0.6935,0.4667,0.5500,0.00,0.01
Classical_DNN,circles,3,3,6,200,0.6932,0.6932,0.4500,0.5500,0.00,0.01
Classical_DNN,circles,3,3,7,200,0.6930,0.6930,0.4500,0.5500,0.00,0.01
Classical_DNN,circles,3,3,8,200,0.6930,0.6930,0.4417,0.5500,0.00,0.01
Classical_DNN,circles,3,3,9,200,0.6930,0.6930,0.4417,0.5500,0.00,0.01
Classical_DNN,circles,3,3,10,200,0.6930,0.6930,0.4417,0.5500,0.00,0.01
Classical_DNN,circles,3,3,11,200,0.6929,0.6929,0.4583,0.5500,0.00,0.01
Classical_DNN,circles,3,3,12,200,0.6928,0.6928,0.4500,0.5500,0.00,0.02
Classical_DNN,circles,3,3,13,200,0.6928,0.6928,0.4500,0.5500,0.00,0.02
Classical_DNN,circles,3,3,14,200,0.6927,0.6927,0.4500,0.5500,0.00,0.02
Classical_DNN,circles,3,3,15,200,0.6927,0.6927,0.4500,0.5500,0.00,0.02
Classical_DNN,circles,3,3,16,200,0.6926,0.6926,0.4583,0.5500,0.00,0.02
Classical_DNN,circles,3,3,17,200,0.6926,0.6926,0.4417,0.5500,0.00,0.02
Classical_DNN,circles,3,3,18,200,0.6925,0.6925,0.4333,0.5500,0.00,0.02
Classical_DNN,circles,3,3,19,200,0.6925,0.6925,0.4250,0.5500,0.00,0.02
Classical_DNN,circles,3,3,20,200,0.6924,0.6924,0.4250,0.5500,0.00,0.02
Classical_DNN,circles,3,3,21,200,0.6924,0.6924,0.4333,0.5500,0.00,0.02
Classical_DNN,circles,3,3,22,200,0.6923,0.6923,0.4333,0.5500,0.00,0.02
Classical_DNN,circles,3,3,23,200,0.6922,0.6922,0.4333,0.5500,0.00,0.03
Classical_DNN,circles,3,3,24,200,0.6921,0.6921,0.4333,0.5500,0.00,0.03
Classical_DNN,circles,3,3,25,200,0.6921,0.6921,0.4333,0.5500,0.00,0.03
Classical_DNN,circles,3,3,26,200,0.6920,0.6920,0.4250,0.5500,0.00,0.03
Classical_DNN,circles,3,3,27,200,0.6918,0.6918,0.4500,0.5500,0.00,0.03
Classical_DNN,circles,3,3,28,200,0.6918,0.6918,0.4417,0.5500,0.00,0.03
