Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,covtype,5,3,1,10,0.7016,0.7016,0.6667,0.6667,0.01,0.01
Classical_DNN,covtype,5,3,2,10,0.6887,0.6887,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,3,10,0.6753,0.6753,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,4,10,0.6608,0.6608,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,5,10,0.6453,0.6453,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,6,10,0.6291,0.6291,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,7,10,0.6123,0.6123,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,8,10,0.5951,0.5951,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,9,10,0.5777,0.5777,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,10,10,0.5606,0.5606,0.7000,0.7000,0.00,0.01
=================================================================================
Classical_DNN,covtype,5,3,1,10,0.6201,0.6201,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,2,10,0.6079,0.6079,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,3,10,0.5967,0.5967,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,4,10,0.5857,0.5857,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,5,10,0.5747,0.5747,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,6,10,0.5638,0.5638,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,7,10,0.5530,0.5530,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,8,10,0.5424,0.5424,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,9,10,0.5320,0.5320,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,10,10,0.5216,0.5216,0.7000,0.7000,0.00,0.00
=================================================================================
Classical_DNN,covtype,5,3,1,200,0.6856,0.6856,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,2,200,0.6683,0.6683,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,3,200,0.6524,0.6524,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,4,200,0.6367,0.6367,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,5,200,0.6197,0.6197,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,6,200,0.6006,0.6006,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,7,200,0.5800,0.5800,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,8,200,0.5590,0.5590,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,9,200,0.5392,0.5392,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,10,200,0.5223,0.5223,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,11,200,0.5097,0.5097,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,12,200,0.5019,0.5019,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,13,200,0.4981,0.4981,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,14,200,0.4958,0.4958,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,15,200,0.4926,0.4926,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,16,200,0.4875,0.4875,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,17,200,0.4810,0.4810,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,18,200,0.4741,0.4741,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,19,200,0.4672,0.4672,0.7000,0.7000,0.00,0.00
Classical_DNN,covtype,5,3,20,200,0.4605,0.4605,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,21,200,0.4542,0.4542,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,22,200,0.4485,0.4485,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,23,200,0.4434,0.4434,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,24,200,0.4390,0.4390,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,25,200,0.4351,0.4351,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,26,200,0.4314,0.4314,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,27,200,0.4277,0.4277,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,28,200,0.4241,0.4241,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,29,200,0.4208,0.4208,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,30,200,0.4180,0.4180,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,31,200,0.4155,0.4155,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,32,200,0.4134,0.4134,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,33,200,0.4116,0.4116,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,34,200,0.4100,0.4100,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,35,200,0.4083,0.4083,0.7000,0.7000,0.00,0.01
Classical_DNN,covtype,5,3,36,200,0.4066,0.4066,0.7417,0.7417,0.00,0.01
Classical_DNN,covtype,5,3,37,200,0.4046,0.4046,0.7667,0.7667,0.00,0.01
Classical_DNN,covtype,5,3,38,200,0.4026,0.4026,0.7750,0.7750,0.00,0.01
Classical_DNN,covtype,5,3,39,200,0.4004,0.4004,0.7750,0.7750,0.00,0.01
Classical_DNN,covtype,5,3,40,200,0.3980,0.3980,0.7833,0.7833,0.00,0.01
Classical_DNN,covtype,5,3,41,200,0.3953,0.3953,0.7917,0.7917,0.00,0.01
Classical_DNN,covtype,5,3,42,200,0.3925,0.3925,0.7917,0.7917,0.00,0.01
Classical_DNN,covtype,5,3,43,200,0.3897,0.3897,0.7917,0.7917,0.00,0.01
Classical_DNN,covtype,5,3,44,200,0.3866,0.3866,0.8000,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,45,200,0.3836,0.3836,0.8000,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,46,200,0.3803,0.3803,0.8000,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,47,200,0.3768,0.3768,0.8000,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,48,200,0.3732,0.3732,0.7917,0.8000,0.00,0.01
Classical_DNN,covtype,5,3,49,200,0.3693,0.3693,0.8083,0.8083,0.00,0.01
Classical_DNN,covtype,5,3,50,200,0.3650,0.3650,0.8083,0.8083,0.00,0.01
Classical_DNN,covtype,5,3,51,200,0.3605,0.3605,0.8083,0.8083,0.00,0.01
Classical_DNN,covtype,5,3,52,200,0.3560,0.3560,0.8083,0.8083,0.00,0.01
Classical_DNN,covtype,5,3,53,200,0.3513,0.3513,0.8167,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,54,200,0.3465,0.3465,0.8083,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,55,200,0.3418,0.3418,0.7917,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,56,200,0.3373,0.3373,0.8000,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,57,200,0.3329,0.3329,0.8000,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,58,200,0.3285,0.3285,0.8000,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,59,200,0.3242,0.3242,0.8000,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,60,200,0.3200,0.3200,0.8083,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,61,200,0.3156,0.3156,0.8083,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,62,200,0.3112,0.3112,0.8083,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,63,200,0.3069,0.3069,0.8083,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,64,200,0.3027,0.3027,0.8167,0.8167,0.00,0.01
Classical_DNN,covtype,5,3,65,200,0.2990,0.2990,0.8083,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,66,200,0.2956,0.2956,0.8083,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,67,200,0.2925,0.2925,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,68,200,0.2896,0.2896,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,69,200,0.2869,0.2869,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,70,200,0.2846,0.2846,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,71,200,0.2824,0.2824,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,72,200,0.2803,0.2803,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,73,200,0.2782,0.2782,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,74,200,0.2761,0.2761,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,75,200,0.2739,0.2739,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,76,200,0.2714,0.2714,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,77,200,0.2688,0.2688,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,78,200,0.2662,0.2662,0.7667,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,79,200,0.2636,0.2636,0.7667,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,80,200,0.2611,0.2611,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,81,200,0.2586,0.2586,0.7667,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,82,200,0.2560,0.2560,0.7667,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,83,200,0.2536,0.2536,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,84,200,0.2509,0.2509,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,85,200,0.2483,0.2483,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,86,200,0.2456,0.2456,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,87,200,0.2427,0.2427,0.7750,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,88,200,0.2396,0.2396,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,89,200,0.2367,0.2367,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,90,200,0.2340,0.2340,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,91,200,0.2314,0.2314,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,92,200,0.2290,0.2290,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,93,200,0.2265,0.2265,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,94,200,0.2239,0.2239,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,95,200,0.2211,0.2211,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,96,200,0.2182,0.2182,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,97,200,0.2154,0.2154,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,98,200,0.2125,0.2125,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,99,200,0.2095,0.2095,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,100,200,0.2065,0.2065,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,101,200,0.2032,0.2032,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,102,200,0.2000,0.2000,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,103,200,0.1967,0.1967,0.8000,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,104,200,0.1935,0.1935,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,105,200,0.1905,0.1905,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,106,200,0.1876,0.1876,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,107,200,0.1846,0.1846,0.7917,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,108,200,0.1816,0.1816,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,109,200,0.1788,0.1788,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,110,200,0.1760,0.1760,0.7833,0.8167,0.00,0.02
Classical_DNN,covtype,5,3,111,200,0.1732,0.1732,0.7750,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,112,200,0.1701,0.1701,0.7750,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,113,200,0.1671,0.1671,0.7750,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,114,200,0.1639,0.1639,0.7667,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,115,200,0.1606,0.1606,0.7667,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,116,200,0.1577,0.1577,0.7583,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,117,200,0.1552,0.1552,0.7583,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,118,200,0.1526,0.1526,0.7583,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,119,200,0.1501,0.1501,0.7500,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,120,200,0.1477,0.1477,0.7500,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,121,200,0.1455,0.1455,0.7500,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,122,200,0.1431,0.1431,0.7500,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,123,200,0.1408,0.1408,0.7417,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,124,200,0.1386,0.1386,0.7417,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,125,200,0.1366,0.1366,0.7417,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,126,200,0.1345,0.1345,0.7583,0.8167,0.00,0.03
Classical_DNN,covtype,5,3,127,200,0.1325,0.1325,0.7583,0.8167,0.00,0.03
