Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,digits,6,3,1,10,0.6951,0.6951,0.7917,0.7917,0.00,0.00
Classical_DNN,digits,6,3,2,10,0.6876,0.6876,0.7639,0.7917,0.00,0.00
Classical_DNN,digits,6,3,3,10,0.6794,0.6794,0.7778,0.7917,0.00,0.00
Classical_DNN,digits,6,3,4,10,0.6683,0.6683,0.8750,0.8750,0.00,0.00
Classical_DNN,digits,6,3,5,10,0.6538,0.6538,0.8889,0.8889,0.00,0.00
Classical_DNN,digits,6,3,6,10,0.6346,0.6346,0.9167,0.9167,0.00,0.00
Classical_DNN,digits,6,3,7,10,0.6096,0.6096,0.9167,0.9167,0.00,0.00
Classical_DNN,digits,6,3,8,10,0.5790,0.5790,0.9167,0.9167,0.00,0.00
Classical_DNN,digits,6,3,9,10,0.5431,0.5431,0.9444,0.9444,0.00,0.00
Classical_DNN,digits,6,3,10,10,0.5026,0.5026,0.9444,0.9444,0.00,0.00
=================================================================================
Classical_DNN,digits,6,3,1,10,0.7087,0.7087,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,2,10,0.6954,0.6954,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,3,10,0.6796,0.6796,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,4,10,0.6657,0.6657,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,5,10,0.6488,0.6488,0.6667,0.6667,0.00,0.00
Classical_DNN,digits,6,3,6,10,0.6271,0.6271,0.8889,0.8889,0.00,0.00
Classical_DNN,digits,6,3,7,10,0.6005,0.6005,0.9444,0.9444,0.00,0.00
Classical_DNN,digits,6,3,8,10,0.5693,0.5693,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,9,10,0.5335,0.5335,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,10,10,0.4940,0.4940,0.9583,0.9583,0.00,0.00
=================================================================================
Classical_DNN,digits,6,3,1,200,0.7220,0.7220,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,2,200,0.7019,0.7019,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,3,200,0.6852,0.6852,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,4,200,0.6666,0.6666,0.4167,0.4167,0.00,0.00
Classical_DNN,digits,6,3,5,200,0.6438,0.6438,0.6389,0.6389,0.00,0.00
Classical_DNN,digits,6,3,6,200,0.6154,0.6154,0.8472,0.8472,0.00,0.00
Classical_DNN,digits,6,3,7,200,0.5821,0.5821,0.9028,0.9028,0.00,0.00
Classical_DNN,digits,6,3,8,200,0.5442,0.5442,0.9028,0.9028,0.00,0.00
Classical_DNN,digits,6,3,9,200,0.5023,0.5023,0.9306,0.9306,0.00,0.00
Classical_DNN,digits,6,3,10,200,0.4565,0.4565,0.9306,0.9306,0.00,0.00
Classical_DNN,digits,6,3,11,200,0.4079,0.4079,0.9444,0.9444,0.00,0.00
Classical_DNN,digits,6,3,12,200,0.3580,0.3580,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,13,200,0.3086,0.3086,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,14,200,0.2613,0.2613,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,15,200,0.2177,0.2177,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,16,200,0.1789,0.1789,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,17,200,0.1458,0.1458,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,18,200,0.1185,0.1185,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,19,200,0.0968,0.0968,0.9583,0.9583,0.00,0.00
Classical_DNN,digits,6,3,20,200,0.0799,0.0799,0.9722,0.9722,0.00,0.00
Classical_DNN,digits,6,3,21,200,0.0669,0.0669,0.9722,0.9722,0.00,0.00
Classical_DNN,digits,6,3,22,200,0.0566,0.0566,0.9722,0.9722,0.00,0.01
Classical_DNN,digits,6,3,23,200,0.0485,0.0485,0.9722,0.9722,0.00,0.01
Classical_DNN,digits,6,3,24,200,0.0418,0.0418,0.9722,0.9722,0.00,0.01
Classical_DNN,digits,6,3,25,200,0.0363,0.0363,0.9722,0.9722,0.00,0.01
Classical_DNN,digits,6,3,26,200,0.0316,0.0316,0.9861,0.9861,0.00,0.01
