Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,circles,3,4,1,200,0.6971,0.6971,0.4667,0.4667,0.07,0.07
Hybrid_QNN,circles,3,4,2,200,0.6948,0.6948,0.4583,0.4667,0.07,0.14
Hybrid_QNN,circles,3,4,3,200,0.6932,0.6932,0.4667,0.4667,0.06,0.20
Hybrid_QNN,circles,3,4,4,200,0.6944,0.6932,0.4667,0.4667,0.06,0.26
Hybrid_QNN,circles,3,4,5,200,0.6936,0.6932,0.5083,0.5083,0.06,0.31
Hybrid_QNN,circles,3,4,6,200,0.6929,0.6929,0.4417,0.5083,0.06,0.37
Hybrid_QNN,circles,3,4,7,200,0.6931,0.6929,0.4250,0.5083,0.06,0.43
Hybrid_QNN,circles,3,4,8,200,0.6928,0.6928,0.4833,0.5083,0.06,0.49
Hybrid_QNN,circles,3,4,9,200,0.6936,0.6928,0.4833,0.5083,0.06,0.55
Hybrid_QNN,circles,3,4,10,200,0.6930,0.6928,0.4500,0.5083,0.06,0.61
Hybrid_QNN,circles,3,4,11,200,0.6929,0.6928,0.4583,0.5083,0.06,0.67
Hybrid_QNN,circles,3,4,12,200,0.6937,0.6928,0.4500,0.5083,0.06,0.72
Hybrid_QNN,circles,3,4,13,200,0.6929,0.6928,0.4750,0.5083,0.06,0.78
Hybrid_QNN,circles,3,4,14,200,0.6935,0.6928,0.4667,0.5083,0.06,0.84
Hybrid_QNN,circles,3,4,15,200,0.6933,0.6928,0.4583,0.5083,0.06,0.90
Hybrid_QNN,circles,3,4,16,200,0.6933,0.6928,0.4583,0.5083,0.06,0.96
Hybrid_QNN,circles,3,4,17,200,0.6928,0.6928,0.4583,0.5083,0.06,1.02
Hybrid_QNN,circles,3,4,18,200,0.6930,0.6928,0.4583,0.5083,0.06,1.07
Hybrid_QNN,circles,3,4,19,200,0.6930,0.6928,0.4417,0.5083,0.06,1.13
Hybrid_QNN,circles,3,4,20,200,0.6930,0.6928,0.4583,0.5083,0.06,1.19
Hybrid_QNN,circles,3,4,21,200,0.6933,0.6928,0.4583,0.5083,0.06,1.25
Hybrid_QNN,circles,3,4,22,200,0.6929,0.6928,0.4417,0.5083,0.06,1.30
Hybrid_QNN,circles,3,4,23,200,0.6925,0.6925,0.4500,0.5083,0.06,1.36
Hybrid_QNN,circles,3,4,24,200,0.6929,0.6925,0.4083,0.5083,0.06,1.42
Hybrid_QNN,circles,3,4,25,200,0.6928,0.6925,0.4500,0.5083,0.06,1.48
Hybrid_QNN,circles,3,4,26,200,0.6925,0.6925,0.4000,0.5083,0.06,1.54
Hybrid_QNN,circles,3,4,27,200,0.6926,0.6925,0.4417,0.5083,0.06,1.59
Hybrid_QNN,circles,3,4,28,200,0.6931,0.6925,0.4333,0.5083,0.06,1.65
Hybrid_QNN,circles,3,4,29,200,0.6929,0.6925,0.4750,0.5083,0.06,1.71
Hybrid_QNN,circles,3,4,30,200,0.6935,0.6925,0.4917,0.5083,0.06,1.77
Hybrid_QNN,circles,3,4,31,200,0.6925,0.6925,0.4333,0.5083,0.06,1.83
Hybrid_QNN,circles,3,4,32,200,0.6923,0.6923,0.4083,0.5083,0.06,1.89
Hybrid_QNN,circles,3,4,33,200,0.6936,0.6923,0.4417,0.5083,0.06,1.95
Hybrid_QNN,circles,3,4,34,200,0.6915,0.6915,0.4417,0.5083,0.06,2.00
Hybrid_QNN,circles,3,4,35,200,0.6927,0.6915,0.4417,0.5083,0.06,2.06
Hybrid_QNN,circles,3,4,36,200,0.6928,0.6915,0.4417,0.5083,0.06,2.12
Hybrid_QNN,circles,3,4,37,200,0.6928,0.6915,0.4833,0.5083,0.06,2.17
Hybrid_QNN,circles,3,4,38,200,0.6922,0.6915,0.4583,0.5083,0.06,2.23
Hybrid_QNN,circles,3,4,39,200,0.6914,0.6914,0.4750,0.5083,0.06,2.29
Hybrid_QNN,circles,3,4,40,200,0.6925,0.6914,0.4583,0.5083,0.06,2.35
Hybrid_QNN,circles,3,4,41,200,0.6928,0.6914,0.4583,0.5083,0.06,2.41
Hybrid_QNN,circles,3,4,42,200,0.6920,0.6914,0.5000,0.5083,0.06,2.47
Hybrid_QNN,circles,3,4,43,200,0.6913,0.6913,0.4667,0.5083,0.06,2.52
Hybrid_QNN,circles,3,4,44,200,0.6915,0.6913,0.4333,0.5083,0.06,2.58
Hybrid_QNN,circles,3,4,45,200,0.6908,0.6908,0.4417,0.5083,0.06,2.65
Hybrid_QNN,circles,3,4,46,200,0.6899,0.6899,0.4083,0.5083,0.06,2.70
Hybrid_QNN,circles,3,4,47,200,0.6908,0.6899,0.4417,0.5083,0.06,2.76
Hybrid_QNN,circles,3,4,48,200,0.6930,0.6899,0.4750,0.5083,0.06,2.82
Hybrid_QNN,circles,3,4,49,200,0.6910,0.6899,0.4417,0.5083,0.06,2.88
Hybrid_QNN,circles,3,4,50,200,0.6921,0.6899,0.4917,0.5083,0.06,2.94
Hybrid_QNN,circles,3,4,51,200,0.6903,0.6899,0.4667,0.5083,0.06,2.99
Hybrid_QNN,circles,3,4,52,200,0.6893,0.6893,0.4417,0.5083,0.06,3.05
Hybrid_QNN,circles,3,4,53,200,0.6905,0.6893,0.4667,0.5083,0.06,3.11
Hybrid_QNN,circles,3,4,54,200,0.6912,0.6893,0.4917,0.5083,0.06,3.17
Hybrid_QNN,circles,3,4,55,200,0.6898,0.6893,0.4583,0.5083,0.06,3.22
Hybrid_QNN,circles,3,4,56,200,0.6905,0.6893,0.4583,0.5083,0.06,3.28
Hybrid_QNN,circles,3,4,57,200,0.6909,0.6893,0.4917,0.5083,0.06,3.34
Hybrid_QNN,circles,3,4,58,200,0.6895,0.6893,0.4833,0.5083,0.06,3.39
Hybrid_QNN,circles,3,4,59,200,0.6894,0.6893,0.4917,0.5083,0.06,3.45
Hybrid_QNN,circles,3,4,60,200,0.6879,0.6879,0.4500,0.5083,0.06,3.51
Hybrid_QNN,circles,3,4,61,200,0.6930,0.6879,0.4583,0.5083,0.06,3.56
Hybrid_QNN,circles,3,4,62,200,0.6908,0.6879,0.4417,0.5083,0.06,3.62
Hybrid_QNN,circles,3,4,63,200,0.6900,0.6879,0.4583,0.5083,0.06,3.68
Hybrid_QNN,circles,3,4,64,200,0.6897,0.6879,0.4500,0.5083,0.06,3.73
Hybrid_QNN,circles,3,4,65,200,0.6883,0.6879,0.4750,0.5083,0.06,3.79
Hybrid_QNN,circles,3,4,66,200,0.6873,0.6873,0.4417,0.5083,0.06,3.85
Hybrid_QNN,circles,3,4,67,200,0.6885,0.6873,0.4833,0.5083,0.06,3.91
Hybrid_QNN,circles,3,4,68,200,0.6943,0.6873,0.5083,0.5083,0.06,3.97
Hybrid_QNN,circles,3,4,69,200,0.6876,0.6873,0.4583,0.5083,0.06,4.03
Hybrid_QNN,circles,3,4,70,200,0.6902,0.6873,0.4583,0.5083,0.06,4.09
Hybrid_QNN,circles,3,4,71,200,0.6897,0.6873,0.4333,0.5083,0.06,4.16
Hybrid_QNN,circles,3,4,72,200,0.6874,0.6873,0.4250,0.5083,0.07,4.23
Hybrid_QNN,circles,3,4,73,200,0.6894,0.6873,0.4500,0.5083,0.07,4.30
Hybrid_QNN,circles,3,4,74,200,0.6931,0.6873,0.4917,0.5083,0.07,4.36
Hybrid_QNN,circles,3,4,75,200,0.6918,0.6873,0.4667,0.5083,0.07,4.43
Hybrid_QNN,circles,3,4,76,200,0.6926,0.6873,0.4250,0.5083,0.07,4.50
Hybrid_QNN,circles,3,4,77,200,0.6924,0.6873,0.4750,0.5083,0.07,4.57
Hybrid_QNN,circles,3,4,78,200,0.6909,0.6873,0.4500,0.5083,0.07,4.63
Hybrid_QNN,circles,3,4,79,200,0.6902,0.6873,0.4417,0.5083,0.07,4.70
Hybrid_QNN,circles,3,4,80,200,0.6887,0.6873,0.4500,0.5083,0.07,4.77
Hybrid_QNN,circles,3,4,81,200,0.6888,0.6873,0.4500,0.5083,0.07,4.84
Hybrid_QNN,circles,3,4,82,200,0.6869,0.6869,0.5083,0.5083,0.07,4.91
Hybrid_QNN,circles,3,4,83,200,0.6875,0.6869,0.4167,0.5083,0.07,4.98
Hybrid_QNN,circles,3,4,84,200,0.6876,0.6869,0.4917,0.5083,0.06,5.04
Hybrid_QNN,circles,3,4,85,200,0.6876,0.6869,0.4333,0.5083,0.06,5.10
Hybrid_QNN,circles,3,4,86,200,0.6883,0.6869,0.4167,0.5083,0.06,5.16
Hybrid_QNN,circles,3,4,87,200,0.6864,0.6864,0.4167,0.5083,0.06,5.22
