Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,digits_0-9,6,4,1,200,1.6234,1.6234,0.7889,0.7889,0.38,0.38
Hybrid_QNN,digits_0-9,6,4,2,200,0.7670,0.7670,0.8750,0.8750,0.37,0.76
Hybrid_QNN,digits_0-9,6,4,3,200,0.4789,0.4789,0.9056,0.9056,0.38,1.14
Hybrid_QNN,digits_0-9,6,4,4,200,0.3305,0.3305,0.9389,0.9389,0.38,1.52
Hybrid_QNN,digits_0-9,6,4,5,200,0.2436,0.2436,0.9472,0.9472,0.38,1.90
Hybrid_QNN,digits_0-9,6,4,6,200,0.1769,0.1769,0.9333,0.9472,0.41,2.31
Hybrid_QNN,digits_0-9,6,4,7,200,0.1488,0.1488,0.9639,0.9639,0.41,2.73
Hybrid_QNN,digits_0-9,6,4,8,200,0.1207,0.1207,0.9444,0.9639,0.38,3.11
Hybrid_QNN,digits_0-9,6,4,9,200,0.1028,0.1028,0.9500,0.9639,0.38,3.49
Hybrid_QNN,digits_0-9,6,4,10,200,0.0877,0.0877,0.9583,0.9639,0.38,3.87
Hybrid_QNN,digits_0-9,6,4,11,200,0.0738,0.0738,0.9639,0.9639,0.39,4.26
Hybrid_QNN,digits_0-9,6,4,12,200,0.0664,0.0664,0.9583,0.9639,0.38,4.65
Hybrid_QNN,digits_0-9,6,4,13,200,0.0493,0.0493,0.9500,0.9639,0.41,5.06
Hybrid_QNN,digits_0-9,6,4,14,200,0.0429,0.0429,0.9611,0.9639,0.43,5.49
Hybrid_QNN,digits_0-9,6,4,15,200,0.0343,0.0343,0.9556,0.9639,0.40,5.88
Hybrid_QNN,digits_0-9,6,4,16,200,0.0372,0.0343,0.9556,0.9639,0.38,6.26
Hybrid_QNN,digits_0-9,6,4,17,200,0.0318,0.0318,0.9500,0.9639,0.38,6.64
Hybrid_QNN,digits_0-9,6,4,18,200,0.0368,0.0318,0.9583,0.9639,0.38,7.02
Hybrid_QNN,digits_0-9,6,4,19,200,0.0316,0.0316,0.9611,0.9639,0.38,7.40
Hybrid_QNN,digits_0-9,6,4,20,200,0.0287,0.0287,0.9611,0.9639,0.38,7.77
Hybrid_QNN,digits_0-9,6,4,21,200,0.0201,0.0201,0.9611,0.9639,0.38,8.15
Hybrid_QNN,digits_0-9,6,4,22,200,0.0175,0.0175,0.9556,0.9639,0.37,8.52
Hybrid_QNN,digits_0-9,6,4,23,200,0.0135,0.0135,0.9639,0.9639,0.37,8.90
Hybrid_QNN,digits_0-9,6,4,24,200,0.0112,0.0112,0.9556,0.9639,0.37,9.27
Hybrid_QNN,digits_0-9,6,4,25,200,0.0101,0.0101,0.9611,0.9639,0.37,9.64
Hybrid_QNN,digits_0-9,6,4,26,200,0.0093,0.0093,0.9556,0.9639,0.38,10.02
Hybrid_QNN,digits_0-9,6,4,27,200,0.0082,0.0082,0.9556,0.9639,0.38,10.40
Hybrid_QNN,digits_0-9,6,4,28,200,0.0077,0.0077,0.9556,0.9639,0.38,10.77
Hybrid_QNN,digits_0-9,6,4,29,200,0.0070,0.0070,0.9583,0.9639,0.37,11.15
Hybrid_QNN,digits_0-9,6,4,30,200,0.0066,0.0066,0.9556,0.9639,0.37,11.52
Hybrid_QNN,digits_0-9,6,4,31,200,0.0064,0.0064,0.9639,0.9639,0.37,11.89
