Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,cytotoxicity_median,3,4,1,200,0.6893,0.6893,0.4800,0.4800,0.03,0.03
Hybrid_QNN,cytotoxicity_median,3,4,2,200,0.6479,0.6479,0.6400,0.6400,0.03,0.07
Hybrid_QNN,cytotoxicity_median,3,4,3,200,0.6157,0.6157,0.5000,0.6400,0.03,0.10
Hybrid_QNN,cytotoxicity_median,3,4,4,200,0.5821,0.5821,0.6200,0.6400,0.04,0.14
Hybrid_QNN,cytotoxicity_median,3,4,5,200,0.5651,0.5651,0.6800,0.6800,0.03,0.17
Hybrid_QNN,cytotoxicity_median,3,4,6,200,0.5430,0.5430,0.6200,0.6800,0.03,0.21
Hybrid_QNN,cytotoxicity_median,3,4,7,200,0.5557,0.5430,0.6400,0.6800,0.03,0.24
Hybrid_QNN,cytotoxicity_median,3,4,8,200,0.5484,0.5430,0.6000,0.6800,0.03,0.27
Hybrid_QNN,cytotoxicity_median,3,4,9,200,0.5311,0.5311,0.6400,0.6800,0.04,0.31
Hybrid_QNN,cytotoxicity_median,3,4,10,200,0.5329,0.5311,0.6000,0.6800,0.03,0.34
Hybrid_QNN,cytotoxicity_median,3,4,11,200,0.5266,0.5266,0.6600,0.6800,0.03,0.38
Hybrid_QNN,cytotoxicity_median,3,4,12,200,0.5247,0.5247,0.6400,0.6800,0.03,0.41
Hybrid_QNN,cytotoxicity_median,3,4,13,200,0.5235,0.5235,0.6200,0.6800,0.04,0.45
Hybrid_QNN,cytotoxicity_median,3,4,14,200,0.5207,0.5207,0.6800,0.6800,0.03,0.48
Hybrid_QNN,cytotoxicity_median,3,4,15,200,0.5226,0.5207,0.6400,0.6800,0.03,0.51
Hybrid_QNN,cytotoxicity_median,3,4,16,200,0.5202,0.5202,0.7000,0.7000,0.03,0.55
Hybrid_QNN,cytotoxicity_median,3,4,17,200,0.5019,0.5019,0.6400,0.7000,0.03,0.58
Hybrid_QNN,cytotoxicity_median,3,4,18,200,0.4960,0.4960,0.6200,0.7000,0.03,0.61
Hybrid_QNN,cytotoxicity_median,3,4,19,200,0.4943,0.4943,0.6400,0.7000,0.03,0.64
Hybrid_QNN,cytotoxicity_median,3,4,20,200,0.5019,0.4943,0.6400,0.7000,0.03,0.67
Hybrid_QNN,cytotoxicity_median,3,4,21,200,0.4854,0.4854,0.7200,0.7200,0.03,0.70
Hybrid_QNN,cytotoxicity_median,3,4,22,200,0.4889,0.4854,0.6600,0.7200,0.03,0.73
Hybrid_QNN,cytotoxicity_median,3,4,23,200,0.4873,0.4854,0.6400,0.7200,0.03,0.76
Hybrid_QNN,cytotoxicity_median,3,4,24,200,0.4816,0.4816,0.6600,0.7200,0.03,0.79
Hybrid_QNN,cytotoxicity_median,3,4,25,200,0.4873,0.4816,0.6400,0.7200,0.03,0.82
Hybrid_QNN,cytotoxicity_median,3,4,26,200,0.4746,0.4746,0.6800,0.7200,0.03,0.86
Hybrid_QNN,cytotoxicity_median,3,4,27,200,0.5180,0.4746,0.6600,0.7200,0.03,0.89
Hybrid_QNN,cytotoxicity_median,3,4,28,200,0.4955,0.4746,0.6200,0.7200,0.03,0.92
Hybrid_QNN,cytotoxicity_median,3,4,29,200,0.5067,0.4746,0.5600,0.7200,0.03,0.95
Hybrid_QNN,cytotoxicity_median,3,4,30,200,0.4890,0.4746,0.6400,0.7200,0.03,0.98
Hybrid_QNN,cytotoxicity_median,3,4,31,200,0.4667,0.4667,0.6400,0.7200,0.03,1.01
Hybrid_QNN,cytotoxicity_median,3,4,32,200,0.4940,0.4667,0.6000,0.7200,0.03,1.04
Hybrid_QNN,cytotoxicity_median,3,4,33,200,0.4820,0.4667,0.5800,0.7200,0.03,1.07
Hybrid_QNN,cytotoxicity_median,3,4,34,200,0.4873,0.4667,0.6600,0.7200,0.03,1.10
Hybrid_QNN,cytotoxicity_median,3,4,35,200,0.4858,0.4667,0.7200,0.7200,0.03,1.13
Hybrid_QNN,cytotoxicity_median,3,4,36,200,0.4879,0.4667,0.7000,0.7200,0.03,1.15
Hybrid_QNN,cytotoxicity_median,3,4,37,200,0.4791,0.4667,0.6800,0.7200,0.03,1.18
Hybrid_QNN,cytotoxicity_median,3,4,38,200,0.4796,0.4667,0.6200,0.7200,0.03,1.21
Hybrid_QNN,cytotoxicity_median,3,4,39,200,0.4632,0.4632,0.6000,0.7200,0.03,1.24
Hybrid_QNN,cytotoxicity_median,3,4,40,200,0.4686,0.4632,0.6800,0.7200,0.03,1.27
Hybrid_QNN,cytotoxicity_median,3,4,41,200,0.4713,0.4632,0.6800,0.7200,0.03,1.30
Hybrid_QNN,cytotoxicity_median,3,4,42,200,0.4786,0.4632,0.6200,0.7200,0.03,1.33
Hybrid_QNN,cytotoxicity_median,3,4,43,200,0.4915,0.4632,0.6400,0.7200,0.03,1.36
Hybrid_QNN,cytotoxicity_median,3,4,44,200,0.4640,0.4632,0.6200,0.7200,0.03,1.39
Hybrid_QNN,cytotoxicity_median,3,4,45,200,0.4705,0.4632,0.6600,0.7200,0.03,1.42
Hybrid_QNN,cytotoxicity_median,3,4,46,200,0.4573,0.4573,0.7000,0.7200,0.03,1.45
Hybrid_QNN,cytotoxicity_median,3,4,47,200,0.4604,0.4573,0.6200,0.7200,0.03,1.48
Hybrid_QNN,cytotoxicity_median,3,4,48,200,0.4734,0.4573,0.6400,0.7200,0.03,1.51
Hybrid_QNN,cytotoxicity_median,3,4,49,200,0.4714,0.4573,0.6800,0.7200,0.03,1.53
Hybrid_QNN,cytotoxicity_median,3,4,50,200,0.4877,0.4573,0.7000,0.7200,0.03,1.56
Hybrid_QNN,cytotoxicity_median,3,4,51,200,0.4932,0.4573,0.6800,0.7200,0.03,1.59
Hybrid_QNN,cytotoxicity_median,3,4,52,200,0.4540,0.4540,0.6600,0.7200,0.03,1.62
Hybrid_QNN,cytotoxicity_median,3,4,53,200,0.4858,0.4540,0.6400,0.7200,0.03,1.65
Hybrid_QNN,cytotoxicity_median,3,4,54,200,0.4569,0.4540,0.6800,0.7200,0.03,1.68
Hybrid_QNN,cytotoxicity_median,3,4,55,200,0.4692,0.4540,0.6400,0.7200,0.03,1.71
Hybrid_QNN,cytotoxicity_median,3,4,56,200,0.4733,0.4540,0.6000,0.7200,0.03,1.74
Hybrid_QNN,cytotoxicity_median,3,4,57,200,0.4782,0.4540,0.6000,0.7200,0.03,1.77
Hybrid_QNN,cytotoxicity_median,3,4,58,200,0.4833,0.4540,0.6000,0.7200,0.03,1.80
Hybrid_QNN,cytotoxicity_median,3,4,59,200,0.4905,0.4540,0.6400,0.7200,0.03,1.83
Hybrid_QNN,cytotoxicity_median,3,4,60,200,0.4784,0.4540,0.6600,0.7200,0.03,1.85
Hybrid_QNN,cytotoxicity_median,3,4,61,200,0.4521,0.4521,0.7000,0.7200,0.03,1.88
Hybrid_QNN,cytotoxicity_median,3,4,62,200,0.4757,0.4521,0.7000,0.7200,0.03,1.91
Hybrid_QNN,cytotoxicity_median,3,4,63,200,0.4542,0.4521,0.6400,0.7200,0.03,1.94
Hybrid_QNN,cytotoxicity_median,3,4,64,200,0.4819,0.4521,0.6200,0.7200,0.03,1.97
