Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,circles,3,4,1,200,0.6989,0.6989,0.5167,0.5167,0.03,0.03
Hybrid_QNN,circles,3,4,2,200,0.6948,0.6948,0.5167,0.5167,0.03,0.05
Hybrid_QNN,circles,3,4,3,200,0.6936,0.6936,0.5000,0.5167,0.03,0.08
Hybrid_QNN,circles,3,4,4,200,0.6937,0.6936,0.4583,0.5167,0.03,0.11
Hybrid_QNN,circles,3,4,5,200,0.6937,0.6936,0.4417,0.5167,0.03,0.14
Hybrid_QNN,circles,3,4,6,200,0.6935,0.6935,0.4333,0.5167,0.02,0.16
Hybrid_QNN,circles,3,4,7,200,0.6931,0.6931,0.4583,0.5167,0.02,0.18
Hybrid_QNN,circles,3,4,8,200,0.6927,0.6927,0.4417,0.5167,0.03,0.21
Hybrid_QNN,circles,3,4,9,200,0.6925,0.6925,0.4250,0.5167,0.02,0.23
Hybrid_QNN,circles,3,4,10,200,0.6924,0.6924,0.4333,0.5167,0.03,0.26
Hybrid_QNN,circles,3,4,11,200,0.6925,0.6924,0.4500,0.5167,0.03,0.29
Hybrid_QNN,circles,3,4,12,200,0.6926,0.6924,0.4417,0.5167,0.03,0.31
Hybrid_QNN,circles,3,4,13,200,0.6925,0.6924,0.4167,0.5167,0.03,0.34
Hybrid_QNN,circles,3,4,14,200,0.6923,0.6923,0.4000,0.5167,0.03,0.37
Hybrid_QNN,circles,3,4,15,200,0.6922,0.6922,0.4083,0.5167,0.03,0.40
Hybrid_QNN,circles,3,4,16,200,0.6922,0.6922,0.4000,0.5167,0.03,0.42
Hybrid_QNN,circles,3,4,17,200,0.6922,0.6922,0.4000,0.5167,0.02,0.44
Hybrid_QNN,circles,3,4,18,200,0.6922,0.6922,0.4000,0.5167,0.03,0.47
Hybrid_QNN,circles,3,4,19,200,0.6921,0.6921,0.4167,0.5167,0.02,0.49
