Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,covtype,5,4,1,10,0.7706,0.7706,0.3500,0.3500,0.02,0.02
Hybrid_QNN,covtype,5,4,2,10,0.7123,0.7123,0.7333,0.7333,0.02,0.03
Hybrid_QNN,covtype,5,4,3,10,0.6648,0.6648,0.7750,0.7750,0.02,0.05
Hybrid_QNN,covtype,5,4,4,10,0.6272,0.6272,0.7667,0.7750,0.02,0.07
Hybrid_QNN,covtype,5,4,5,10,0.5955,0.5955,0.7500,0.7750,0.02,0.08
Hybrid_QNN,covtype,5,4,6,10,0.5667,0.5667,0.7500,0.7750,0.02,0.10
Hybrid_QNN,covtype,5,4,7,10,0.5398,0.5398,0.7667,0.7750,0.02,0.12
Hybrid_QNN,covtype,5,4,8,10,0.5148,0.5148,0.7667,0.7750,0.02,0.14
Hybrid_QNN,covtype,5,4,9,10,0.4920,0.4920,0.7750,0.7750,0.02,0.15
Hybrid_QNN,covtype,5,4,10,10,0.4715,0.4715,0.7667,0.7750,0.02,0.17
=================================================================================
Hybrid_QNN,covtype,5,4,1,10,0.6400,0.6400,0.7000,0.7000,0.02,0.02
Hybrid_QNN,covtype,5,4,2,10,0.6002,0.6002,0.7000,0.7000,0.02,0.03
Hybrid_QNN,covtype,5,4,3,10,0.5686,0.5686,0.7000,0.7000,0.02,0.05
Hybrid_QNN,covtype,5,4,4,10,0.5429,0.5429,0.7500,0.7500,0.02,0.07
Hybrid_QNN,covtype,5,4,5,10,0.5217,0.5217,0.7583,0.7583,0.02,0.08
Hybrid_QNN,covtype,5,4,6,10,0.5039,0.5039,0.7583,0.7583,0.02,0.10
Hybrid_QNN,covtype,5,4,7,10,0.4886,0.4886,0.7583,0.7583,0.02,0.12
Hybrid_QNN,covtype,5,4,8,10,0.4752,0.4752,0.7667,0.7667,0.02,0.14
Hybrid_QNN,covtype,5,4,9,10,0.4631,0.4631,0.7583,0.7667,0.02,0.15
Hybrid_QNN,covtype,5,4,10,10,0.4519,0.4519,0.7583,0.7667,0.02,0.17
=================================================================================
Hybrid_QNN,covtype,5,4,1,200,0.6566,0.6566,0.7000,0.7000,0.02,0.02
Hybrid_QNN,covtype,5,4,2,200,0.6176,0.6176,0.7083,0.7083,0.02,0.03
Hybrid_QNN,covtype,5,4,3,200,0.5867,0.5867,0.7250,0.7250,0.02,0.05
Hybrid_QNN,covtype,5,4,4,200,0.5623,0.5623,0.7500,0.7500,0.02,0.07
Hybrid_QNN,covtype,5,4,5,200,0.5416,0.5416,0.7583,0.7583,0.02,0.08
Hybrid_QNN,covtype,5,4,6,200,0.5228,0.5228,0.7583,0.7583,0.02,0.10
Hybrid_QNN,covtype,5,4,7,200,0.5055,0.5055,0.7583,0.7583,0.02,0.12
Hybrid_QNN,covtype,5,4,8,200,0.4896,0.4896,0.7583,0.7583,0.02,0.13
Hybrid_QNN,covtype,5,4,9,200,0.4747,0.4747,0.7667,0.7667,0.02,0.15
Hybrid_QNN,covtype,5,4,10,200,0.4605,0.4605,0.7750,0.7750,0.02,0.17
Hybrid_QNN,covtype,5,4,11,200,0.4469,0.4469,0.7833,0.7833,0.02,0.19
Hybrid_QNN,covtype,5,4,12,200,0.4339,0.4339,0.8000,0.8000,0.02,0.20
Hybrid_QNN,covtype,5,4,13,200,0.4217,0.4217,0.8083,0.8083,0.02,0.22
Hybrid_QNN,covtype,5,4,14,200,0.4104,0.4104,0.8333,0.8333,0.02,0.24
Hybrid_QNN,covtype,5,4,15,200,0.3998,0.3998,0.8250,0.8333,0.02,0.26
Hybrid_QNN,covtype,5,4,16,200,0.3897,0.3897,0.8417,0.8417,0.02,0.28
Hybrid_QNN,covtype,5,4,17,200,0.3802,0.3802,0.8417,0.8417,0.02,0.30
Hybrid_QNN,covtype,5,4,18,200,0.3712,0.3712,0.8417,0.8417,0.02,0.31
Hybrid_QNN,covtype,5,4,19,200,0.3628,0.3628,0.8417,0.8417,0.02,0.33
Hybrid_QNN,covtype,5,4,20,200,0.3550,0.3550,0.8417,0.8417,0.02,0.35
Hybrid_QNN,covtype,5,4,21,200,0.3477,0.3477,0.8417,0.8417,0.02,0.36
Hybrid_QNN,covtype,5,4,22,200,0.3411,0.3411,0.8250,0.8417,0.02,0.38
Hybrid_QNN,covtype,5,4,23,200,0.3349,0.3349,0.8250,0.8417,0.02,0.40
Hybrid_QNN,covtype,5,4,24,200,0.3292,0.3292,0.8250,0.8417,0.02,0.42
Hybrid_QNN,covtype,5,4,25,200,0.3238,0.3238,0.8250,0.8417,0.02,0.44
Hybrid_QNN,covtype,5,4,26,200,0.3186,0.3186,0.8167,0.8417,0.02,0.45
Hybrid_QNN,covtype,5,4,27,200,0.3135,0.3135,0.8167,0.8417,0.02,0.47
Hybrid_QNN,covtype,5,4,28,200,0.3085,0.3085,0.8250,0.8417,0.02,0.49
Hybrid_QNN,covtype,5,4,29,200,0.3038,0.3038,0.8250,0.8417,0.02,0.51
