Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,digits_0-9,6,4,1,200,1.6240,1.6240,0.7889,0.7889,0.41,0.41
Hybrid_QNN,digits_0-9,6,4,2,200,0.7556,0.7556,0.9056,0.9056,0.41,0.82
Hybrid_QNN,digits_0-9,6,4,3,200,0.4326,0.4326,0.9278,0.9278,0.39,1.21
Hybrid_QNN,digits_0-9,6,4,4,200,0.2805,0.2805,0.9556,0.9556,0.39,1.60
Hybrid_QNN,digits_0-9,6,4,5,200,0.2012,0.2012,0.9556,0.9556,0.38,1.98
Hybrid_QNN,digits_0-9,6,4,6,200,0.1490,0.1490,0.9528,0.9556,0.39,2.37
Hybrid_QNN,digits_0-9,6,4,7,200,0.1272,0.1272,0.9583,0.9583,0.39,2.75
Hybrid_QNN,digits_0-9,6,4,8,200,0.0981,0.0981,0.9500,0.9583,0.39,3.14
Hybrid_QNN,digits_0-9,6,4,9,200,0.0955,0.0955,0.9583,0.9583,0.38,3.52
Hybrid_QNN,digits_0-9,6,4,10,200,0.0733,0.0733,0.9528,0.9583,0.38,3.91
Hybrid_QNN,digits_0-9,6,4,11,200,0.0609,0.0609,0.9722,0.9722,0.42,4.33
Hybrid_QNN,digits_0-9,6,4,12,200,0.0573,0.0573,0.9667,0.9722,0.43,4.76
Hybrid_QNN,digits_0-9,6,4,13,200,0.0472,0.0472,0.9583,0.9722,0.39,5.16
Hybrid_QNN,digits_0-9,6,4,14,200,0.0434,0.0434,0.9583,0.9722,0.39,5.55
Hybrid_QNN,digits_0-9,6,4,15,200,0.0339,0.0339,0.9583,0.9722,0.39,5.93
Hybrid_QNN,digits_0-9,6,4,16,200,0.0276,0.0276,0.9667,0.9722,0.39,6.32
Hybrid_QNN,digits_0-9,6,4,17,200,0.0219,0.0219,0.9667,0.9722,0.39,6.71
Hybrid_QNN,digits_0-9,6,4,18,200,0.0182,0.0182,0.9639,0.9722,0.39,7.10
Hybrid_QNN,digits_0-9,6,4,19,200,0.0177,0.0177,0.9639,0.9722,0.39,7.48
Hybrid_QNN,digits_0-9,6,4,20,200,0.0245,0.0177,0.9611,0.9722,0.39,7.87
Hybrid_QNN,digits_0-9,6,4,21,200,0.0228,0.0177,0.9611,0.9722,0.39,8.26
Hybrid_QNN,digits_0-9,6,4,22,200,0.0149,0.0149,0.9611,0.9722,0.39,8.64
Hybrid_QNN,digits_0-9,6,4,23,200,0.0127,0.0127,0.9611,0.9722,0.39,9.03
