Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,circles,3,4,1,200,0.6952,0.6952,0.4833,0.4833,0.08,0.08
Strong_VQC,circles,3,4,2,200,0.6949,0.6949,0.4750,0.4833,0.06,0.14
Strong_VQC,circles,3,4,3,200,0.6934,0.6934,0.4500,0.4833,0.06,0.20
Strong_VQC,circles,3,4,4,200,0.6939,0.6934,0.4250,0.4833,0.06,0.25
Strong_VQC,circles,3,4,5,200,0.6940,0.6934,0.4833,0.4833,0.05,0.31
Strong_VQC,circles,3,4,6,200,0.6932,0.6932,0.4500,0.4833,0.06,0.37
Strong_VQC,circles,3,4,7,200,0.6935,0.6932,0.4917,0.4917,0.06,0.43
Strong_VQC,circles,3,4,8,200,0.6934,0.6932,0.4667,0.4917,0.06,0.49
Strong_VQC,circles,3,4,9,200,0.6934,0.6932,0.4417,0.4917,0.06,0.55
Strong_VQC,circles,3,4,10,200,0.6930,0.6930,0.4583,0.4917,0.06,0.60
Strong_VQC,circles,3,4,11,200,0.6933,0.6930,0.4583,0.4917,0.05,0.66
Strong_VQC,circles,3,4,12,200,0.6932,0.6930,0.4500,0.4917,0.06,0.71
Strong_VQC,circles,3,4,13,200,0.6931,0.6930,0.4417,0.4917,0.06,0.77
Strong_VQC,circles,3,4,14,200,0.6932,0.6930,0.4583,0.4917,0.06,0.83
Strong_VQC,circles,3,4,15,200,0.6935,0.6930,0.4500,0.4917,0.06,0.88
Strong_VQC,circles,3,4,16,200,0.6931,0.6930,0.4500,0.4917,0.06,0.95
Strong_VQC,circles,3,4,17,200,0.6933,0.6930,0.4667,0.4917,0.06,1.01
Strong_VQC,circles,3,4,18,200,0.6933,0.6930,0.4500,0.4917,0.06,1.06
Strong_VQC,circles,3,4,19,200,0.6933,0.6930,0.4667,0.4917,0.06,1.12
Strong_VQC,circles,3,4,20,200,0.6932,0.6930,0.4583,0.4917,0.06,1.18
Strong_VQC,circles,3,4,21,200,0.6937,0.6930,0.4750,0.4917,0.06,1.23
Strong_VQC,circles,3,4,22,200,0.6931,0.6930,0.4417,0.4917,0.06,1.29
Strong_VQC,circles,3,4,23,200,0.6931,0.6930,0.4333,0.4917,0.07,1.36
Strong_VQC,circles,3,4,24,200,0.6931,0.6930,0.4500,0.4917,0.07,1.43
Strong_VQC,circles,3,4,25,200,0.6932,0.6930,0.4417,0.4917,0.06,1.48
Strong_VQC,circles,3,4,26,200,0.6932,0.6930,0.4417,0.4917,0.06,1.54
Strong_VQC,circles,3,4,27,200,0.6931,0.6930,0.4500,0.4917,0.06,1.60
Strong_VQC,circles,3,4,28,200,0.6931,0.6930,0.4583,0.4917,0.06,1.66
Strong_VQC,circles,3,4,29,200,0.6934,0.6930,0.4500,0.4917,0.06,1.71
Strong_VQC,circles,3,4,30,200,0.6932,0.6930,0.4417,0.4917,0.05,1.77
Strong_VQC,circles,3,4,31,200,0.6931,0.6930,0.4417,0.4917,0.06,1.82
Strong_VQC,circles,3,4,32,200,0.6932,0.6930,0.4417,0.4917,0.06,1.88
Strong_VQC,circles,3,4,33,200,0.6932,0.6930,0.4333,0.4917,0.06,1.94
Strong_VQC,circles,3,4,34,200,0.6932,0.6930,0.4583,0.4917,0.06,1.99
Strong_VQC,circles,3,4,35,200,0.6933,0.6930,0.4417,0.4917,0.05,2.05
Strong_VQC,circles,3,4,36,200,0.6932,0.6930,0.4500,0.4917,0.06,2.10
Strong_VQC,circles,3,4,37,200,0.6932,0.6930,0.4417,0.4917,0.06,2.16
Strong_VQC,circles,3,4,38,200,0.6931,0.6930,0.4583,0.4917,0.06,2.22
Strong_VQC,circles,3,4,39,200,0.6931,0.6930,0.4417,0.4917,0.06,2.27
Strong_VQC,circles,3,4,40,200,0.6931,0.6930,0.4500,0.4917,0.06,2.33
Strong_VQC,circles,3,4,41,200,0.6932,0.6930,0.4417,0.4917,0.06,2.39
Strong_VQC,circles,3,4,42,200,0.6933,0.6930,0.4583,0.4917,0.06,2.44
Strong_VQC,circles,3,4,43,200,0.6931,0.6930,0.4750,0.4917,0.06,2.50
Strong_VQC,circles,3,4,44,200,0.6931,0.6930,0.4583,0.4917,0.06,2.55
Strong_VQC,circles,3,4,45,200,0.6933,0.6930,0.4583,0.4917,0.06,2.61
Strong_VQC,circles,3,4,46,200,0.6935,0.6930,0.4667,0.4917,0.06,2.66
Strong_VQC,circles,3,4,47,200,0.6932,0.6930,0.4750,0.4917,0.06,2.72
Strong_VQC,circles,3,4,48,200,0.6931,0.6930,0.4833,0.4917,0.05,2.77
Strong_VQC,circles,3,4,49,200,0.6932,0.6930,0.4750,0.4917,0.06,2.83
Strong_VQC,circles,3,4,50,200,0.6931,0.6930,0.4583,0.4917,0.06,2.89
Strong_VQC,circles,3,4,51,200,0.6932,0.6930,0.4750,0.4917,0.05,2.94
Strong_VQC,circles,3,4,52,200,0.6932,0.6930,0.4500,0.4917,0.06,3.00
Strong_VQC,circles,3,4,53,200,0.6933,0.6930,0.4667,0.4917,0.06,3.05
Strong_VQC,circles,3,4,54,200,0.6931,0.6930,0.4833,0.4917,0.05,3.11
Strong_VQC,circles,3,4,55,200,0.6931,0.6930,0.4500,0.4917,0.06,3.16
Strong_VQC,circles,3,4,56,200,0.6931,0.6930,0.4750,0.4917,0.06,3.22
Strong_VQC,circles,3,4,57,200,0.6933,0.6930,0.4750,0.4917,0.06,3.27
Strong_VQC,circles,3,4,58,200,0.6931,0.6930,0.4833,0.4917,0.06,3.33
Strong_VQC,circles,3,4,59,200,0.6931,0.6930,0.4667,0.4917,0.06,3.38
Strong_VQC,circles,3,4,60,200,0.6932,0.6930,0.4750,0.4917,0.06,3.44
Strong_VQC,circles,3,4,61,200,0.6932,0.6930,0.5000,0.5000,0.06,3.50
Strong_VQC,circles,3,4,62,200,0.6932,0.6930,0.4667,0.5000,0.05,3.55
Strong_VQC,circles,3,4,63,200,0.6930,0.6930,0.4500,0.5000,0.06,3.61
Strong_VQC,circles,3,4,64,200,0.6931,0.6930,0.4833,0.5000,0.06,3.67
Strong_VQC,circles,3,4,65,200,0.6933,0.6930,0.4500,0.5000,0.06,3.73
Strong_VQC,circles,3,4,66,200,0.6931,0.6930,0.4417,0.5000,0.06,3.78
Strong_VQC,circles,3,4,67,200,0.6930,0.6930,0.4667,0.5000,0.06,3.84
Strong_VQC,circles,3,4,68,200,0.6931,0.6930,0.4667,0.5000,0.06,3.90
Strong_VQC,circles,3,4,69,200,0.6931,0.6930,0.4667,0.5000,0.06,3.95
Strong_VQC,circles,3,4,70,200,0.6933,0.6930,0.4833,0.5000,0.06,4.02
Strong_VQC,circles,3,4,71,200,0.6939,0.6930,0.4333,0.5000,0.06,4.08
Strong_VQC,circles,3,4,72,200,0.6928,0.6928,0.4333,0.5000,0.07,4.15
Strong_VQC,circles,3,4,73,200,0.6932,0.6928,0.4417,0.5000,0.06,4.21
Strong_VQC,circles,3,4,74,200,0.6932,0.6928,0.4333,0.5000,0.06,4.27
