Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,covtype,5,4,1,200,0.6646,0.6646,0.6083,0.6083,0.10,0.10
Strong_VQC,covtype,5,4,2,200,0.5979,0.5979,0.7667,0.7667,0.10,0.20
Strong_VQC,covtype,5,4,3,200,0.5450,0.5450,0.7583,0.7667,0.10,0.30
Strong_VQC,covtype,5,4,4,200,0.5092,0.5092,0.7750,0.7750,0.10,0.40
Strong_VQC,covtype,5,4,5,200,0.4861,0.4861,0.7583,0.7750,0.10,0.50
Strong_VQC,covtype,5,4,6,200,0.4706,0.4706,0.7917,0.7917,0.10,0.59
Strong_VQC,covtype,5,4,7,200,0.4575,0.4575,0.8083,0.8083,0.10,0.69
Strong_VQC,covtype,5,4,8,200,0.4509,0.4509,0.7917,0.8083,0.10,0.79
Strong_VQC,covtype,5,4,9,200,0.4419,0.4419,0.7833,0.8083,0.10,0.89
Strong_VQC,covtype,5,4,10,200,0.4340,0.4340,0.8000,0.8083,0.10,0.99
Strong_VQC,covtype,5,4,11,200,0.4267,0.4267,0.8250,0.8250,0.10,1.09
Strong_VQC,covtype,5,4,12,200,0.4298,0.4267,0.7667,0.8250,0.10,1.18
Strong_VQC,covtype,5,4,13,200,0.4197,0.4197,0.7750,0.8250,0.10,1.28
Strong_VQC,covtype,5,4,14,200,0.4197,0.4197,0.7917,0.8250,0.10,1.38
Strong_VQC,covtype,5,4,15,200,0.4134,0.4134,0.7667,0.8250,0.10,1.48
Strong_VQC,covtype,5,4,16,200,0.4141,0.4134,0.7917,0.8250,0.10,1.58
Strong_VQC,covtype,5,4,17,200,0.4083,0.4083,0.7750,0.8250,0.10,1.68
Strong_VQC,covtype,5,4,18,200,0.4091,0.4083,0.7917,0.8250,0.10,1.78
Strong_VQC,covtype,5,4,19,200,0.4051,0.4051,0.7667,0.8250,0.10,1.88
Strong_VQC,covtype,5,4,20,200,0.4087,0.4051,0.7667,0.8250,0.10,1.98
Strong_VQC,covtype,5,4,21,200,0.4013,0.4013,0.7750,0.8250,0.10,2.07
Strong_VQC,covtype,5,4,22,200,0.4007,0.4007,0.8083,0.8250,0.10,2.17
Strong_VQC,covtype,5,4,23,200,0.4006,0.4006,0.7917,0.8250,0.10,2.27
Strong_VQC,covtype,5,4,24,200,0.4044,0.4006,0.7583,0.8250,0.10,2.37
Strong_VQC,covtype,5,4,25,200,0.3943,0.3943,0.7833,0.8250,0.10,2.47
Strong_VQC,covtype,5,4,26,200,0.3944,0.3943,0.7833,0.8250,0.10,2.57
Strong_VQC,covtype,5,4,27,200,0.4028,0.3943,0.7917,0.8250,0.10,2.67
Strong_VQC,covtype,5,4,28,200,0.3907,0.3907,0.7833,0.8250,0.10,2.77
Strong_VQC,covtype,5,4,29,200,0.3895,0.3895,0.7667,0.8250,0.10,2.86
Strong_VQC,covtype,5,4,30,200,0.3959,0.3895,0.7917,0.8250,0.10,2.96
Strong_VQC,covtype,5,4,31,200,0.3914,0.3895,0.7833,0.8250,0.10,3.06
Strong_VQC,covtype,5,4,32,200,0.3847,0.3847,0.7750,0.8250,0.10,3.16
Strong_VQC,covtype,5,4,33,200,0.3853,0.3847,0.8000,0.8250,0.11,3.27
Strong_VQC,covtype,5,4,34,200,0.3810,0.3810,0.7667,0.8250,0.10,3.37
Strong_VQC,covtype,5,4,35,200,0.3856,0.3810,0.8083,0.8250,0.11,3.49
Strong_VQC,covtype,5,4,36,200,0.3863,0.3810,0.7833,0.8250,0.11,3.60
Strong_VQC,covtype,5,4,37,200,0.3876,0.3810,0.7833,0.8250,0.11,3.71
Strong_VQC,covtype,5,4,38,200,0.3863,0.3810,0.7833,0.8250,0.11,3.82
Strong_VQC,covtype,5,4,39,200,0.3780,0.3780,0.8167,0.8250,0.11,3.93
Strong_VQC,covtype,5,4,40,200,0.3776,0.3776,0.7583,0.8250,0.11,4.05
Strong_VQC,covtype,5,4,41,200,0.3823,0.3776,0.7750,0.8250,0.11,4.16
Strong_VQC,covtype,5,4,42,200,0.3730,0.3730,0.7667,0.8250,0.10,4.26
Strong_VQC,covtype,5,4,43,200,0.3763,0.3730,0.7583,0.8250,0.10,4.36
Strong_VQC,covtype,5,4,44,200,0.3749,0.3730,0.7667,0.8250,0.10,4.45
Strong_VQC,covtype,5,4,45,200,0.3796,0.3730,0.8000,0.8250,0.10,4.55
Strong_VQC,covtype,5,4,46,200,0.3702,0.3702,0.8167,0.8250,0.10,4.65
Strong_VQC,covtype,5,4,47,200,0.3747,0.3702,0.7667,0.8250,0.10,4.75
Strong_VQC,covtype,5,4,48,200,0.3740,0.3702,0.8083,0.8250,0.10,4.85
Strong_VQC,covtype,5,4,49,200,0.3723,0.3702,0.7667,0.8250,0.10,4.95
Strong_VQC,covtype,5,4,50,200,0.3725,0.3702,0.7750,0.8250,0.10,5.05
Strong_VQC,covtype,5,4,51,200,0.3751,0.3702,0.8083,0.8250,0.10,5.15
Strong_VQC,covtype,5,4,52,200,0.3782,0.3702,0.7833,0.8250,0.10,5.25
Strong_VQC,covtype,5,4,53,200,0.3738,0.3702,0.7833,0.8250,0.11,5.36
Strong_VQC,covtype,5,4,54,200,0.3729,0.3702,0.7917,0.8250,0.11,5.47
Strong_VQC,covtype,5,4,55,200,0.3739,0.3702,0.7667,0.8250,0.11,5.59
Strong_VQC,covtype,5,4,56,200,0.3678,0.3678,0.7917,0.8250,0.11,5.70
Strong_VQC,covtype,5,4,57,200,0.3749,0.3678,0.8000,0.8250,0.11,5.81
Strong_VQC,covtype,5,4,58,200,0.3830,0.3678,0.7750,0.8250,0.11,5.92
Strong_VQC,covtype,5,4,59,200,0.3774,0.3678,0.8000,0.8250,0.11,6.03
Strong_VQC,covtype,5,4,60,200,0.3773,0.3678,0.7833,0.8250,0.10,6.14
Strong_VQC,covtype,5,4,61,200,0.3790,0.3678,0.8000,0.8250,0.10,6.24
Strong_VQC,covtype,5,4,62,200,0.3732,0.3678,0.7583,0.8250,0.11,6.35
Strong_VQC,covtype,5,4,63,200,0.3658,0.3658,0.7917,0.8250,0.11,6.46
Strong_VQC,covtype,5,4,64,200,0.3771,0.3658,0.7667,0.8250,0.10,6.55
Strong_VQC,covtype,5,4,65,200,0.3749,0.3658,0.7917,0.8250,0.10,6.65
Strong_VQC,covtype,5,4,66,200,0.3645,0.3645,0.8083,0.8250,0.10,6.75
Strong_VQC,covtype,5,4,67,200,0.3647,0.3645,0.8000,0.8250,0.10,6.85
Strong_VQC,covtype,5,4,68,200,0.3678,0.3645,0.7667,0.8250,0.10,6.95
Strong_VQC,covtype,5,4,69,200,0.3729,0.3645,0.8250,0.8250,0.10,7.05
Strong_VQC,covtype,5,4,70,200,0.3714,0.3645,0.7750,0.8250,0.11,7.16
Strong_VQC,covtype,5,4,71,200,0.3630,0.3630,0.8000,0.8250,0.10,7.26
Strong_VQC,covtype,5,4,72,200,0.3607,0.3607,0.8000,0.8250,0.10,7.36
Strong_VQC,covtype,5,4,73,200,0.3705,0.3607,0.7750,0.8250,0.10,7.46
Strong_VQC,covtype,5,4,74,200,0.3663,0.3607,0.7917,0.8250,0.10,7.56
Strong_VQC,covtype,5,4,75,200,0.3667,0.3607,0.8000,0.8250,0.10,7.66
Strong_VQC,covtype,5,4,76,200,0.3631,0.3607,0.7833,0.8250,0.10,7.76
Strong_VQC,covtype,5,4,77,200,0.3614,0.3607,0.7750,0.8250,0.10,7.86
Strong_VQC,covtype,5,4,78,200,0.3656,0.3607,0.8167,0.8250,0.10,7.96
Strong_VQC,covtype,5,4,79,200,0.3641,0.3607,0.7833,0.8250,0.10,8.05
Strong_VQC,covtype,5,4,80,200,0.3585,0.3585,0.8000,0.8250,0.10,8.15
Strong_VQC,covtype,5,4,81,200,0.3614,0.3585,0.8000,0.8250,0.10,8.25
Strong_VQC,covtype,5,4,82,200,0.3595,0.3585,0.7917,0.8250,0.10,8.35
Strong_VQC,covtype,5,4,83,200,0.3652,0.3585,0.8000,0.8250,0.10,8.44
Strong_VQC,covtype,5,4,84,200,0.3610,0.3585,0.8083,0.8250,0.10,8.54
Strong_VQC,covtype,5,4,85,200,0.3590,0.3585,0.7667,0.8250,0.10,8.64
Strong_VQC,covtype,5,4,86,200,0.3664,0.3585,0.8083,0.8250,0.10,8.74
Strong_VQC,covtype,5,4,87,200,0.3630,0.3585,0.7583,0.8250,0.10,8.83
Strong_VQC,covtype,5,4,88,200,0.3683,0.3585,0.8083,0.8250,0.10,8.94
Strong_VQC,covtype,5,4,89,200,0.3537,0.3537,0.7750,0.8250,0.10,9.04
Strong_VQC,covtype,5,4,90,200,0.3574,0.3537,0.8167,0.8250,0.10,9.14
Strong_VQC,covtype,5,4,91,200,0.3624,0.3537,0.8000,0.8250,0.10,9.24
Strong_VQC,covtype,5,4,92,200,0.3566,0.3537,0.7667,0.8250,0.10,9.34
Strong_VQC,covtype,5,4,93,200,0.3549,0.3537,0.8083,0.8250,0.10,9.44
Strong_VQC,covtype,5,4,94,200,0.3596,0.3537,0.8000,0.8250,0.10,9.54
Strong_VQC,covtype,5,4,95,200,0.3578,0.3537,0.7750,0.8250,0.10,9.64
Strong_VQC,covtype,5,4,96,200,0.3550,0.3537,0.7917,0.8250,0.10,9.73
Strong_VQC,covtype,5,4,97,200,0.3544,0.3537,0.7917,0.8250,0.10,9.83
Strong_VQC,covtype,5,4,98,200,0.3563,0.3537,0.7667,0.8250,0.10,9.93
Strong_VQC,covtype,5,4,99,200,0.3573,0.3537,0.7667,0.8250,0.10,10.03
Strong_VQC,covtype,5,4,100,200,0.3661,0.3537,0.7750,0.8250,0.10,10.13
Strong_VQC,covtype,5,4,101,200,0.3530,0.3530,0.7667,0.8250,0.10,10.23
Strong_VQC,covtype,5,4,102,200,0.3510,0.3510,0.8000,0.8250,0.10,10.33
Strong_VQC,covtype,5,4,103,200,0.3493,0.3493,0.8000,0.8250,0.10,10.43
Strong_VQC,covtype,5,4,104,200,0.3595,0.3493,0.7583,0.8250,0.10,10.53
Strong_VQC,covtype,5,4,105,200,0.3584,0.3493,0.8333,0.8333,0.10,10.62
Strong_VQC,covtype,5,4,106,200,0.3501,0.3493,0.7583,0.8333,0.10,10.72
Strong_VQC,covtype,5,4,107,200,0.3678,0.3493,0.7917,0.8333,0.10,10.82
Strong_VQC,covtype,5,4,108,200,0.3624,0.3493,0.7500,0.8333,0.10,10.92
Strong_VQC,covtype,5,4,109,200,0.3499,0.3493,0.8000,0.8333,0.10,11.02
Strong_VQC,covtype,5,4,110,200,0.3465,0.3465,0.8167,0.8333,0.10,11.12
Strong_VQC,covtype,5,4,111,200,0.3504,0.3465,0.7750,0.8333,0.12,11.24
Strong_VQC,covtype,5,4,112,200,0.3518,0.3465,0.7667,0.8333,0.11,11.35
