Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,cytotoxicity_median,3,4,1,200,0.7002,0.7002,0.5400,0.5400,0.03,0.03
Strong_VQC,cytotoxicity_median,3,4,2,200,0.6877,0.6877,0.5200,0.5400,0.03,0.06
Strong_VQC,cytotoxicity_median,3,4,3,200,0.6825,0.6825,0.5800,0.5800,0.03,0.09
Strong_VQC,cytotoxicity_median,3,4,4,200,0.6741,0.6741,0.5800,0.5800,0.03,0.12
Strong_VQC,cytotoxicity_median,3,4,5,200,0.6665,0.6665,0.5200,0.5800,0.03,0.15
Strong_VQC,cytotoxicity_median,3,4,6,200,0.6561,0.6561,0.5600,0.5800,0.03,0.18
Strong_VQC,cytotoxicity_median,3,4,7,200,0.6443,0.6443,0.5600,0.5800,0.03,0.21
Strong_VQC,cytotoxicity_median,3,4,8,200,0.6324,0.6324,0.5400,0.5800,0.03,0.23
Strong_VQC,cytotoxicity_median,3,4,9,200,0.6202,0.6202,0.5400,0.5800,0.03,0.26
Strong_VQC,cytotoxicity_median,3,4,10,200,0.6091,0.6091,0.5600,0.5800,0.03,0.29
Strong_VQC,cytotoxicity_median,3,4,11,200,0.5988,0.5988,0.4800,0.5800,0.03,0.32
Strong_VQC,cytotoxicity_median,3,4,12,200,0.5874,0.5874,0.5400,0.5800,0.03,0.35
Strong_VQC,cytotoxicity_median,3,4,13,200,0.5784,0.5784,0.5400,0.5800,0.03,0.38
Strong_VQC,cytotoxicity_median,3,4,14,200,0.5733,0.5733,0.5400,0.5800,0.03,0.41
Strong_VQC,cytotoxicity_median,3,4,15,200,0.5643,0.5643,0.5200,0.5800,0.03,0.44
Strong_VQC,cytotoxicity_median,3,4,16,200,0.5593,0.5593,0.5400,0.5800,0.03,0.46
Strong_VQC,cytotoxicity_median,3,4,17,200,0.5515,0.5515,0.5200,0.5800,0.03,0.49
Strong_VQC,cytotoxicity_median,3,4,18,200,0.5519,0.5515,0.5800,0.5800,0.03,0.52
