Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,mnist_10class_pca32,5,4,1,200,2.1774,2.1774,0.3458,0.3458,0.42,0.42
Strong_VQC,mnist_10class_pca32,5,4,2,200,1.8966,1.8966,0.4313,0.4313,0.40,0.82
Strong_VQC,mnist_10class_pca32,5,4,3,200,1.7361,1.7361,0.4417,0.4417,0.40,1.22
Strong_VQC,mnist_10class_pca32,5,4,4,200,1.6267,1.6267,0.5000,0.5000,0.40,1.62
Strong_VQC,mnist_10class_pca32,5,4,5,200,1.5630,1.5630,0.5333,0.5333,0.40,2.02
Strong_VQC,mnist_10class_pca32,5,4,6,200,1.4986,1.4986,0.5354,0.5354,0.40,2.42
Strong_VQC,mnist_10class_pca32,5,4,7,200,1.4534,1.4534,0.5583,0.5583,0.41,2.83
Strong_VQC,mnist_10class_pca32,5,4,8,200,1.4237,1.4237,0.5625,0.5625,0.41,3.23
Strong_VQC,mnist_10class_pca32,5,4,9,200,1.4083,1.4083,0.5646,0.5646,0.40,3.63
Strong_VQC,mnist_10class_pca32,5,4,10,200,1.3757,1.3757,0.5625,0.5646,0.40,4.03
Strong_VQC,mnist_10class_pca32,5,4,11,200,1.3649,1.3649,0.5750,0.5750,0.42,4.45
Strong_VQC,mnist_10class_pca32,5,4,12,200,1.3476,1.3476,0.5625,0.5750,0.46,4.91
Strong_VQC,mnist_10class_pca32,5,4,13,200,1.3329,1.3329,0.5583,0.5750,0.45,5.36
Strong_VQC,mnist_10class_pca32,5,4,14,200,1.3182,1.3182,0.5896,0.5896,0.40,5.76
Strong_VQC,mnist_10class_pca32,5,4,15,200,1.3178,1.3178,0.6000,0.6000,0.40,6.16
Strong_VQC,mnist_10class_pca32,5,4,16,200,1.2947,1.2947,0.5708,0.6000,0.40,6.56
Strong_VQC,mnist_10class_pca32,5,4,17,200,1.2862,1.2862,0.5688,0.6000,0.40,6.96
Strong_VQC,mnist_10class_pca32,5,4,18,200,1.2786,1.2786,0.5583,0.6000,0.42,7.38
Strong_VQC,mnist_10class_pca32,5,4,19,200,1.2804,1.2786,0.5771,0.6000,0.42,7.80
Strong_VQC,mnist_10class_pca32,5,4,20,200,1.2729,1.2729,0.5958,0.6000,0.40,8.20
Strong_VQC,mnist_10class_pca32,5,4,21,200,1.2633,1.2633,0.5729,0.6000,0.40,8.59
Strong_VQC,mnist_10class_pca32,5,4,22,200,1.2682,1.2633,0.5792,0.6000,0.40,8.99
Strong_VQC,mnist_10class_pca32,5,4,23,200,1.2486,1.2486,0.5958,0.6000,0.40,9.39
Strong_VQC,mnist_10class_pca32,5,4,24,200,1.2515,1.2486,0.6062,0.6062,0.40,9.79
Strong_VQC,mnist_10class_pca32,5,4,25,200,1.2433,1.2433,0.6021,0.6062,0.40,10.19
Strong_VQC,mnist_10class_pca32,5,4,26,200,1.2431,1.2431,0.5938,0.6062,0.41,10.60
Strong_VQC,mnist_10class_pca32,5,4,27,200,1.2455,1.2431,0.6104,0.6104,0.40,11.01
Strong_VQC,mnist_10class_pca32,5,4,28,200,1.2400,1.2400,0.5854,0.6104,0.40,11.41
Strong_VQC,mnist_10class_pca32,5,4,29,200,1.2375,1.2375,0.6042,0.6104,0.40,11.81
