Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,covtype,5,4,1,200,0.6945,0.6945,0.5000,0.5000,0.05,0.05
Strong_VQC,covtype,5,4,2,200,0.6907,0.6907,0.5167,0.5167,0.05,0.10
Strong_VQC,covtype,5,4,3,200,0.6870,0.6870,0.5333,0.5333,0.05,0.14
Strong_VQC,covtype,5,4,4,200,0.6836,0.6836,0.5667,0.5667,0.05,0.19
Strong_VQC,covtype,5,4,5,200,0.6802,0.6802,0.6000,0.6000,0.04,0.23
Strong_VQC,covtype,5,4,6,200,0.6769,0.6769,0.6167,0.6167,0.05,0.28
Strong_VQC,covtype,5,4,7,200,0.6738,0.6738,0.6333,0.6333,0.05,0.33
Strong_VQC,covtype,5,4,8,200,0.6709,0.6709,0.6500,0.6500,0.04,0.37
Strong_VQC,covtype,5,4,9,200,0.6681,0.6681,0.6417,0.6500,0.05,0.42
Strong_VQC,covtype,5,4,10,200,0.6654,0.6654,0.6417,0.6500,0.04,0.46
Strong_VQC,covtype,5,4,11,200,0.6630,0.6630,0.6417,0.6500,0.05,0.51
Strong_VQC,covtype,5,4,12,200,0.6608,0.6608,0.6333,0.6500,0.04,0.55
Strong_VQC,covtype,5,4,13,200,0.6587,0.6587,0.6500,0.6500,0.05,0.60
Strong_VQC,covtype,5,4,14,200,0.6569,0.6569,0.6500,0.6500,0.05,0.65
Strong_VQC,covtype,5,4,15,200,0.6552,0.6552,0.6750,0.6750,0.05,0.70
Strong_VQC,covtype,5,4,16,200,0.6536,0.6536,0.7083,0.7083,0.05,0.75
Strong_VQC,covtype,5,4,17,200,0.6520,0.6520,0.7083,0.7083,0.04,0.79
Strong_VQC,covtype,5,4,18,200,0.6506,0.6506,0.6917,0.7083,0.05,0.84
Strong_VQC,covtype,5,4,19,200,0.6492,0.6492,0.6917,0.7083,0.04,0.88
Strong_VQC,covtype,5,4,20,200,0.6479,0.6479,0.6917,0.7083,0.04,0.92
Strong_VQC,covtype,5,4,21,200,0.6467,0.6467,0.7000,0.7083,0.05,0.97
Strong_VQC,covtype,5,4,22,200,0.6455,0.6455,0.7083,0.7083,0.04,1.01
Strong_VQC,covtype,5,4,23,200,0.6442,0.6442,0.7167,0.7167,0.07,1.08
Strong_VQC,covtype,5,4,24,200,0.6430,0.6430,0.7167,0.7167,0.06,1.14
Strong_VQC,covtype,5,4,25,200,0.6417,0.6417,0.7417,0.7417,0.05,1.19
Strong_VQC,covtype,5,4,26,200,0.6404,0.6404,0.7417,0.7417,0.05,1.23
Strong_VQC,covtype,5,4,27,200,0.6391,0.6391,0.7417,0.7417,0.05,1.28
Strong_VQC,covtype,5,4,28,200,0.6378,0.6378,0.7417,0.7417,0.05,1.33
Strong_VQC,covtype,5,4,29,200,0.6366,0.6366,0.7417,0.7417,0.05,1.37
Strong_VQC,covtype,5,4,30,200,0.6354,0.6354,0.7333,0.7417,0.04,1.41
Strong_VQC,covtype,5,4,31,200,0.6343,0.6343,0.7333,0.7417,0.05,1.46
Strong_VQC,covtype,5,4,32,200,0.6332,0.6332,0.7333,0.7417,0.05,1.50
Strong_VQC,covtype,5,4,33,200,0.6322,0.6322,0.7333,0.7417,0.04,1.55
Strong_VQC,covtype,5,4,34,200,0.6313,0.6313,0.7333,0.7417,0.05,1.60
Strong_VQC,covtype,5,4,35,200,0.6305,0.6305,0.7333,0.7417,0.05,1.65
Strong_VQC,covtype,5,4,36,200,0.6297,0.6297,0.7333,0.7417,0.05,1.70
