Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,digits_0-9,6,4,1,200,2.1565,2.1565,0.5000,0.5000,0.41,0.41
Strong_VQC,digits_0-9,6,4,2,200,1.8591,1.8591,0.5889,0.5889,0.44,0.85
Strong_VQC,digits_0-9,6,4,3,200,1.6313,1.6313,0.6389,0.6389,0.44,1.29
Strong_VQC,digits_0-9,6,4,4,200,1.4709,1.4709,0.6694,0.6694,0.42,1.72
Strong_VQC,digits_0-9,6,4,5,200,1.3546,1.3546,0.6694,0.6694,0.41,2.12
Strong_VQC,digits_0-9,6,4,6,200,1.2736,1.2736,0.6722,0.6722,0.41,2.53
Strong_VQC,digits_0-9,6,4,7,200,1.2157,1.2157,0.6500,0.6722,0.43,2.96
Strong_VQC,digits_0-9,6,4,8,200,1.1619,1.1619,0.6472,0.6722,0.43,3.39
Strong_VQC,digits_0-9,6,4,9,200,1.1273,1.1273,0.6472,0.6722,0.43,3.82
Strong_VQC,digits_0-9,6,4,10,200,1.1010,1.1010,0.6694,0.6722,0.43,4.25
Strong_VQC,digits_0-9,6,4,11,200,1.0642,1.0642,0.6639,0.6722,0.41,4.66
Strong_VQC,digits_0-9,6,4,12,200,1.0406,1.0406,0.6444,0.6722,0.44,5.10
Strong_VQC,digits_0-9,6,4,13,200,1.0314,1.0314,0.6806,0.6806,0.42,5.52
Strong_VQC,digits_0-9,6,4,14,200,1.0033,1.0033,0.6722,0.6806,0.41,5.93
Strong_VQC,digits_0-9,6,4,15,200,0.9869,0.9869,0.6750,0.6806,0.43,6.36
Strong_VQC,digits_0-9,6,4,16,200,0.9777,0.9777,0.6806,0.6806,0.45,6.81
Strong_VQC,digits_0-9,6,4,17,200,0.9738,0.9738,0.6556,0.6806,0.44,7.25
Strong_VQC,digits_0-9,6,4,18,200,0.9597,0.9597,0.6806,0.6806,0.43,7.68
Strong_VQC,digits_0-9,6,4,19,200,0.9482,0.9482,0.7028,0.7028,0.42,8.10
Strong_VQC,digits_0-9,6,4,20,200,0.9444,0.9444,0.6750,0.7028,0.42,8.52
Strong_VQC,digits_0-9,6,4,21,200,0.9442,0.9442,0.6750,0.7028,0.42,8.94
Strong_VQC,digits_0-9,6,4,22,200,0.9296,0.9296,0.6667,0.7028,0.42,9.35
Strong_VQC,digits_0-9,6,4,23,200,0.9233,0.9233,0.6694,0.7028,0.41,9.77
Strong_VQC,digits_0-9,6,4,24,200,0.9123,0.9123,0.6750,0.7028,0.41,10.18
Strong_VQC,digits_0-9,6,4,25,200,0.9149,0.9123,0.6694,0.7028,0.43,10.61
Strong_VQC,digits_0-9,6,4,26,200,0.9108,0.9108,0.6639,0.7028,0.43,11.04
Strong_VQC,digits_0-9,6,4,27,200,0.9135,0.9108,0.6722,0.7028,0.43,11.47
Strong_VQC,digits_0-9,6,4,28,200,0.9116,0.9108,0.6917,0.7028,0.41,11.88
Strong_VQC,digits_0-9,6,4,29,200,0.8904,0.8904,0.6639,0.7028,0.41,12.29
Strong_VQC,digits_0-9,6,4,30,200,0.8967,0.8904,0.6694,0.7028,0.41,12.70
Strong_VQC,digits_0-9,6,4,31,200,0.8924,0.8904,0.6778,0.7028,0.41,13.12
Strong_VQC,digits_0-9,6,4,32,200,0.8915,0.8904,0.6778,0.7028,0.42,13.53
Strong_VQC,digits_0-9,6,4,33,200,0.9042,0.8904,0.6833,0.7028,0.41,13.95
Strong_VQC,digits_0-9,6,4,34,200,0.8858,0.8858,0.6806,0.7028,0.42,14.36
Strong_VQC,digits_0-9,6,4,35,200,0.8787,0.8787,0.6722,0.7028,0.43,14.79
Strong_VQC,digits_0-9,6,4,36,200,0.8826,0.8787,0.6667,0.7028,0.44,15.24
Strong_VQC,digits_0-9,6,4,37,200,0.8743,0.8743,0.6694,0.7028,0.42,15.66
Strong_VQC,digits_0-9,6,4,38,200,0.8806,0.8743,0.7083,0.7083,0.41,16.07
Strong_VQC,digits_0-9,6,4,39,200,0.8672,0.8672,0.7028,0.7083,0.41,16.47
Strong_VQC,digits_0-9,6,4,40,200,0.8781,0.8672,0.7028,0.7083,0.42,16.89
Strong_VQC,digits_0-9,6,4,41,200,0.8711,0.8672,0.6972,0.7083,0.42,17.30
Strong_VQC,digits_0-9,6,4,42,200,0.8771,0.8672,0.7139,0.7139,0.41,17.72
Strong_VQC,digits_0-9,6,4,43,200,0.8702,0.8672,0.6917,0.7139,0.41,18.13
Strong_VQC,digits_0-9,6,4,44,200,0.8663,0.8663,0.7028,0.7139,0.42,18.55
Strong_VQC,digits_0-9,6,4,45,200,0.8642,0.8642,0.6583,0.7139,0.45,19.00
Strong_VQC,digits_0-9,6,4,46,200,0.8744,0.8642,0.6944,0.7139,0.43,19.43
Strong_VQC,digits_0-9,6,4,47,200,0.8643,0.8642,0.6556,0.7139,0.44,19.87
Strong_VQC,digits_0-9,6,4,48,200,0.8720,0.8642,0.6806,0.7139,0.43,20.29
