Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,digits,6,4,1,200,0.6915,0.6915,0.5139,0.5139,0.06,0.06
Strong_VQC,digits,6,4,2,200,0.6897,0.6897,0.5417,0.5417,0.05,0.10
Strong_VQC,digits,6,4,3,200,0.6879,0.6879,0.5139,0.5417,0.05,0.16
Strong_VQC,digits,6,4,4,200,0.6861,0.6861,0.5556,0.5556,0.05,0.20
Strong_VQC,digits,6,4,5,200,0.6845,0.6845,0.5833,0.5833,0.05,0.25
Strong_VQC,digits,6,4,6,200,0.6829,0.6829,0.5556,0.5833,0.06,0.31
Strong_VQC,digits,6,4,7,200,0.6815,0.6815,0.5694,0.5833,0.05,0.36
Strong_VQC,digits,6,4,8,200,0.6801,0.6801,0.5972,0.5972,0.06,0.42
Strong_VQC,digits,6,4,9,200,0.6789,0.6789,0.6389,0.6389,0.05,0.47
Strong_VQC,digits,6,4,10,200,0.6777,0.6777,0.6111,0.6389,0.05,0.52
Strong_VQC,digits,6,4,11,200,0.6767,0.6767,0.6111,0.6389,0.05,0.57
Strong_VQC,digits,6,4,12,200,0.6757,0.6757,0.6111,0.6389,0.06,0.63
Strong_VQC,digits,6,4,13,200,0.6748,0.6748,0.6111,0.6389,0.05,0.68
Strong_VQC,digits,6,4,14,200,0.6740,0.6740,0.6250,0.6389,0.05,0.74
Strong_VQC,digits,6,4,15,200,0.6732,0.6732,0.6250,0.6389,0.06,0.80
Strong_VQC,digits,6,4,16,200,0.6725,0.6725,0.6389,0.6389,0.06,0.85
Strong_VQC,digits,6,4,17,200,0.6718,0.6718,0.6250,0.6389,0.06,0.91
Strong_VQC,digits,6,4,18,200,0.6711,0.6711,0.6806,0.6806,0.05,0.97
Strong_VQC,digits,6,4,19,200,0.6705,0.6705,0.6806,0.6806,0.05,1.02
Strong_VQC,digits,6,4,20,200,0.6699,0.6699,0.6944,0.6944,0.05,1.07
Strong_VQC,digits,6,4,21,200,0.6694,0.6694,0.6944,0.6944,0.05,1.12
Strong_VQC,digits,6,4,22,200,0.6690,0.6690,0.6806,0.6944,0.05,1.17
Strong_VQC,digits,6,4,23,200,0.6685,0.6685,0.6806,0.6944,0.05,1.23
