Instance,Basic VQC Average Accuracy,Basic VQC Complete Runs,Classical DNN Average Accuracy,Classical DNN Complete Runs,Hybrid QNN Average Accuracy,Hybrid QNN Complete Runs,Strong VQC Average Accuracy,Strong VQC Complete Runs
1,53.11,10,71.79,10,64.86,10,61.18,10
2,53.11,10,71.79,10,64.86,10,61.18,10
3,53.11,10,71.79,10,64.86,10,61.18,10
4,53.11,10,71.79,10,64.86,10,61.18,10
5,53.11,10,71.79,10,64.86,10,61.18,10
6,53.11,10,71.79,10,64.86,10,61.18,10
7,53.11,10,71.79,10,64.86,10,61.18,10
8,53.11,10,71.79,10,64.86,10,61.18,10
9,53.11,10,71.79,10,64.86,10,61.18,10
10,53.11,10,71.79,10,64.86,10,61.18,10
