Instance,Basic VQC Average Accuracy,Basic VQC Complete Runs,Classical DNN Average Accuracy,Classical DNN Complete Runs,Hybrid QNN Average Accuracy,Hybrid QNN Complete Runs,Strong VQC Average Accuracy,Strong VQC Complete Runs
1,42.74,10,91.54,10,81.61,10,60.64,10
2,42.74,10,91.54,10,81.61,10,60.64,10
3,42.74,10,91.54,10,81.61,10,60.64,10
4,42.74,10,91.54,10,81.61,10,60.64,10
5,42.74,10,91.54,10,81.61,10,60.64,10
6,42.74,10,91.54,10,81.61,10,60.64,10
7,42.74,10,91.54,10,81.61,10,60.64,10
8,42.74,10,91.54,10,81.61,10,60.64,10
9,42.74,10,91.54,10,81.61,10,60.64,10
10,42.74,10,91.54,10,81.61,10,60.64,10
