Instance,Basic VQC Average Accuracy,Basic VQC Complete Runs,Classical DNN Average Accuracy,Classical DNN Complete Runs,Hybrid QNN Average Accuracy,Hybrid QNN Complete Runs,Strong VQC Average Accuracy,Strong VQC Complete Runs
1,69.3,10,79.51,10,78.07,10,75.93,10
2,69.3,10,79.51,10,78.07,10,75.93,10
3,69.3,10,79.51,10,78.07,10,75.93,10
4,69.3,10,79.51,10,78.07,10,75.93,10
5,69.3,10,79.51,10,78.07,10,75.93,10
6,69.3,10,79.51,10,78.07,10,75.93,10
7,69.3,10,79.51,10,78.07,10,75.93,10
8,69.3,10,79.51,10,78.07,10,75.93,10
9,69.3,10,79.51,10,78.07,10,75.93,10
10,69.3,10,79.51,10,78.07,10,75.93,10
